Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,11/02/2014,220 SOFT LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,£650.00
Rochdale BC,11/02/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£788.20
Rochdale BC,11/02/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£500.00
Rochdale BC,13/02/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,057.60"
Rochdale BC,13/02/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£500.00
Rochdale BC,19/02/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£930.00
Rochdale BC,19/02/2014,A & W DAWSON,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£500.00
Rochdale BC,19/02/2014,A E YATES LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,Rechargeable drainage investigations,"£13,971.48"
Rochdale BC,18/02/2014,A J COCKER ASSOCIATES LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,£750.00
Rochdale BC,06/02/2014,A W COLEMAN,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£7,185.40"
Rochdale BC,17/02/2014,ACIES GROUP LLP,Consultancy,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,£679.25
Rochdale BC,12/02/2014,ACIES GROUP LLP,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale BC,14/02/2014,ACIES GROUP LLP,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale BC,28/02/2014,ACIES GROUP LLP,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale BC,24/02/2014,ACTRAV ASSOCIATES,Unclassifiable,EARLY HELP AND SCHOOLS,ST ANDREW'S CE - PLACE PLANNING,"£4,050.00"
Rochdale BC,13/02/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£4,010.00"
Rochdale BC,17/02/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,DOWLING STREET OCC THERAPY,£725.00
Rochdale BC,11/02/2014,ADOPTION MATTERS,Human Resources,CHILDREN’S SOCIAL CARE,INDEPENDENT FOSTER CARE,"£3,750.00"
Rochdale BC,11/02/2014,ADOPTION MATTERS,Human Resources,CHILDREN’S SOCIAL CARE,INTER AGENCY ADOPTION,£750.00
Rochdale BC,12/02/2014,ADVANCED CHILD CARE ASSESSMENTS LIMITED,Legal Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,£600.52
Rochdale BC,20/02/2014,AGA BIOENGINEERING SYSTEMS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,COUNTRYSIDE OPERATIONS,"£5,234.00"
Rochdale BC,25/02/2014,AGROVISTA UK LTD,Horticultural,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£958.00
Rochdale BC,18/02/2014,ALAN GARDNER ASSOCIATES,Consultancy,ECONOMY AND ENVIRONMENT,TONGE HALL FIRE DAMAGE - ENG HERITAGE,"£1,429.80"
Rochdale BC,27/02/2014,ALCO MINI TRAVEL,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,434.00"
Rochdale BC,14/02/2014,ALIGNED ASSETS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,499.50"
Rochdale BC,14/02/2014,ALIGNED ASSETS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,"£1,749.50"
Rochdale BC,11/02/2014,ALKRINGTON PRE SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£660.00
Rochdale BC,01/02/2014,ALLIANCE CARE AND EDUCATION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£13,285.71"
