Ward name,Surname,Forename,Party name,Votes,Elected,Electorate,Turnout,Display results,Election type,Election year,Item Type,Path
Elmet and Rothwell,Brown,Dylan,Green Party,995,FALSE,80291,74.37,TRUE,General,2017,Item,council/Lists/Election Results
Elmet and Rothwell,Clover,Matthew Barnaby,The Yorkshire Party,1042,FALSE,80291,74.37,TRUE,General,2017,Item,council/Lists/Election Results
Elmet and Rothwell,Golton,Stewart,Liberal Democrats,2606,FALSE,80291,74.37,TRUE,General,2017,Item,council/Lists/Election Results
Elmet and Rothwell,Nagle,David Patrick,Labour Party,22547,FALSE,80291,74.37,TRUE,General,2017,Item,council/Lists/Election Results
Elmet and Rothwell,Shelbrooke,Alec,The Conservative Party Candidate,32352,TRUE,80291,74.37,TRUE,General,2017,Item,council/Lists/Election Results
Leeds Central,Benn,Hilary James,Labour Party,33453,TRUE,89537,55.39,TRUE,General,2017,Item,council/Lists/Election Results
Leeds Central,Carlisle,Ed,Green Party,1189,FALSE,89537,55.39,TRUE,General,2017,Item,council/Lists/Election Results
Leeds Central,Coetzee,Alex,Christian Peoples Alliance,157,FALSE,89537,55.39,TRUE,General,2017,Item,council/Lists/Election Results
Leeds Central,Davies,Gareth Mark,The Conservative Party Candidate,9755,FALSE,89537,55.39,TRUE,General,2017,Item,council/Lists/Election Results
Leeds Central,Nash,Andy,Liberal Democrats,1063,FALSE,89537,55.39,TRUE,General,2017,Item,council/Lists/Election Results
Leeds Central,Palfreman,Bill,UK Independence Party (UKIP),2056,FALSE,89537,55.39,TRUE,General,2017,Item,council/Lists/Election Results
Leeds East,Burgon,Richard,Labour Party,25428,TRUE,65950,62.99,TRUE,General,2017,Item,council/Lists/Election Results
Leeds East,Moran,Jaimes Lewis,Green Party,434,FALSE,65950,62.99,TRUE,General,2017,Item,council/Lists/Election Results
Leeds East,Otley,John,The Yorkshire Party,422,FALSE,65950,62.99,TRUE,General,2017,Item,council/Lists/Election Results
Leeds East,Robinson,Matthew James,The Conservative Party Candidate,12676,FALSE,65950,62.99,TRUE,General,2017,Item,council/Lists/Election Results
Leeds East,Sanderson,Ed,Liberal Democrats,739,FALSE,65950,62.99,TRUE,General,2017,Item,council/Lists/Election Results
Leeds East,Spivey,Paul Anthony,UK Independence Party (UKIP),1742,FALSE,65950,62.99,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Foote,Celia Elizabeth,Alliance for Green Socialism,116,FALSE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Forsaith,Ann Christine,Green Party,680,FALSE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Hamilton,Fabian,Labour Party,33436,TRUE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Hannah,Jon Charles,Liberal Democrats,1952,FALSE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Mutamiri,Tim,Christian Peoples Alliance,67,FALSE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Seddon,Tess Eleanor,The Yorkshire Party,303,FALSE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North East,Stephenson,Ryan,The Conservative Party Candidate,16445,FALSE,70112,75.85,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North West,Hemingway,Martin Francis,Green Party,582,FALSE,68152,68.08,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North West,Lamb,Alan James,The Conservative Party Candidate,9097,FALSE,68152,68.08,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North West,Mulholland,Greg,Liberal Democrats,16192,FALSE,68152,68.08,TRUE,General,2017,Item,council/Lists/Election Results
Leeds North West,Sobel,Alex,Labour and Co-operative Party,20416,TRUE,68152,68.08,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,Davies,Mike,Alliance for Green Socialism,47,FALSE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,Jones,Ed,The Yorkshire Party,378,FALSE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,McGregor,Alisdair Calder,Liberal Democrats,905,FALSE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,Metcalfe,Zoe Estelle,The Conservative Party Candidate,11048,FALSE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,Pointon,Andrew Mark,Green Party,1023,FALSE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,Reeves,Rachel Jane,Labour Party,27013,TRUE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Leeds West,Thackray,Mark Anthony,UK Independence Party (UKIP),1815,FALSE,67955,62.25,TRUE,General,2017,Item,council/Lists/Election Results
Morley and Outwood,Dawson,Neil,Labour and Co-operative Party,24446,FALSE,76495,68.78,TRUE,General,2017,Item,council/Lists/Election Results
Morley and Outwood,Dobson,Craig,Liberal Democrats,1361,FALSE,76495,68.78,TRUE,General,2017,Item,council/Lists/Election Results
Morley and Outwood,Jenkyns,Andrea Marie,The Conservative Party Candidate,26550,TRUE,76495,68.78,TRUE,General,2017,Item,council/Lists/Election Results
Pudsey,Andrew,Stuart James,The Conservative Party Candidate,25550,TRUE,72622,74.55,TRUE,General,2017,Item,council/Lists/Election Results
Pudsey,Buxton,Bob,The Yorkshire Party,1138,FALSE,72622,74.55,TRUE,General,2017,Item,council/Lists/Election Results
Pudsey,McCargo,Ian Joseph,Labour and Co-operative Party,25219,FALSE,72622,74.55,TRUE,General,2017,Item,council/Lists/Election Results
Pudsey,Nixon,Allen Douglas,Liberal Democrats,1761,FALSE,72622,74.55,TRUE,General,2017,Item,council/Lists/Election Results
Pudsey,Wharton,Michael,Independent,291,FALSE,72622,74.55,TRUE,General,2017,Item,council/Lists/Election Results
