organisation id,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction ID
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,ACCESS COMPUTER SERVICE LIMITED,01/07/2015,2000,ACTIVITIES,V000914368
ROCHDALE BOROUGH COUNCIL,01/07/2015,PROPERTY AND HIGHWAYS,ACCESS DOOR SYSTEMS LTD,01/07/2015,2580,TRANSACTIONS-EXPENDITURE,V000915717
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,ACORN RECOVERY PROJECTS,01/07/2015,-1521.43,CONTRACTED SERVICES,V000915818
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,ACORN RECOVERY PROJECTS,01/07/2015,1131.43,CONTRACTED SERVICES,V000915798
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,ACORN RECOVERY PROJECTS,01/07/2015,33250,CONTRACTED SERVICES,V000914865
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,01/07/2015,13333.46,HOME CARE - ADULT SERVICES,V000915911
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,APEX HEALTH AND SOCIAL CARE,01/07/2015,600.05,HOME CARE - ADULT SERVICES,V000915912
ROCHDALE BOROUGH COUNCIL,01/07/2015,ECONOMY AND ENVIRONMENT,ASSOCIATION  PUBLIC SERVICE EXCELLENCE,01/07/2015,3339,EQUIPMENT - GENERAL,V000915550
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,BACK OTH MOSS COMMUNITY CENTRE,01/07/2015,10575,GRANTS TO THE VOLUNTARY SECTOR,V000914862
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,01/07/2015,8375,GRANTS TO THE VOLUNTARY SECTOR,V000914832
ROCHDALE BOROUGH COUNCIL,01/07/2015,EARLY HELP AND SCHOOLS,BARNARDOS,01/07/2015,10703.66,ACTIVITIES,V000914856
ROCHDALE BOROUGH COUNCIL,01/07/2015,CUSTOMERS & CORPORATE SERVICES,BURNSIDE CENTRE ACCOUNT,01/07/2015,6550,GRANTS TO THE VOLUNTARY SECTOR,V000914819
ROCHDALE BOROUGH COUNCIL,01/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,01/07/2015,4388.32,FOSTER PARENTS BASIC ALLOWANCE,V000915963
ROCHDALE BOROUGH COUNCIL,01/07/2015,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,01/07/2015,705.24,HOME CARE - ADULT SERVICES,V000915931
