Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
,,,,,"£9,908,248.34"
23/08/2013,BRITISH GAS BUSINESS,Utilities,FINANCE AND PROCUREMENT,TECHNICAL SUPPORT,"£1,090.45"
23/08/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,£674.51
23/08/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,£831.57
23/08/2013,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£2,481.04"
23/08/2013,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,TOWNHEAD,£501.53
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,ASNEW 2011,£582.78
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,£862.86
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£1,795.10"
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,£533.52
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,"£1,111.16"
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,£586.94
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,"£1,210.20"
23/08/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,WHITWORTH ROAD,£990.25
23/08/2013,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£575.04
23/08/2013,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,£781.13
23/08/2013,BRITISH GAS BUSINESS,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,£515.81
13/08/2013,RICOH UK LTD,Facilities & Management Services,FINANCE AND PROCUREMENT,TECHNICAL SUPPORT,£602.85
13/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,£564.12
13/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,MANAGEMENT ADMIN,£842.48
13/08/2013,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,£700.46
13/08/2013,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,FACILITIES MANAGEMENT ADMIN,"£1,111.71"
13/08/2013,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,MUNICIPAL OFFICES,£984.20
13/08/2013,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,WEST ST OFFICE,"£1,351.34"
13/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,ASSISTANT DIRECTOR EARLY HELP AND SCHOOL,"£1,211.04"
13/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,MUSIC SERVICE BUSINESS UNIT,"£1,002.10"
13/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,SURE START SHARED COSTS,"£2,312.91"
13/08/2013,RICOH UK LTD,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE MANAGEMENT,£976.45
20/08/2013,RICOH UK LTD,Facilities & Management Services,FINANCE AND PROCUREMENT,FINANCE & PROCUREMENT MANAGEMENT,"£1,405.94"
20/08/2013,RICOH UK LTD,Facilities & Management Services,FINANCE AND PROCUREMENT,TECHNICAL SUPPORT,"£2,269.33"
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,£641.20
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,MANAGEMENT,£622.12
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,INSURANCE,£908.67
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,LEGAL SERVICES,"£1,491.54"
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,MANAGEMENT ADMIN,"£1,607.78"
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,PRODUCTION,£966.07
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,TOWNSHIPS & GOVERNANCE,£736.89
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,WORKFORCE DEVELOPMENT,£939.13
20/08/2013,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,CIC ADMINISTRATION,£975.29
20/08/2013,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,SAFEGUARDING CHILDREN UNIT,£882.46
20/08/2013,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,FACILITIES MANAGEMENT ADMIN,"£1,318.35"
20/08/2013,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,MUNICIPAL OFFICES,£840.21
20/08/2013,RICOH UK LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,WEST ST OFFICE,£782.82
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,ASSISTANT DIRECTOR EARLY HELP AND SCHOOL,"£1,765.43"
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,DISABILITIES ADMIN TEAM,£719.42
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,EDUCATIONAL PSYCHOLOGY SERVICE GENERAL,£994.95
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,MUSIC SERVICE BUSINESS UNIT,£646.12
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,PERSONNEL,£647.30
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,SURE START SHARED COSTS,"£2,959.10"
20/08/2013,RICOH UK LTD,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE MANAGEMENT,"£1,796.38"
20/08/2013,RICOH UK LTD,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,REABLEMENT,£526.83
20/08/2013,RICOH UK LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,STRATEGIC COMMISSIONING,£507.33
20/08/2013,RICOH UK LTD,Facilities & Management Services,FINANCE AND PROCUREMENT,TECHNICAL SUPPORT,"£1,616.43"
20/08/2013,RICOH UK LTD,Facilities & Management Services,CORPORATE SERVICES,MANAGEMENT ADMIN,£778.31
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,DISABILITIES ADMIN TEAM,£558.76
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,SURE START SHARED COSTS,£611.62
20/08/2013,RICOH UK LTD,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE MANAGEMENT,£548.04
29/07/2013,SOIL ASSOCIATION CERTIFICATION LTD,Environmental Services,ECONOMY AND ENVIRONMENT,FACILITIES MANAGEMENT ADMIN,£995.00
05/08/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,HOS OVERHEADS,"£45,000.03"
20/08/2013,REDACTED PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,HOS OVERHEADS,"£9,300.00"
30/07/2013,ALLSTAR BUSINESS SOLUTIONS LTD,Vehicles,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£671.36
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,FINANCE AND PROCUREMENT,TECHNICAL SUPPORT,£909.58
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£935.21
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,£723.14
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,"£3,122.80"
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,MUNICIPAL OFFICES,"£1,712.22"
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,EARLY HELP AND SCHOOLS,BRIDGEFOLD LODGE,£538.78
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,EARLY HELP AND SCHOOLS,MUSIC SERVICE HIGHWOOD,"£1,439.92"
16/08/2013,UNITED UTILITIES WATER LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,RONALD GORTON CENTRE,"£1,067.88"
05/08/2013,KEN BROGDEN LIMITED,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,"£3,949.00"
05/08/2013,A E YATES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HEALEY DELL CYCLEWAY S106,"£6,389.70"
30/07/2013,A E YATES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HEALEY DELL CYCLEWAY S106,"£5,803.86"
30/07/2013,A E YATES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,HEALEY DELL CYCLEWAY S106,"£11,391.52"
06/08/2013,ENVIRONMENT AGENCY,Environmental Services,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,"£1,026.00"
06/08/2013,WLG (WHOLESALERS),Catering,ECONOMY AND ENVIRONMENT,TOWN HALL BAR,£797.40
13/08/2013,WLG (WHOLESALERS),Catering,ECONOMY AND ENVIRONMENT,TOWN HALL BAR,£782.48
07/08/2013,G4S TOTAL SECURITY LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,TOWN HALL,£896.00
13/08/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TOWN HALL,"£2,058.09"
15/08/2013,GMCA,Financial Services,ECONOMY AND ENVIRONMENT,GMPTE LEVY,"£1,563,100.00"
21/08/2013,PENNINE LAND LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,ENGLISH PARTNERSHIP,£550.00
05/08/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£30,762.41"
06/08/2013,HOUGHTON WASTE PAPER LTD,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£1,151.00"
07/08/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£37,577.75"
28/08/2013,SAFEGARD SECURITY SOLUTIONS,Facilities & Management Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£6,000.00"
31/07/2013,ENTERPRISE MANCHESTER,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£1,875.00"
06/08/2013,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,"£2,617.98"
06/08/2013,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,"£1,800.83"
06/08/2013,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TELEGRAPH HOUSE SERVICE CHARGE ACCOUNT,£871.23
06/08/2013,FDA DESIGN LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,WATERSHED LSCAPES PROG - PENNINE TSHIP F,"£3,056.94"
08/08/2013,SPECIALIST COMPUTER CENTRES PLC,Information Communication Technology,ECONOMY AND ENVIRONMENT,WATERSHED LSCAPES PROG - PENNINE TSHIP F,£670.00
29/08/2013,FDA DESIGN LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,WATERSHED LSCAPES PROG - PENNINE TSHIP F,£550.00
29/07/2013,NATIONAL FLOOD FORUM,Environmental Services,ECONOMY AND ENVIRONMENT,FLOOD RESILIENCE COMMUNITY PATHFINDER,"£10,898.17"
20/08/2013,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,CIC ADMINISTRATION,£914.03
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,LANGLEY CHILDRENS CENTRE,£887.32
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,MUSIC SERVICE HIGHWOOD,£607.95
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£626.24
20/08/2013,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,SANDBROOK CHILDRENS CENTRE,£537.87
20/08/2013,RICOH UK LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,"£2,094.93"
29/07/2013,KILLGERM CHEMICALS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,PEST CONTROL,£951.75
22/08/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,£636.80
22/08/2013,ANIMAL WARDENS LIMITED,Environmental Services,ECONOMY AND ENVIRONMENT,DOG WARDEN,"£1,154.20"
06/08/2013,KLIPSPRINGER INSTRUMENTAL,Education,ECONOMY AND ENVIRONMENT,RR HEALTHIER CHIP SHOP SCHEME,"£1,209.00"
13/08/2013,MOLESWORTHS BRIGHT CLEGG,Legal Services,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,£700.00
23/08/2013,HAYS SOCIAL CARE,Human Resources,FINANCE AND PROCUREMENT,CORPORATE PROCUREMENT,£668.21
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,CSE RESOURCES,"£6,403.74"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,EDRMS TEAM,"£1,199.07"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MANAGEMENT,"£1,695.36"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,LEGAL SERVICES,"£3,361.18"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,LITIGATION SECTION,"£1,116.50"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,MARKETING,"£3,184.26"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CORPORATE SERVICES,PROPERTY SECTION,£588.98
23/08/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£791.66
23/08/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,PROPERTY MANAGEMENT,"£1,515.70"
23/08/2013,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,TECHNICAL TEAM,"£1,762.22"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADMINISTRATION FOR DUTY AND CP AND CP,"£2,119.58"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£2,911.34"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£5,328.22"
23/08/2013,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,DUTY SOCIAL WORK,"£17,397.27"
