Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
19/09/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,"�57,785.62"
19/09/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,�578.25
19/09/2013,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,�827.39
19/09/2013,BRITISH GAS BUSINESS,Utilities,CHILDREN�S SOCIAL CARE,CROSSFIELD MILL,"�1,243.50"
19/09/2013,BRITISH GAS BUSINESS,Utilities,CHILDREN�S SOCIAL CARE,TOWNHEAD,�526.14
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,"�1,093.80"
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"�1,659.99"
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,�542.01
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,�900.28
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,�610.06
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,�609.62
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,"�1,107.26"
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,MIDDLETON/CENTRAL ETC,�658.13
19/09/2013,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,WHITWORTH ROAD,�835.28
19/09/2013,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,�808.71
19/09/2013,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,�521.01
19/09/2013,BRITISH GAS BUSINESS,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,�501.84
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,CORPORATE SERVICES,HEYWOOD LIBRARY,�605.66
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,"�2,251.30"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"�1,055.16"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,"�3,899.90"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,"�1,224.83"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,WHITWORTH ROAD,"�2,021.69"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,EARLY HELP AND SCHOOLS,HOLLIN SURE START CENTRE,"�1,479.55"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,ICES,"�1,397.84"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,PHYSICAL DIS & OLDER PEOPLE,TUDOR COURT REHAB UNIT,"�1,681.77"
25/09/2013,UNITED UTILITIES WATER LIMITED,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,"�1,623.86"
03/09/2013,BETTAPRINT GARMENT DECORATIONS LIMITED,Facilities & Management Services,ECONOMY AND ENVIRONMENT,FM SCHOOL CLEANING OVERHE,"�11,134.80"
12/09/2013,ALLSTAR BUSINESS SOLUTIONS LTD,Vehicles,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,�678.04
25/09/2013,MC & MA STEWART (HAULAGE) LIMITED,Transport,ECONOMY AND ENVIRONMENT,FIRGROVE PLAYING FIELDS,"�3,600.54"
10/09/2013,CANAL & RIVER TRUST,Financial Services,ECONOMY AND ENVIRONMENT,SPECIAL PROJECTS,"�3,000.00"
17/09/2013,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,TOWN HALL,"�1,832.94"
11/09/2013,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"�2,087.61"
11/09/2013,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"�21,887.30"
11/09/2013,BRAHM FUNDCO 2 LTD,Housing Management,ECONOMY AND ENVIRONMENT,HEYWOOD JSC - PHOENIX CENTRE,"�21,887.30"
