DfE No,School,Type of establishment,Number of pupils on roll,No. with EAL,% with EAL
2005,Abbey Park Primary Academy,Academy,210,5,2.4
2001,Akroydon Primary Academy,Academy,384,34,8.9
5201,All Saints' CE (VA) J & I School,LA Maintained,211,18,8.5
2093,Ash Green Community Primary School,LA Maintained,492,9,1.8
2040,Bailiffe Bridge J & I School,LA Maintained,208,10,4.8
3321,Barkisland CE (VA) Primary School,LA Maintained,205,0,0.0
2019,Beech Hill School,Academy,610,492,80.7
2063,Bolton Brow Primary Academy,Academy,235,9,3.8
2048,Bowling Green Primary School,LA Maintained,159,3,1.9
2004,Bradshaw Primary School,Academy,328,0,0.0
2053,Burnley Road Academy,Academy,260,5,1.9
2042,Carr Green Primary School,LA Maintained,352,8,2.3
2068,Castle Hill Primary School,LA Maintained,288,0,0.0
2054,Central Street Infant & Nursery School,LA Maintained,69,4,5.8
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,194,33,17.0
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,131,1,0.8
2076,Cliffe Hill Community Primary School,LA Maintained,197,8,4.1
2059,Colden J & I School,LA Maintained,79,1,1.3
2006,Copley Primary School,LA Maintained,234,5,2.1
2069,"Cornholme J, I & N School",LA Maintained,229,9,3.9
2055,Cragg Vale J & I School,LA Maintained,49,0,0.0
2087,Cross Lane Primary and Nursery School,LA Maintained,320,69,21.6
2007,Dean Field Community Primary School,LA Maintained,227,6,2.6
3318,"Elland CE (VA) J, I & N School",LA Maintained,215,10,4.7
2003,Ferney Lee Primary School,LA Maintained,213,54,25.4
2000,Field Lane Primary School,Academy,154,14,9.1
3319,Hebden Royd CE (VA) Primary School,LA Maintained,150,7,4.7
2058,"Heptonstall J, I & N School",LA Maintained,111,0,0.0
7010,Highbury School,LA Maintained,71,8,11.3
3331,Holy Trinity Primary School (COEA),Academy,407,219,53.8
2050,Holywell Green Primary School,LA Maintained,241,1,0.4
2010,Lee Mount Primary School,LA Maintained,374,28,7.5
5204,Lightcliffe CE (VA) Primary School,LA Maintained,421,10,2.4
2033,"Ling Bob J, I & N School",LA Maintained,378,78,20.6
5207,Longroyde Primary School,LA Maintained,415,47,11.3
3014,Luddenden CE School,LA Maintained,205,6,2.9
2064,Luddendenfoot Academy,Academy,148,1,0.7
2065,Midgley School,LA Maintained,102,3,2.9
3332,Moorside Community Primary School,LA Maintained,261,8,3.1
2002,Mount Pellon Primary Academy,Academy,540,381,70.6
2066,New Road Primary School,LA Maintained,144,3,2.1
3010,Norland CE (VC) J & I School,LA Maintained,97,0,0.0
2015,Northowram Primary School,LA Maintained,475,3,0.6
2083,Old Earth School,Academy,464,11,2.4
2075,Old Town Primary School,LA Maintained,102,0,0.0
2017,Parkinson Lane Community Primary School,LA Maintained,572,556,97.2
2061,Ripponden J & I School,LA Maintained,222,0,0.0
2082,Riverside Junior School,LA Maintained,153,1,0.7
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),Academy,190,14,7.4
2021,Salterhebble J & I School,LA Maintained,205,23,11.2
5200,Salterlee Academy Trust,Academy,99,0,0.0
2009,Savile Park Primary School,LA Maintained,280,174,62.1
2056,Scout Road Academy,Academy,99,0,0.0
2073,Shade Primary School,LA Maintained,232,1,0.4
2060,Shelf J & I School,LA Maintained,312,2,0.6
2094,Siddal Primary School,Academy,255,21,8.2
2095,Sowerby Village CE (VC) Primary School,LA Maintained,169,2,1.2
3315,St Andrew's CE (VA) Infant School (Brighouse),LA Maintained,165,4,2.4
3314,St Andrew's CE (VA) Junior School (Brighouse),LA Maintained,240,5,2.1
3303,St Augustine's CE (VA) J & I School (Halifax),LA Maintained,185,162,87.6
5206,St Chad's CE (VA) Primary School,LA Maintained,210,1,0.5
5203,"St John's (CE) Primary Academy, Clifton",Academy,207,4,1.9
3322,St John's CE Primary School (Rishworth),Academy,140,0,0.0
3329,St Joseph's Catholic Primary School (Brighouse),LA Maintained,228,7,3.1
3305,St Joseph's Catholic Primary School (Halifax),LA Maintained,192,24,12.5
3330,St Joseph's RC Primary School (Todmorden),LA Maintained,139,27,19.4
3306,St Malachy's Catholic Primary School,Academy,202,58,28.7
3308,St Mary's Catholic Primary School (Halifax),LA Maintained,289,146,50.5
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),LA Maintained,104,0,0.0
5202,St Michael & All Angels CE Primary School,LA Maintained,202,0,0.0
3327,St Patrick's Catholic Primary School (Elland),LA Maintained,133,10,7.5
2057,Stubbings Infant School,LA Maintained,90,4,4.4
2049,The Greetland Academy,Academy,420,4,1.0
4035,The Halifax Academy,Academy,119,29,24.4
3326,"Todmorden CE (VA) J, I & N School",LA Maintained,242,13,5.4
3013,Triangle CE (VC) Primary School,LA Maintained,189,2,1.1
2067,Tuel Lane Infant School,LA Maintained,154,4,2.6
2027,Wainstalls School,Academy,177,1,0.6
5208,Walsden St Peter's CE (VC) Primary School,LA Maintained,174,2,1.1
2028,Warley Road Primary School,LA Maintained,656,520,79.3
2030,Warley Town School,LA Maintained,139,7,5.0
5205,West Vale Primary School,LA Maintained,173,4,2.3
2031,Whitehill Community Academy,Academy,667,11,1.6
2046,Withinfields Primary School,LA Maintained,389,8,2.1
7008,Wood Bank School,LA Maintained,70,29,41.4
2081,Woodhouse Primary School,LA Maintained,417,11,2.6
,,,,,
,,,,,
,,,,,
