DfE Number,School,Number of Pupils with English as an Additional Language
3812005,Abbey Park Primary Academy,5
3812001,Akroydon Primary School,30
3815201,All Saints' CE (VA) J & I School,21
3812093,Ash Green Community Primary School,9
3812040,Bailiffe Bridge J & I School,8
3812019,Beech Hill School,421
3812063,Bolton Brow Primary Academy,7
3812048,Bowling Green Primary School,<5
3812053,Burnley Road Academy,5
3814022,"Calder High School, A Specialist Technology College",<5
3812042,Carr Green Primary School,7
3812054,Central Street Infant & Nursery School,<5
3813001,Christ Church (Pellon) CE (VC) Primary School,32
3812076,Cliffe Hill Community Primary School,10
3812006,Copley Primary School,6
3812069,"Cornholme J, I & N School",9
3812087,Cross Lane Primary and Nursery School,57
3812007,Dean Field Community Primary School,8
3813318,"Elland CE (VA) J, I & N School",9
3812003,Ferney Lee Primary School,49
3812000,Field Lane Primary School,12
3813319,Hebden Royd CE (VA) Primary School,<5
3817010,Highbury School,9
3813331,Holy Trinity Primary School (COEA),217
3812050,Holywell Green Primary School,<5
3812010,Lee Mount Primary School,28
3815204,Lightcliffe CE (VA) Primary School,8
3812033,"Ling Bob J, I & N School",79
3815207,Longroyde Primary School,50
3813014,Luddenden CE School,8
3812064,Luddendenfoot Academy,<5
3812065,Midgley School,<5
3813332,Moorside Community Primary School,9
3812002,Mount Pellon Primary Academy,325
3812066,New Road Primary School,<5
3812015,Northowram Primary School,<5
3812083,Old Earth School,11
3812017,Parkinson Lane Community Primary School,569
3812082,Riverside Junior School,<5
3813328,Sacred Heart Catholic Primary School (Sowerby Bridge),8
3812021,Salterhebble J & I School,16
3812009,Savile Park Primary School,182
3812056,Scout Road Academy,<5
3812073,Shade Primary School,<5
3812060,Shelf J & I School,<5
3812094,Siddal Primary School,22
3812095,Sowerby Village CE (VC) Primary School,<5
3813315,St Andrew's CE (VA) Infant School (Brighouse),<5
3813314,St Andrew's CE (VA) Junior School (Brighouse),<5
3813303,St Augustine's CE (VA) J & I School (Halifax),153
3815206,St Chad's CE (VA) Primary School,<5
3815203,"St John's (CE) Primary Academy, Clifton",5
3813329,St Joseph's Catholic Primary School (Brighouse),8
3813305,St Joseph's Catholic Primary School (Halifax),30
3813330,St Joseph's RC Primary School (Todmorden),32
3813306,St Malachy's Catholic Primary School,57
3813308,St Mary's Catholic Primary School (Halifax),140
3813011,St Mary's CE (VC) J & I School (Sowerby Bridge),<5
3813327,St Patrick's Catholic Primary School (Elland),11
3812057,Stubbings Infant School,<5
3812049,The Greetland Academy,<5
3814035,The Halifax Academy,34
3813326,"Todmorden CE (VA) J, I & N School",13
3813013,Triangle CE (VC) Primary School,<5
3812067,Tuel Lane Infant School,<5
3812027,Wainstalls School,<5
3815208,Walsden St Peter's CE (VC) Primary School,<5
3812028,Warley Road Primary School,473
3812030,Warley Town School,6
3815205,West Vale Primary School,<5
3812031,Whitehill Community Academy,15
3812046,Withinfields Primary School,9
3817008,Wood Bank School,24
3812081,Woodhouse Primary School,11
