DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER, AMOUNT ,
Department of Health,Whittington NHS Trust,01/12/2014,Laundry Service,Laundry,Berendsen Uk Ltd,690838," 54,994.65 ",
Department of Health,Whittington NHS Trust,01/12/2014,Ext Contract Estate/Facility,Domestics,Buzz Housekeeping Services,693461," 25,083.79 ",
Department of Health,Whittington NHS Trust,01/12/2014,Ext Contract Estate/Facility,Domestics,Buzz Housekeeping Services,693476," 24,277.88 ",
Department of Health,Whittington NHS Trust,01/12/2014,Consultancy Fees,Domestics,Buzz Housekeeping Services,693466, 112.48 ,
Department of Health,Whittington NHS Trust,01/12/2014,Ext Contract Estate/Facility,Domestics,Buzz Housekeeping Services,693466," 24,152.20 ",
Department of Health,Whittington NHS Trust,01/12/2014,Computer Hardware,Capital,Dell Computer Corp.Ltd,688317," 51,800.00 ",
Department of Health,Whittington NHS Trust,01/12/2014,Computer Hardware,Capital,Dell Computer Corp.Ltd,688322," 51,800.00 ",
Department of Health,Whittington NHS Trust,01/12/2014,Childcare - Fideliti,Control,Fideliti Ltd,694735," 25,968.50 ",
Department of Health,Whittington NHS Trust,01/12/2014,Childcare Vouchers,Childcare,Fideliti Ltd,694735, 233.72 ,
Department of Health,Whittington NHS Trust,01/12/2014,Rates-General,Estates Management,London Borough Of Islington,690696," 108,934.00 ",
Department of Health,Whittington NHS Trust,01/12/2014,Hardware Maintenance,Patient Systems,Mckesson Inform Solutions Uk Ltd,694046," 125,289.00 ",
Department of Health,Whittington NHS Trust,01/12/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,687718," 100,448.25 ",
Department of Health,Whittington NHS Trust,01/12/2014,Nhs Logistics Stock Issues,Control,Nhs Supply Chain,686153," 51,059.34 ",
Department of Health,Whittington NHS Trust,01/12/2014,Professional Services,Trust Secretariat,Sjmwp Consulting Ltd,693849," 30,229.85 ",
Department of Health,Whittington NHS Trust,04/12/2014,Rents,Trust Headquarters -Goswell Rd,Bolton Group Ltd,696163," 45,804.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Ext Contract Estate/Facility,Domestics,Buzz Housekeeping Services,693477," 24,051.11 ",
Department of Health,Whittington NHS Trust,04/12/2014,Consultancy Fees,Domestics,Buzz Housekeeping Services,694752, 101.80 ,
Department of Health,Whittington NHS Trust,04/12/2014,Ext Contract Estate/Facility,Domestics,Buzz Housekeeping Services,694752," 23,305.18 ",
Department of Health,Whittington NHS Trust,04/12/2014,Sla-Liaison Psychiatry,Accident & Emergency,Camden & Islington Nhs Foundation Trust,686576," 44,897.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Estate & Facility,Simmons House,Camden & Islington Nhs Foundation Trust,695810," 36,876.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Consultancy Fees,Procurement Shared Service,Carbon Credentials Energy Services Ltd,693241," 21,000.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Consultancy Fees,Procurement Shared Service,Carbon Credentials Energy Services Ltd,693242," 21,000.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Consultancy Fees,Procurement Shared Service,Carbon Credentials Energy Services Ltd,695941," 21,000.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Computer Hardware,Capital,Dell Computer Corp.Ltd,688318," 51,800.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Computer Hardware,Capital,Dell Computer Corp.Ltd,688319," 40,922.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,External Data Processing,Procurement Shared Service,Healthtrust Europe Llp,693543," 35,000.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Other Reagents,Integrated Blood Science,Ibg Immucor Ltd,678843," 23,716.95 ",
Department of Health,Whittington NHS Trust,04/12/2014,Ihss Base Service Payment,Sterile Services (Cont Out),Ih Sterile Services Ltd (Hcl Med Tech),685256," 45,743.11 ",
Department of Health,Whittington NHS Trust,04/12/2014,Main Works Contract,Capital,Kiwi Power Ltd,690933," 32,664.20 ",
Department of Health,Whittington NHS Trust,04/12/2014,Hardware Maintenance,Patient Systems,Mckesson Inform Solutions Uk Ltd,694077," 121,749.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Ambulance Contract,Med Front Of House& Transp,Medical Services Ltd,691201," 57,086.96 ",
Department of Health,Whittington NHS Trust,04/12/2014,Nhs Logistics Stock Issues,Control,Nhs Supply Chain,689240," 76,322.74 ",
Department of Health,Whittington NHS Trust,04/12/2014,Nhs Logistics Stock Issues,Control,Nhs Supply Chain,687910," 60,695.38 ",
Department of Health,Whittington NHS Trust,04/12/2014,Nhs Logistics Stock Issues,Control,Nhs Supply Chain,693057," 45,140.86 ",
Department of Health,Whittington NHS Trust,04/12/2014,Computer Hardware,Capital,Rdp Health Ltd,684038," 24,695.00 ",
Department of Health,Whittington NHS Trust,04/12/2014,Band 8c Pharmacist,Joint Formulary Committee,The Ucl Hospitals Nhs Foundation Trust,686937," 40,349.01 ",
Department of Health,Whittington NHS Trust,04/12/2014,Internal Audit,Finance Director,Tiaa Ltd,695284," 23,427.00 ",
Department of Health,Whittington NHS Trust,11/12/2014,Rents,Estates-St Ann'S Hospital,Barnet Enfield & Haringey Mental Health,694592," 149,842.00 ",
Department of Health,Whittington NHS Trust,11/12/2014,Electricity,Environment,Edf Energy,697322," 76,890.40 ",
Department of Health,Whittington NHS Trust,11/12/2014,Electricity,Environment,Edf Energy,697322," 2,378.05 ",
Department of Health,Whittington NHS Trust,11/12/2014,Nhs Clinical Services,Obstetrics & Gynae,Great Ormond Street Hospital Nhs Ft,687739," 30,557.32 ",
Department of Health,Whittington NHS Trust,11/12/2014,Nhs Logistics Stock Issues,Control,Nhs Supply Chain,693059," 60,624.90 ",
Department of Health,Whittington NHS Trust,11/12/2014,Roche Service,Integrated Blood Science,Roche Diagnostics Ltd,685389," 256,937.25 ",
Department of Health,Whittington NHS Trust,19/12/2014,Ext Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,698423," 23,646.67 ",
Department of Health,Whittington NHS Trust,19/12/2014,Ext Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,698423, 101.80 ,
Department of Health,Whittington NHS Trust,19/12/2014,Ext Contract Estate/Facility,Generic Workers,Buzz Housekeeping Services,698424," 23,047.41 ",
Department of Health,Whittington NHS Trust,19/12/2014,Childcare - Fideliti,Control,Fideliti Ltd,700051," 25,341.50 ",
Department of Health,Whittington NHS Trust,19/12/2014,Childcare Vouchers,Childcare,Fideliti Ltd,700051, 228.07 ,
Department of Health,Whittington NHS Trust,19/12/2014,Ihss Base Service Payment,Sterile Services (Cont Out),Ih Sterile Services Ltd (Hcl Med Tech),698863," 45,743.11 ",
Department of Health,Whittington NHS Trust,19/12/2014,Hardware Purchases,Technical Services,Insight Direct (Uk) Ltd,698822," 23,395.17 ",
Department of Health,Whittington NHS Trust,19/12/2014,Rates-General,Estates Management,London Borough Of Islington,699533," 108,934.00 ",
Department of Health,Whittington NHS Trust,19/12/2014,Rents,Estates Management,Metrus Property Advisors Ltd,699467," 61,096.00 ",
Department of Health,Whittington NHS Trust,19/12/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,694349," 100,448.25 ",
Department of Health,Whittington NHS Trust,19/12/2014,Nhs Logistics Stock Issues,Control,Nhs Supply Chain,694042," 66,261.87 ",
Department of Health,Whittington NHS Trust,19/12/2014,Med & Surg Equip Mtce,Med Physics Diag,Nhs Supply Chain,693909," 33,005.08 ",
Department of Health,Whittington NHS Trust,19/12/2014,Med & Surg Equip Mtce,Med Physics Diag,Nhs Supply Chain,693909, 846.32 ,
Department of Health,Whittington NHS Trust,19/12/2014,Main Works Contract,Capital,Redmond Ferry Ltd,693238," 35,477.20 ",
Department of Health,Whittington NHS Trust,19/12/2014,Computer Hardware,Capital,Softcat Ltd,684039," 53,098.64 ",
Department of Health,Whittington NHS Trust,19/12/2014,Stock-Pharmacy,Control,The Royal Free London Nhs Ft,695629," 106,563.22 ",
Department of Health,Whittington NHS Trust,19/12/2014,Stock-Pharmacy,Control,The Royal Free London Nhs Ft,697747," 59,151.95 ",
Department of Health,Whittington NHS Trust,19/12/2014,Consultants,General Surgery,The Royal Free London Nhs Ft,581337," 39,154.37 ",
