OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,VP67602270Q05201,Aastra Line Rental,CENTRAL & CORPORATE,213 - Telephones,,06/11/2014,,,,,"£52,631.83",0,"BRITISH TELECOM BT/BACS, British Telecom Bt/Bacs, Bt Payment Services Ltd, Bt Telephone Payment Centre, DURHAM, DH98 1BT",,e) Large,,Andrew Byrom,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,90/14,Adoption Fees,CHILDRENS SERVICES,559 - Interagency Adoptions,,10/11/2014,,,,,"£5,000.00",0,"CHRYSALIS ASSOCIATES LTD, Chrysalis Associates Ltd, 48 Wostenholm Road, , SHEFFIELD, S7 1LL",,Other/Not known,,Sarah Johal,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,IN000521,Advertising,STRATEGIC LANDLORD,211 - Advertising,,25/11/2014,,,,,"£7,200.00",0,"CLAREMON LTD, Claremon Ltd, Unit 2  606 Industrial Park, Staithgate Lane, BRADFORD, BD6 1YA",,c) Small,,Mike Camponi,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,605412,Agency Staff,CENTRAL & CORPORATE,8 - Agency Staff,,12/11/2014,,,,,"£20,888.24",0,"RULLION IT PLUS LIMITED, Rullion It Plus Limited, Po Box 47, Trafalgar House, ALTRINCHAM  CHESHIRE, WA14 1FG",,e) Large,,Steve Bedford,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,11259678ITE,Agency Staff,CENTRAL & CORPORATE,8 - Agency Staff,,19/11/2014,,,,,"£9,000.00",0,"MODIS INTERNATIONAL LTD, Modis International Ltd, Unit 3010 The Pavillions, The Crescent  Solihull Park Way, BIRMINGHAM, B37 7YE",,e) Large,,Steve Bedford,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,1062E,Balcony concrete repairs,ENVIRONMENT & HOUSING, ,,21/11/2014,,,,,"£19,600.00",0,"FRESCRETE LTD, Frescrete Ltd, Unit 2 Springwell Court, Holbeck Lane, LEEDS, LS12 1AL",,Other/Not known,,Adam Crampton,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,W/PI6257/20141119,"Building, repairs and maintenance",CENTRAL & CORPORATE,101 - Maintenance Of Buildings,,26/11/2014,,,,,"£8,409.24",0,"G & S PINPLATES AND ENGINEERING LTD, G & S Pinplates And Engineering Ltd, City Works, Melbourne Street, MORLEY    LEEDS, LS27 8BG",,b) Micro,,Phil Rigby,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,LCC344,"Building, Repairs and Maintenance",ENVIRONMENT & HOUSING,265 - Other Hired And Contracted Services,,17/11/2014,,,,,"£20,866.70",0,"C D ROBINSON BUILDING & PLASTERING, C D Robinson Building & Plastering, Unit 8 Ashton Road Ind Estate, Ashton Road, LEEDS, LS8 5BZ",,b) Micro,,Phil Rigby,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,14518,"Building, Repairs and Maintenance",CENTRAL & CORPORATE,265 - Other Hired And Contracted Services,,21/11/2014,,,,,"£18,606.00",0,"RDF BUILDING SERVICES LTD, Rdf Building Services Ltd, 7 Wortley Moor Road, , LEEDS, LS12 4JF",,c) Small,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,1002351/1/17323,"Building, Repairs and Maintenance",ENVIRONMENT & HOUSING, ,,03/11/2014,,,,,"£42,558.12",0,"BSS GROUP PLC, Bss Group Plc, Sales Ledger Department, Po Box 5884, LEICESTER, LE1 3ZN",,e) Large,,Phil Rigby,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,CT5087,Carry out roofing works to workshop,CITY DEVELOPMENT, ,,11/11/2014,,,,,"£23,585.00",0,"C P THORNTON ROOFING, C P Thornton Roofing, Unit 12 Penraevon Industrial Estate, Meanwood Road, LEEDS, LS7 2AW",,c) Small,,Andrew McCulloch,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,INV215003,Caseworks annual maintenance -,STRATEGIC LANDLORD,214 - Computer Software & Equipment,,11/11/2014,,,,,"£5,633.25",0,"HUB SOLUTIONS, Hub Solutions, 24 Bidwell Gardens, , LONDON, N11 2AX",,b) Micro,,Girish Solanki,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,751,Chief Officer recruitment,ADULT SOCIAL CARE,80 - Recruitment Advertising,,20/11/2014,,,,,"£24,680.00",0,"PROVENTURE CONSULTING LTD, Proventure Consulting Ltd, Blackfriars House, Parsonage, MANCHESTER, M3 2JA",,Other/Not known,,Gillian Bell,Quote
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,PKGI/01696,Chief Officer recruitment,CITY DEVELOPMENT,80 - Recruitment Advertising,,11/11/2014,,,,,"£6,250.00",0,"HEMMING GROUP LIMITED, Hemming Group Limited, 32 Vauxhall Bridge Road, , LONDON, SW1V 2SS",,d) Medium,,Graham Fisher,Quote
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,28/02/2015,1740,City Varieties - Show,SHOWS,203 - Operational Furniture And Equipment,,28/11/2014,,,,,"£11,784.00",0,"Q DIVISION LTD, Q Division Ltd, Unit 2, Devro Court, Crossgreen Industrial Estate, LEEDS, LS9 0SW",,b) Micro,,Julie Wainwright,Other
