ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT £,PURPOSE,TRANSACTION NO
ROCHDALE BOROUGH COUNCIL,01/03/2017,ECONOMY DIRECTORATE,OFFICE DEPOT UK LIMITED,01/03/2017,1512.00 ,ACTIVITIES,V000984755
ROCHDALE BOROUGH COUNCIL,10/03/2017,EARLY HELP AND SCHOOLS,PJS MUSIC SERVICES,10/03/2017,1084.50 ,EQUIPMENT - GENERAL,V001029152
ROCHDALE BOROUGH COUNCIL,20/03/2017,CHILDREN’S SOCIAL CARE,LUCY FAITHFULL FOUNDATION,20/03/2017,1236.00 ,TRAINING,V001034755
ROCHDALE BOROUGH COUNCIL,10/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,10/03/2017,2388.00 ,EQUIPMENT - GENERAL,V001043466
ROCHDALE BOROUGH COUNCIL,10/03/2017,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,10/03/2017,650.00 ,EQUIPMENT - GENERAL,V001052515
ROCHDALE BOROUGH COUNCIL,10/03/2017,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,10/03/2017,1090.00 ,EQUIPMENT - GENERAL,V001052606
ROCHDALE BOROUGH COUNCIL,07/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/03/2017,4971.25 ,COMMUNICATION AND COMPUTING - GENERAL,V001070314
ROCHDALE BOROUGH COUNCIL,20/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,WARRINGTON TRUCK PARTS LTD,20/03/2017,925.20 ,VEHICLE MAINTENANCE,V001070666
ROCHDALE BOROUGH COUNCIL,24/03/2017,EARLY HELP AND SCHOOLS,THE UK ASSOCIATION FOR MUSIC EDUCATION MUSIC MARK,24/03/2017,625.00 ,SUBSCRIPTIONS,V001073714
ROCHDALE BOROUGH COUNCIL,24/03/2017,EARLY HELP AND SCHOOLS,THE UK ASSOCIATION FOR MUSIC EDUCATION MUSIC MARK,24/03/2017,-780.00 ,SUBSCRIPTIONS,V001073715
ROCHDALE BOROUGH COUNCIL,13/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,13/03/2017,4363.20 ,PURCHASE OF FURNITURE AND EQUIPMENT,V001075999
ROCHDALE BOROUGH COUNCIL,16/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,ENCRIPTION LTD,16/03/2017,2100.00 ,PURCHASE OF ICT SOFTWARE,V001076890
ROCHDALE BOROUGH COUNCIL,15/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,15/03/2017,590.16 ,"TREES, SHRUBS, PLANTS",V001080774
ROCHDALE BOROUGH COUNCIL,06/03/2017,NEIGHBOURHOODS AND ENVIRONMENT,IML LABELS AND SYSTEMS LTD,06/03/2017,1415.00 ,IT EQUIPMENT,V001082524
