"ID","UniqueID","Make and Model Desc","Propulsion Type Desc","Wheel Plan Desc","Body Type Desc 1","BodyTypeDesc2","Camera","PostCode","Reg_Month","manufacture","GVW","EngineCC","CO2","PM","Nox","EuroClass"
1,"87546","NISSAN QASHQAI N-TEC + DCI","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"WF177","2015-01","2015","0","1461","99","0.1","0.163","NULL"
2,"537","NISSAN QASHQAI TEKNA DIG-T","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS122","2015-01","2015","0","1198","129","0.01","0.031","NULL"
3,"52159","PEUGEOT EXPERT 1000 L1H1 PROF-NAL HDI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",5,"LS141","2015-01","2015","0","1997","168","0.001","0.207","NULL"
4,"209812","PEUGEOT 208 STYLE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",11,"LS253","2015-01","2015","0","1200","104","NULL","0.026","NULL"
5,"209812","PEUGEOT 208 STYLE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",9,"LS253","2015-01","2015","0","1200","104","NULL","0.026","NULL"
6,"429866","VOLKSWAGEN GOLF GTD","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"WD181","2015-02","2015","1860","1968","109","NULL","0.064","NULL"
7,"167062","VOLKSWAGEN POLO SEL TDI","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"PE019","2015-01","2015","1640","1422","88","NULL","0.042","NULL"
8,"8994","LAND ROVER RANGE ROVER EVOQUE PURE T SD4","DIESEL","2 AXLE RIGID BODY",,,11,"LS236","2015-01","2015","2350","2179","149","NULL","0.15","NULL"
9,"8994","LAND ROVER RANGE ROVER EVOQUE PURE T SD4","DIESEL","2 AXLE RIGID BODY",,,5,"LS236","2015-01","2015","2350","2179","149","NULL","0.15","NULL"
10,"8994","LAND ROVER RANGE ROVER EVOQUE PURE T SD4","DIESEL","2 AXLE RIGID BODY",,,9,"LS236","2015-01","2015","2350","2179","149","NULL","0.15","NULL"
11,"101555","AUDI Q3 S LINE TDI","DIESEL","2 AXLE RIGID BODY",,,11,"LS090","2015-01","2015","2045","1968","137","NULL","0.112","NULL"
12,"7748","SKODA RAPID SPACEBACK SE TECH TSI","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS063","2015-01","2015","1630","1197","125","0.001","0.034","NULL"
13,"7748","SKODA RAPID SPACEBACK SE TECH TSI","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS063","2015-01","2015","1630","1197","125","0.001","0.034","NULL"
14,"14377","SKODA FABIA SE 12V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"HX030","2015-01","2015","1550","1198","128","NULL","0.016","NULL"
15,"14377","SKODA FABIA SE 12V","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"HX030","2015-01","2015","1550","1198","128","NULL","0.016","NULL"
16,"142246","SKODA RAPID SPACEBACK SE TECH TSI","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"LS270","2015-01","2015","1610","1197","119","0.002","0.022","NULL"
17,"142246","SKODA RAPID SPACEBACK SE TECH TSI","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS270","2015-01","2015","1610","1197","119","0.002","0.022","NULL"
18,"11069","VOLVO V40 R-DESIGN D2","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",11,"LS184","2015-01","2015","0","1560","88","0.001","0.173","NULL"
19,"10406","BMW X1 XDRIVE20D XLINE","DIESEL","2 AXLE RIGID BODY",,,5,"BD108","2014-12","2014","0","1995","145","NULL","0.169","Euro 5"
20,"191678","AUDI A5 S LINE BLACK EDITON TDI CVT","DIESEL","2 AXLE RIGID BODY",,,1,"LS184","2014-12","2014","1995","1968","123","NULL","0.142","NULL"
21,"374914","VAUXHALL CORSA EXCITE AC","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"BD129","2014-12","2014","0","1398","129","NULL","0.046","NULL"
22,"501227","VAUXHALL CORSA LTD EDTN CDTI EFLEX","DIESEL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",1,"BD228","2014-12","2014","0","1248","110","NULL","0.123","NULL"
23,"67592","VAUXHALL VIVARO 2900 SPORTIVE CDTI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",5,"BS163","2015-01","2015","2990","1598","170","0.001","0.247","Euro 5"
24,"67592","VAUXHALL VIVARO 2900 SPORTIVE CDTI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",1,"BS163","2015-01","2015","2990","1598","170","0.001","0.247","Euro 5"
25,"67592","VAUXHALL VIVARO 2900 SPORTIVE CDTI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",5,"BS163","2015-01","2015","2990","1598","170","0.001","0.247","Euro 5"
26,"135042","KIA CEED 2 ECODYNAMICS CRDI","DIESEL","2 AXLE RIGID BODY",,,11,"YO089","2015-01","2015","1484","1582","116","0.001","0.142","NULL"
27,"135042","KIA CEED 2 ECODYNAMICS CRDI","DIESEL","2 AXLE RIGID BODY",,,9,"YO089","2015-01","2015","1484","1582","116","0.001","0.142","NULL"
28,"249698","VOLKSWAGEN GOLF MATCH BLUEMOTION TECH TSI","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"BD100","2015-01","2015","1750","1395","123","NULL","0.028","NULL"
29,"6672","NISSAN QASHQAI N-TEC DIG-T","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",11,"LS097","2015-01","2015","0","1198","129","0.01","0.031","NULL"
30,"6672","NISSAN QASHQAI N-TEC DIG-T","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",9,"LS097","2015-01","2015","0","1198","129","0.01","0.031","NULL"
31,"222641","NISSAN QASHQAI ACENTA PREMIUM DCI CVT","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"DE214","2015-01","2015","0","1598","119","0.53","0.108","NULL"
32,"222641","NISSAN QASHQAI ACENTA PREMIUM DCI CVT","DIESEL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"DE214","2015-01","2015","0","1598","119","0.53","0.108","NULL"
33,"13071","IVECO DAILY 70C17","DIESEL","2 AXLE RIGID BODY","GOODS","Insulated Van",1,"HD014","2015-01","2015","7000","2998","0","0.002","0.235","NULL"
34,"189895","IVECO STRALIS AD260S33Y/PT S-A","DIESEL","3 AXLE RIGID BODY","GOODS","Curtain Sided",11,"WF129","2015-01","2015","26000","8710","0","0.005","0.341","NULL"
35,"189895","IVECO STRALIS AD260S33Y/PT S-A","DIESEL","3 AXLE RIGID BODY","GOODS","Curtain Sided",5,"WF129","2015-01","2015","26000","8710","0","0.005","0.341","NULL"
36,"200657","IVECO STRALIS AD260S33Y/PT S-A","DIESEL","3 AXLE RIGID BODY","GOODS","Curtain Sided",1,"WF129","2015-01","2015","26000","8710","0","0.005","0.341","NULL"
37,"200657","IVECO STRALIS AD260S33Y/PT S-A","DIESEL","3 AXLE RIGID BODY","GOODS","Curtain Sided",5,"WF129","2015-01","2015","26000","8710","0","0.005","0.341","NULL"
38,"4914","FORD FIESTA ZETEC","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"WF170","2015-01","2015","1550","998","99","0.001","0.034","Euro 5"
39,"130460","VOLKSWAGEN GOLF R DSG","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"MK145","2015-01","2015","1980","1984","159","NULL","0.036","NULL"
40,"103158","VOLKSWAGEN CADDY MAXI C20 TDI","DIESEL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle",5,"B 263","2015-02","2015","2280","1598","149","NULL","0.106","NULL"
41,"141771","VOLKSWAGEN CADDY MAXI C20 TDI","DIESEL","2 AXLE RIGID BODY","CARS","Multi Purpose Vehicle",5,"B 263","2015-02","2015","2280","1598","149","NULL","0.106","NULL"
42,"217452","VOLKSWAGEN CADDY C20 STARTLINE TDI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",1,"LS133","2015-02","2015","2159","1598","147","NULL","0.106","NULL"
43,"217452","VOLKSWAGEN CADDY C20 STARTLINE TDI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",5,"LS133","2015-02","2015","2159","1598","147","NULL","0.106","NULL"
44,"156490","JAGUAR XF SE BUSINESS D AUTO","DIESEL","2 AXLE RIGID BODY",,,1,"LS125","2015-01","2015","0","2179","129","0.002","0.154","NULL"
45,"2276","VAUXHALL ASTRA SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY",,,11,"LS090","2015-01","2015","0","1956","154","NULL","0.119","NULL"
46,"2276","VAUXHALL ASTRA SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY",,,5,"LS090","2015-01","2015","0","1956","154","NULL","0.119","NULL"
47,"2276","VAUXHALL ASTRA SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY",,,1,"LS090","2015-01","2015","0","1956","154","NULL","0.119","NULL"
48,"2276","VAUXHALL ASTRA SRI CDTI AUTO","DIESEL","2 AXLE RIGID BODY",,,5,"LS090","2015-01","2015","0","1956","154","NULL","0.119","NULL"
49,"124716","BMW X4 XDRIVE20D M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,5,"LS126","2015-01","2015","0","1995","141","NULL","0.035","Euro 6"
50,"379418","FORD FOCUS TITANIUM TDCI","DIESEL","2 AXLE RIGID BODY",,,5,"LS179","2015-01","2015","2050","1997","105","NULL","0.068","Euro 6"
51,"102806","FORD FIESTA ST-3 TURBO","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",1,"LS278","2015-01","2015","1575","1596","138","0.001","0.013","Euro 5"
52,"102806","FORD FIESTA ST-3 TURBO","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"LS278","2015-01","2015","1575","1596","138","0.001","0.013","Euro 5"
53,"54247","FORD FIESTA ZETEC S","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",5,"PE019","2015-02","2015","1550","998","99","0.001","0.034","Euro 5"
54,"208341","FORD KA ZETEC","PETROL","2 AXLE RIGID BODY","CARS","3 Door Hatchback",11,"DL107","2015-01","2015","1320","1242","115","NULL","0.024","Euro 6"
55,"141582","BMW 520D M SPORT AUTO","DIESEL","2 AXLE RIGID BODY",,,11,"WF015","2014-12","2014","0","1995","119","NULL","0.031","Euro 6"
56,"54345","RENAULT CAPTUR D-QUE M-NAV NRG TCE S/S","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",11,"LS146","2015-01","2015","0","898","114","NULL","0.015","NULL"
57,"54345","RENAULT CAPTUR D-QUE M-NAV NRG TCE S/S","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"LS146","2015-01","2015","0","898","114","NULL","0.015","NULL"
58,"54345","RENAULT CAPTUR D-QUE M-NAV NRG TCE S/S","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"LS146","2015-01","2015","0","898","114","NULL","0.015","NULL"
59,"54345","RENAULT CAPTUR D-QUE M-NAV NRG TCE S/S","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",9,"LS146","2015-01","2015","0","898","114","NULL","0.015","NULL"
60,"169196","MERCEDES E250 AMG LINE CDI AUTO","DIESEL","2 AXLE RIGID BODY",,,5,"LS142","2015-01","2015","2360","2143","134","0.16","0.145","NULL"
61,"169196","MERCEDES E250 AMG LINE CDI AUTO","DIESEL","2 AXLE RIGID BODY",,,1,"LS142","2015-01","2015","2360","2143","134","0.16","0.145","NULL"
62,"169196","MERCEDES E250 AMG LINE CDI AUTO","DIESEL","2 AXLE RIGID BODY",,,9,"LS142","2015-01","2015","2360","2143","134","0.16","0.145","NULL"
63,"115712","MERCEDES A180 BLUEEFFICIENCY SPORT AUTO","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"WF033","2015-01","2015","1920","1595","124","0.32","0.012","NULL"
64,"33008","RENAULT CAPTUR D-QUE M-NAV NRG TCE S/S","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"B 263","2015-01","2015","0","898","114","NULL","0.015","NULL"
65,"33008","RENAULT CAPTUR D-QUE M-NAV NRG TCE S/S","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",5,"B 263","2015-01","2015","0","898","114","NULL","0.015","NULL"
66,"130143","DACIA SANDERO STEPWAY LAUREATE TCE","PETROL","2 AXLE RIGID BODY","CARS","5 Door Hatchback",1,"LS288","2015-01","2015","1550","898","124","NULL","0.013","NULL"
67,"36112","RENAULT TRAFIC SL27 BUSINESS+ NRG DCI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",9,"WF033","2015-02","2015","2760","1598","155","NULL","0.211","NULL"
68,"36112","RENAULT TRAFIC SL27 BUSINESS+ NRG DCI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",11,"WF033","2015-02","2015","2760","1598","155","NULL","0.211","NULL"
69,"36112","RENAULT TRAFIC SL27 BUSINESS+ NRG DCI","DIESEL","2 AXLE RIGID BODY","GOODS","Panel Van",5,"WF033","2015-02","2015","2760","1598","155","NULL","0.211","NULL"
