Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
Calverley Golf Club Ltd,"Unit 3, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",65232759,,13500,Workshop And Premises,Empty Relief - Post 01/04/2008
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,Workshop And Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite D101/103, Dean Clough Mills, Halifax, HX3 5AX",64788839,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",7600,Offices and Premises,Listed Building
Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX",64784855,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",2750,Office,Listed Building
Dean Clough Ltd,"Office Suite D 132, Dean Clough Mills, Halifax, HX3 5AX",64885701,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",3450,Office,Listed Building
John David Group Plc,"10 Corn Market, Halifax, HX1 1TH",64688010,"Hollinsbrook Way, Pilsworth, Bury, Lancs., BL9 8RR",22500,Shop and Premises,Empty Relief - Post 01/04/2008
,"4 Cow Green, Halifax, HX1 1JF",64700004,,5500,Shop and Premises,Empty Relief - Post 01/04/2008
Ppc Uk Ltd (In Administration),"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852703,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1900,Warehouse And Premises,Rateable Value below threshold
Maramar Holdings Ltd,"Unit 1, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242784,,9400,Offices and Premises,Empty Relief - Post 01/04/2008
,"Junction Hotel, 192 King Cross Road, Halifax, HX1 3JP",65516715,,11500,Public House and Premises,Empty Relief - Post 01/04/2008
,"Office Suite D 248, Dean Clough Office Park, Halifax, HX3 5AX",64788735,,1225,Office,Rateable Value below threshold
Rouse Homes Limited,"Coley Nurseries, Denholmegate Road, Hipperholme, Halifax             HX3 8HX",64812708,"8 Carr Crofts Drive, Armley, Leeds, LS12 3AL",80000,Garden Centre And Premises,Listed Building
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,"8 St Stephen Street, Manchester, M3 6AY",9500,Offices and Premises,Listed Building
,"Office 4, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480712,,1425,Office,Empty Property - RV < 15000
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,,1900,Shop and Premises,Rateable Value below threshold
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,,2350,Shop and Premises,Empty Property - RV < 15000
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,,2600,Shop and Premises,Rateable Value below threshold
99p Stores Ltd - In Administration,"43/45 Westgate House, Market Street, Halifax, HX1 1PD",65736737,"C/O Alix Partners, The Zenith Building, 26 Spring Gardens, Manchester, M2 1AB",90000,Shop and Premises,Empty Relief - Post 01/04/2008
,"3 Batley Street, Lee Mount, Halifax, HX3 5DG",64172003,,1825,Shop and Premises,Rateable Value below threshold
,"4 Carlton Place, Halifax, HX1 2SB",64484702,,7400,Restaurant and Premises,Empty Relief - Post 01/04/2008
Enterprise Inns Plc,"Maggies, 24 Fountain Street, Halifax, HX1 1LW",65100706,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",56000,Public House and Premises,Empty Relief - Post 01/04/2008
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",16500,Offices and Premises,Listed Building
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,,3350,Shop and Premises,Listed Building
,"Ground & First Floors, 51 Crown Street, Halifax, HX1 1JB",64756736,,5100,Shop and Premises,Listed Building
Halifax Opportunities Trust,"Unit 7, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264724,"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",2150,Workshop And Premises,Rateable Value below threshold
Maramar Holdings Ltd,"Unit 1 The Maltings, Halifax Road, Elland, HX5 0SH",56116724,,2900,Workshop And Premises,Empty Relief - Post 01/04/2008
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",4150,Offices and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",660,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212764,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",455,Store And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 309 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212749,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store And Premises,Listed Building
James Garside & Son Ltd,"Unit 6, Grantham Works, Grantham Road, Halifax              HX3 6PL",65192721,"Unit 2 Grantham Works, Grantham Road, Boothtown, Halifax, HX3 6PL",17750,Factory and Premises,Empty Relief - Post 01/04/2008
