Organisation Name,Organisation Code,Effective date (ie When published),Contract Reference number,Title of Agreement,Service area,Description of goods and services,Contract start date,Contract End Date,Contract Value - full term,Contract Value - estimated annual spend,Irrecoverable VAT,Supplier,Supplier registered charity number (where applicable),Is the Contractor a Small/Medium sized enterprise?,Is the Contractor a Voluntary/Community Sector organisation?,Pre-contractual process used.  ,Location served label,Location Served URL
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003743,Ashtead Recreation Ground car park surfacing work,Parks,"Install kerbs, new posts and resurface damaged section of car park",30/03/2015,02/04/2015,16211,16211,N/A,Courtney Surfacing,N/A,Yes,No,Invitation to Quote,Mole Valley - Ashtead,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003747,Masterplanner for Leatherhead Town Centre,Benefits,Consultant to produce a masterplan to rejuvenate and transform Leatherhead town centre,31/03/2015,31/03/2017,157000,78000,N/A,Broadway Malyan Ltd,N/A,No,No,Invitation to Quote,Mole Valley - Leatherhead,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003751,"Annual maintenance charges for BDM & IBI, including scheduoled upgrades",Financial Services,"Annual maintenance charges for BDM & IBI, including scheduoled upgrades",01/03/2015,28/02/2016,32000,32000,N/A,Capita IB Solutions,N/A,No,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003757,"Kingston Road Recreation Ground, additional play equipment project",Parks,"Supply or playground equipment for Kingston Road Recreation Ground, Leatherhead",25/03/2015,15/04/2015,20000,20000,N/A,eibe Play Ltd,N/A,Yes,No,Invitation to Quote,Mole Valley - Leatherhead,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003763,Web site licenses,I.T.,Web site licenses,25/04/2015,24/04/2016,6110,6110,N/A,GOSS Interactive Ltd,N/A,Yes,No,Invitation to Quote,Mole valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003764,External audit,Financial Services,External audit fee (paid quarterly),01/04/2015,31/03/2016,61000,61000,N/A,Grant Thornton UK LLP,N/A,No,No,Direct award,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003766,Annual license,Legal Services,Annual license,01/04/2015,31/03/2016,1800,1800,N/A,Iken Business Ltd,N/A,Yes,No,Invitation to Quote,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003768,Heating repairs and maintenance - Pippbrook and other council offices,Property,Heating repairs and maintenance - Pippbrook and other council offices,01/03/2015,31/03/2016,156000,39000,N/A,Industraheat,N/A,Yes,No,Invitation to Quote,Mole Valley - Dorking,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003770,In-Tend software licences and support,Financial Services,"Annual charge for software, licenses and support for In-Tend (SE Shared Services). Excludes training costs",01/03/2015,28/02/2017,14000,6999,N/A,In-tend Limited,N/A,Yes,No,Framework Agreement,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003771,Jobs Go Public,Human Resources,Annual fee for public sector recruitment service,30/06/2015,29/06/2016,6426,6426,N/A,JGP Resourcing,N/A,Yes,No,Proprietary Goods,Mole Valley,http://statistics.data.gov.uk/id/statistical-geography/E07000210
Mole Valley District Council,http://opendatacommunities.org/id/district-council/mole-valley,30/06/2015,MVDC 003773,Supply of meat products to Fairfield Centre,Communities & Customer Services,Supply of meat products to Fairfield Centre,01/04/2015,01/04/2016,4400,4400,N/A,John Sheppard Butchers Limited,N/A,Yes,No,Invitation to Quote,Mole Valley - Leatherhead,http://statistics.data.gov.uk/id/statistical-geography/E07000210
