year,type,area,surname,forename,partyname,votes,SpoiltPapers,elected,electorate
2010,LOCAL,TEMPLE NEWSAM,CHRISTIE,Gareth Morgan,Alliance for Green Socialism,126,,,16218
2010,LOCAL,TEMPLE NEWSAM,DOWLING,Ian George,Liberal Democrats,1538,,,16218
2010,LOCAL,TEMPLE NEWSAM,GALE,David Arthur,Independent,1072,,,16218
2010,LOCAL,TEMPLE NEWSAM,GIBSON,Ian,British National Party,1041,,,16218
2010,LOCAL,TEMPLE NEWSAM,HAYES,Elizabeth Mary,Conservative Party [The],3032,,,16218
2010,LOCAL,TEMPLE NEWSAM,LYONS,Mick,Labour Party [The],4098,,ELECTED,16218
2010,LOCAL,ARDSLEY AND ROBIN HOOD,BAVAGE,Katherine,Liberal Democrats,1742,,,16700
2010,LOCAL,ARDSLEY AND ROBIN HOOD,BEVERLEY,Joanna,British National Party,1490,,,16700
2010,LOCAL,ARMLEY,ARNOTT,Elizabeth Jane,Liberal Democrats,2186,,,17685
2010,LOCAL,ARMLEY,HARPER,Janet,Labour Party [The],4475,,ELECTED,17685
2010,LOCAL,ARMLEY,KNIGHT,Samantha Dawn,British National Party,921,,,17685
2010,LOCAL,ARMLEY,RODWELL,Gregory William Paul,Conservative Party [The],1478,,,17685
2010,LOCAL,ARMLEY,SIMPSON,Robert,Green Party [The],635,,,17685
2010,LOCAL,ALWOODLEY,HARRAND,Peter Mervyn,Conservative Party [The],6225,,ELECTED,17744
2010,LOCAL,ALWOODLEY,HENDON,Warren,United Kingdom Independence Party,343,,,17744
2010,LOCAL,ALWOODLEY,JACKSON,Brian,Alliance for Green Socialism,152,,,17744
2010,LOCAL,ALWOODLEY,KNIGHTS,Sue,Liberal Democrats,2207,,,17744
2010,LOCAL,ALWOODLEY,PICKARD,Rosie,Labour Party [The],3426,,,17744
2010,LOCAL,ALWOODLEY,TAYLOR,Wayne Patrick,British National Party,246,,,17744
2010,LOCAL,ADEL AND WHARFEDALE,DAWSON,Doreen,British National Party,332,,,16022
2010,LOCAL,ADEL AND WHARFEDALE,FOX,Clive,Conservative Party [The],5292,,ELECTED,16022
2010,LOCAL,ADEL AND WHARFEDALE,GILL,Nigel,Labour Party [The],1822,,,16022
2010,LOCAL,ADEL AND WHARFEDALE,MARCHANT,Paul Richard,Green Party [The],291,,,16022
2010,LOCAL,ADEL AND WHARFEDALE,SHAW,Christina,Liberal Democrats,4508,,,16022
2010,LOCAL,PUDSEY,ALDISS,Jason Karl,Conservative Party [The],3356,,,17235
2010,LOCAL,PUDSEY,COULSON,Mick,Labour Party [The],4861,,ELECTED,17235
2010,LOCAL,PUDSEY,DRACUP,Irene Glynis,Green Party [The],292,,,17235
2010,LOCAL,PUDSEY,MISSON,Winifred,British National Party,901,,,17235
2010,LOCAL,PUDSEY,STUBBS,Brendan Robert,Liberal Democrats,2081,,,17235
2010,LOCAL,MORLEY SOUTH,BEVERLEY,Chris,British National Party,2246,,,16709
2010,LOCAL,MORLEY SOUTH,HAIGH,Andrew Gordon,Conservative Party [The],1880,,,16709
2010,LOCAL,MORLEY SOUTH,SKINNER,Rowena Samantha Latisha,Liberal Democrats,1149,,,16709
2010,LOCAL,MORLEY SOUTH,VARLEY,Shirley,Morley Borough Independents,2837,,ELECTED,16709
2010,LOCAL,MORLEY SOUTH,WILKINSON,Rob,Labour Party [The],2497,,,16709
2010,LOCAL,CHAPEL ALLERTON,DOWSON,Jane Alice,Labour Party [The],5796,,ELECTED,17159
2010,LOCAL,CHAPEL ALLERTON,FRANKLAND,John Garth,Alliance for Green Socialism,825,,,17159
2010,LOCAL,CHAPEL ALLERTON,MARSHALL,Dean Drew,British National Party,230,,,17159
2010,LOCAL,CHAPEL ALLERTON,PATERSON,Daniel John,Conservative Party [The],1471,,,17159
2010,LOCAL,CHAPEL ALLERTON,SLACK,Adam John Thomas,Liberal Democrats,2154,,,17159
2010,LOCAL,HEADINGLEY,FOREN,Christopher Mark,Green Party [The],710,,,15818
2010,LOCAL,HEADINGLEY,HAMILTON,Martin,Liberal Democrats,3993,,ELECTED,15818
2010,LOCAL,HEADINGLEY,KHAN,Asghar,Labour Party [The],2066,,,15818
2010,LOCAL,HEADINGLEY,NORMASCHILD,Declan,Alliance for Green Socialism,89,,,15818
2010,LOCAL,HEADINGLEY,TAYLOR,Andrea,Conservative Party [The],981,,,15818
2010,LOCAL,GARFORTH AND SWILLINGTON,DOWLING,Simon Mark,Liberal Democrats,1811,,,15946
2010,LOCAL,GARFORTH AND SWILLINGTON,MISSON,Graham,British National Party,668,,,15946
2010,LOCAL,GARFORTH AND SWILLINGTON,MURRAY,Thomas,Labour Party [The],5007,,ELECTED,15946
2010,LOCAL,GARFORTH AND SWILLINGTON,STEPHENSON,Ryan,Conservative Party [The],3955,,,15946
2010,LOCAL,HAREWOOD,CAPSTICK,Patricia,Green Party [The],275,,,14866
2010,LOCAL,HAREWOOD,GIBSON,Martin Darran,British National Party,382,,,14866
2010,LOCAL,HAREWOOD,MCKENNA,Stuart,Labour Party [The],2038,,,14866
2010,LOCAL,HAREWOOD,PEARCEY,Richard,Liberal Democrats,1990,,,14866
2010,LOCAL,HAREWOOD,ROBINSON,Matthew James,Conservative Party [The],6910,,ELECTED,14866
2010,LOCAL,CALVERLEY AND FARSLEY,ARBUCKLE,Kate,Liberal Democrats,2403,,,17623
2010,LOCAL,CALVERLEY AND FARSLEY,JAROSZ,Andrew Richard,Labour Party [The],4318,,,17623
2010,LOCAL,CALVERLEY AND FARSLEY,LEARY,Robert John,British National Party,790,,,17623
2010,LOCAL,CALVERLEY AND FARSLEY,WOOD,Rod,Conservative Party [The],4964,,ELECTED,17623
2010,LOCAL,ARDSLEY AND ROBIN HOOD,DANIEL,David,United Kingdom Independence Party,424,,,16700
2010,LOCAL,CROSSGATES AND WHINMOOR,ANDERSON,Caroline Helen,Conservative Party [The],2955,,,17183
2010,LOCAL,CROSSGATES AND WHINMOOR,GRUEN,Peter John,Labour Party [The],4921,,ELECTED,17183
2010,LOCAL,CROSSGATES AND WHINMOOR,MEE,Michael,British National Party,895,,,17183
