Ratepayer,Liable From,Rateable Value,Mandatory Relief %,Discretionary relief %,Small Business Rate Relief %,Retail Relief,Empty Property,Exempt Empty Rates,Exemption Type,Address,Addr2,Addr3,Addr4,Postcode,Empty From,Description code,Description,Property Reference
KGB FASHIONS LTD,13/01/2014,38250,0,0,0,£0.00,N,N,,UNIT 4,LOCKWOOD COURT,MIDDLETON GROVE,LEEDS,LS11 5TY,,CW,WAREHOUSE AND PREMISES,2023433336780
HIGH TECHNOLOGY LIGHTING LTD.,01/04/2000,28500,0,0,0,£0.00,N,N,,UNIT 3,LOCKWOOD COURT,MIDDLETON GROVE,LEEDS,LS11 5TY,,CW,WAREHOUSE AND PREMISES,2023433335662
VALE SEWING MACHINES LTD,01/04/2000,27250,0,0,0,£0.00,N,N,,VALE SEWING MACHINES,4 MIDDLETON GROVE,LEEDS,,LS11 5LP,,IF,FACTORY AND PREMISES,2023433329258
COTTINGLEY PRIMARY ACADEMY,01/12/2012,23000,80,0,0,£0.00,N,N,,COTTINGLEY PRIMARY SCHOOL,DULVERTON ROAD,LEEDS,,LS11 0HU,,EL,SCHOOL AND PREMISES,2023395323950
LEEDS CITY COUNCIL,01/04/2014,49750,0,0,0,£0.00,N,N,,CITY LEARNING CENTRE,ATT TO COCKBURN HIGH,GIPSY LANE,MIDDLETON LEEDS,LS11 5TT,,EX,EDUCATION CENTRE & PREMISES,2023240364655
LEEDS CITY COUNCIL,01/04/2000,402500,80,0,0,£0.00,N,N,,COCKBURN HIGH,GIPSY LANE,MIDDLETON,LEEDS,LS11 5TT,,EL,SCHOOL AND PREMISES,2023240324534
EVITES TEXTILES LTD,19/07/2013,23000,0,0,0,£0.00,N,N,,UNIT 18,MILLSHAW PARK AVENUE,LEEDS,,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878621199
YORKSHIRE METAL FINISHERS LTD,01/04/2010,22250,0,0,0,£0.00,N,N,,UNIT 19,MILLSHAW PARK AVENUE,LEEDS,,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878621188
COMMERCIAL PROPERTY REFURB LTD,02/06/2014,29000,0,0,0,£0.00,N,N,,UNIT 13,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878441672
2020 PERFECT VISION LTD,19/10/2006,26500,0,0,0,£0.00,N,N,,UNIT 12,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878441661
THE DALE ESTATES LTD,29/09/2011,53500,0,0,0,£0.00,Y,N,,UNIT 2,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,10/06/2014,CW,Warehouse and Premises,2021878336789
GALAXY INSULATION & DRY LINING (SOUTH YORKSHIRE) LTD,24/09/2009,95500,0,0,0,£0.00,N,N,,UNIT 9,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878329383
DHL INTERNATIONAL (UK) LTD,01/06/2011,144000,0,0,0,£0.00,N,N,,UNIT 11,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW2,STORAGE DEPOT AND PREMISES,2021878310656
ALLIANCE HEALTHCARE LTD,01/04/2000,216000,0,0,0,£0.00,N,N,,UNIT 10,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878304740
WHITERIVER LAUNDRY LTD,03/09/2010,57000,0,0,0,£0.00,N,N,,UNIT 8,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,IF,FACTORY AND PREMISES,2021878304739
MILLSHAW PROPERTY CO.LTD,28/04/2014,28250,0,0,0,£0.00,Y,N,,UNIT 14,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,28/04/2014,CW,WAREHOUSE AND PREMISES,2021878304726
RJB PAC LIMITED,29/06/2012,28750,0,0,0,£0.00,N,N,,UNIT 17,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878304725
R3 POLYGON UK LTD,14/12/2006,28750,0,0,0,£0.00,N,N,,UNIT 15,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,IF3,WORKSHOP AND PREMISES,2021878304723
WILLIAM HILL ORGANIZATION LTD,01/04/2000,28500,0,0,0,£0.00,N,N,,UNIT 16,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,,CW,WAREHOUSE AND PREMISES,2021878304722
MILLSHAW PROPERTY COMPANY,28/04/2014,15250,0,0,0,£0.00,Y,N,,UNIT 20,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LS,28/04/2014,CW,WAREHOUSE AND PREMISES,2021878304716
MILLSHAW PROPERTY COMPANY LTD,28/04/2014,14000,0,0,0,£0.00,Y,N,,UNIT 21,MILLSHAW PARK AVENUE,BEESTON,LEEDS,LS11 0LR,28/04/2014,IF,FACTORY AND PREMISES,2021878304714
CLEAR CHANNEL UK LIMITED,23/07/2007,400,0,0,0,£0.00,N,N,,ADVERTISING RIGHT,0704 0989 ADJ,2 WOODVIEW GROVE,LEEDS,LS11 6JX,,CA,ADVERTISING RIGHT AND PREMISES,2021808467797
PMI RETAIL LTD,01/07/2012,3700,0,0,100,£0.00,N,N,,"PMI RETAIL, ST JOHNS HOUSE",2 PARK FARM INDUSTRIAL ESTATE,WESTLAND ROAD,LEEDS,LS11 5SE,,CW3,Store and Premises,2021752645478
I E & D HURFORD LTD T/A RAINBOW INTERNATIONAL,01/07/2012,9700,0,0,38,£0.00,N,N,,RAINBOW INTERNATIONAL LTD,ST JOHNS HOUSE,2 PARK FARM INDUSTRIAL ESTATE,"WESTLAND ROAD, LEEDS",LS11 5SB,,CW,Warehouse and Premises,2021752645467
TALOS PACKAGING LTD,30/12/2013,22750,0,0,0,£0.00,N,N,,UNIT 3,PARK FARM INDUSTRIAL ESTATE,WESTLAND ROAD,LEEDS,LS11 5SE,,CW,Warehouse and Premises,2021752627111
SPICE CIRCLES LTD,23/10/2012,25250,0,0,0,£0.00,N,N,,UNIT 2,PARK FARM INDUSTRIAL ESTATE,WESTLAND ROAD,LEEDS,LS11 5SE,,IF3,WORKSHOP AND PREMISES,2021752627100
A HARRISON (BEDDING) LTD,08/08/2005,218000,0,0,0,£0.00,N,N,,A HARRISON (BEDDING) LTD,WESTLAND ROAD,LEEDS,,LS11 5SN,,IF,FACTORY AND PREMISES,2021752426547
ENDLESS INVESTMENTS LLP,08/04/2014,37250,0,0,0,£0.00,Y,N,,5 WESTLAND ROAD,BEESTON,LEEDS,,LS11 5SN,08/04/2014,IF3,WORKSHOP AND PREMISES,2021752370463
G M I CONSTRUCTION GROUP PLC,01/04/2000,83500,0,0,0,£0.00,N,N,,G M I CONSTRUCTION GROUP LTD,WESTLAND ROAD,BEESTON,LEEDS,LS11 5UH,,CO,OFFICES AND PREMISES,2021752370233
GMI DEVELOPMENTS LTD,01/04/2014,3800,0,0,0,£0.00,N,N,,MIDDLETON LODGE,WESTLAND ROAD,BEESTON,LEEDS,LS11 5SB,,CO,OFFICES AND PREMISES,2021752370033
GMI RENEWABLE ENERGY GROUP LTD,01/08/2013,11750,0,0,4,£0.00,N,N,,PARK HOUSE,WESTLAND ROAD,BEESTON,LEEDS,LS11 5UH,,CO,OFFICES AND PREMISES,2021752358075
SANDY BAYS LTD,30/11/2013,38500,0,0,0,£0.00,Y,N,,UNIT 5,PARK FARM INDUSTRIAL ESTATE,"WESTLAND ROAD, BEESTON",LEEDS,LS11 5SB,01/04/2014,CW,WAREHOUSE AND PREMISES,2021752309546
WILSON POWER SOLUTIONS LTD,14/09/2012,40500,0,0,0,£0.00,N,N,,UNIT 4,PARK FARM INDUSTRIAL ESTATE,"WESTLAND ROAD, BEESTON",LEEDS,LS11 5SB,,CW,WAREHOUSE AND PREMISES,2021752304703
HARRISON SPINKS BEDS LTD,23/03/2012,42500,0,0,0,£0.00,N,N,,UNIT 1,PARK FARM INDUSTRIAL ESTATE,"WESTLAND ROAD, BEESTON",LEEDS,LS11 5SB,,CW,WAREHOUSE AND PREMISES,2021752304698
RYEDALE INTERIORS LTD,20/04/2001,23750,0,0,0,£0.00,N,N,,HARGREAVES PHOTOGRAPHIC LTD,3 WESTLAND ROAD,BEESTON,LEEDS,LS11 5XA,,CW,WAREHOUSE AND PREMISES,2021752304640
DAX AIR LIMITED,23/05/2012,9700,0,0,38,£0.00,N,N,,UNIT 1A,WESTLAND ROAD,BEESTON,LEEDS,LS11 5SE,,CW,Warehouse and Premises,2021752304629
ANCHOR TRUST,06/10/2001,1425,80,0,0,£0.00,N,N,,28 WAINCLIFFE SQUARE,BEESTON,LEEDS,,LS11 8HX,,CO,OFFICES AND PREMISES,2021715366846
THE CO-OPERATIVE BANK PLC,01/04/2010,16500,0,0,0,£0.00,N,N,,ATM SITE AT,49 TOWN STREET,BEESTON,LEEDS,LS11 8PN,,CX,Site of ATM and Premises,2021665615980
CO-OPERATIVE GROUP LIMITED,01/06/2005,138000,0,0,0,£0.00,N,N,,BEESTON VILLAGE STORE,TOWN STREET,BEESTON,LEEDS,LS11 8PN,,CS,Shop and Premises,2021665427372
NHS PROPERTY SERVICES E02 PAYABLES F475,01/04/2013,177000,0,0,0,£0.00,N,N,,JAMES REED HOUSE,BEESTON VILLAGE MEDICAL CENTRE,TOWN STREET,LEEDS,LS11 8PN,,MH1,HEALTH CENTRE AND PREMISES,2021665423994
TELEFONICA UK LTD,01/04/2005,7500,0,0,0,£0.00,N,N,,TELECOM MAST SITE REF 33416,TOWN STREET,BEESTON,LEEDS,LS11 8PN,,MT1,COMMUNICATION STATION AND PREMISES,2021665398224
CO-OPERATIVE GROUP LIMITED,01/04/2000,19750,0,0,0,£0.00,N,N,,UNIT 1A,BEESTON DISTRICT CENTRE,"TOWN STREET, BEESTON",LEEDS,LS11 8PN,,CS,SHOP AND PREMISES,2021665362243
SCRIVENS LTD,09/02/2009,9900,0,0,0,"-£1,000.00",N,N,,UNIT 6/6B,BEESTON DISTRICT CENTRE,"TOWN STREET, BEESTON",LEEDS,LS11 8AN,,CS,SHOP AND PREMISES,2021665352376
LEEDS CITY COUNCIL,14/11/2007,15000,0,0,0,£0.00,N,N,,UNITS 5 6 & 6B,BEESTON DISTRICT CENTRE,"TOWN STREET, BEESTON",LEEDS,LS11 8PN,,EM,Library and Premises,2021665352375
NEW HOPE LEEDS,07/09/2009,2900,80,0,0,-£279.56,N,N,,R/O 23-25 TOWN STREET,BEESTON,LEEDS,,LS11 8PN,,CS,Shop and Premises,2021665325617
GREENE KING PLC,01/11/2004,41000,0,0,0,"-£1,000.00",N,N,,THE WHISTLE STOP,TOWN STREET,BEESTON,LEEDS,LS11 8DG,,CL,PUBLIC HOUSE AND PREMISES,2021665316689
M & M ADAMSON LTD,07/12/2009,50000,0,0,0,£0.00,N,N,,OLD WHITE HART INN,TOWN STREET,BEESTON,LEEDS,LS11 8BZ,,CL,PUBLIC HOUSE AND PREMISES,2021665315938
WILLIAM HILL ORGANIZATION LTD,12/01/2005,9400,0,0,0,£0.00,N,N,,UNIT 2,BEESTON DISTRICT CENTRE,"TOWN STREET, BEESTON",LEEDS,LS11 8PN,,CS,Shop and Premises,2021665314635
ST GEMMAS HOSPICE,28/04/2006,7400,80,0,0,-£713.36,N,N,,UNIT 4,BEESTON DISTRICT CENTRE,"TOWN STREET, BEESTON",LEEDS,LS11 8BZ,,CS,Shop and Premises,2021665314609
CO-OPERATIVE GROUP LIMITED,01/04/2000,7700,0,0,0,£0.00,N,N,,UNIT 3,BEESTON DISTRICT CENTRE,"TOWN STREET, BEESTON",LEEDS,LS11 8BZ,,CS,Shop and Premises,2021665314608
HOLBECK BOWLING CLUB LTD,01/04/2000,2750,0,0,100,£0.00,N,N,,BOWLING GREEN AT,TOWN STREET,BEESTON,LEEDS,LS11 8BZ,,LX,BOWLING GREEN AND PREMISES,2021665313740
CROSS FLATTS RECREATION & WMC,01/04/2000,7900,0,10,68,£0.00,N,N,,CROSS FLATTS RECREATION CLUB,THEODORE STREET,BEESTON,LEEDS,LS11 7HE,,CL2,CLUB AND PREMISES,2021615313943
BRILLIANT TYRES LTD,08/07/2012,2300,0,0,100,£0.00,N,N,,11 THEODORE STREET,LEEDS,,,LS11 7HE,,CG2,Garage and Premises,2021615304621
ASHA NEIGHBOURHOOD PROJECT LTD,01/04/2000,4900,80,0,0,£0.00,N,N,,43/45 STRATFORD STREET,BEESTON,LEEDS,,LS11 6JG,,LC,COMMUNITY CENTRE AND PREMISES,2021532324491
CUBICO UK LTD,07/11/2012,86500,0,0,0,£0.00,N,N,,UNIT 2,ROYDS LANE,LOW WORTLEY,LEEDS,LS12 6DU,,CWO,"WAREHOUSE, OFFICE AND PREMISES",2021351304648
MERCURY HOLDINGS LTD,01/05/2007,58500,0,0,0,£0.00,N,N,,THE PRINT FACTORY,ROYDS LANE,LOW WORTLEY,LEEDS,LS12 6DU,,IF3,WORKSHOP AND PREMISES,2021351304618
CLEAR CHANNEL UK LIMITED,01/04/2005,800,0,0,0,£0.00,N,N,,ADSHEL SITE 0704 0416 AT JUNCTION,OF THE BOULEVARD,RING ROAD BEESTON,LEEDS,LS11 6NY,,CA,ADVERTISING RIGHT AND PREMISES,2021302439626
LEEDS CITY COUNCIL,01/06/2010,270,0,0,0,£0.00,N,N,,SPONSORED TRAFFIC ISLAND JUCT,BEESTON RING ROAD,ELLAND ROAD,LEEDS,LS11 0EY,,CX,Sponsored Traffic Island,2021301655355
LEEDS CITY COUNCIL,01/06/2010,300,0,0,0,£0.00,N,N,,SPONSORED ROUNDABOUT JUCT,CHURWELL HILL,"RING ROAD, BEESTON",LEEDS,LS11 0BD,,CX,Sponsored Roundabout,2021301655344
LEEDS CITY COUNCIL,01/06/2010,600,0,0,0,£0.00,N,N,,SPONSORED ROUNDABOUT JUNCTION,"1 M621, RING ROAD, BEESTON",LEEDS,,LS11 0BD,,CX,Sponsored Roundabout,2021301653650
CLEAR CHANNEL UK LIMITED,01/04/2012,5100,0,0,0,£0.00,N,N,,ADVERT RIGHTS 0023/01-03,RING ROAD,BEESTON,LEEDS,LS12 6DD,,CA,Advertising Right and Premises,2021301509576
MAPLIN ELECTRONICS LTD,30/10/2008,74000,0,0,0,£0.00,N,N,,UNIT 5,JUNCTION 1 RETAIL PARK,"RING ROAD, BEESTON",LEEDS,LS11 0BD,,CS,SHOP AND PREMISES,2021301482097
CITY ADS (LEEDS) LTD,01/04/2010,350,0,0,0,£0.00,N,N,,CITY ADS SITE 2029/01-02,RING ROAD,BEESTON,,LS12 6AB,,CA,ADVERTISING RIGHT,2021301453772
HOMESTYLE FLOORINGS LTD ,15/08/2011,4050,0,0,100,£0.00,N,N,,1 RING ROAD,BEESTON PARK,LEEDS,,LS11 5LG,,CS,SHOP AND PREMISES,2021301363026
B & Q PLC,01/04/2000,1610000,0,0,0,£0.00,N,N,,UNIT 1,JUNCTION 1 RETAIL PARK,"RING ROAD, BEESTON",LEEDS,LS11 0BD,,CS10,RETAIL WAREHOUSE AND PREMISES,2021301350536
P C WORLD LTD,01/04/2000,560000,0,0,0,£0.00,N,N,,UNIT 3,JUNCTION 1 RETAIL PARK,"RING ROAD, BEESTON",LEEDS,LS11 0BD,,CS10,RETAIL WAREHOUSE AND PREMISES,2021301350535
K F G QUICKSERVE LTD,29/10/2007,88000,0,0,0,£0.00,N,N,,UNIT 4,JUNCTION 1 RETAIL PARK,"RING ROAD, BEESTON",LEEDS,LS11 0BD,,CR,RESTAURANT AND PREMISES,2021301350533
ALDI STORES LTD,08/09/2003,315000,0,0,0,£0.00,N,N,,UNIT 2,JUNCTION 1 RETAIL PARK,"RING ROAD, BEESTON",LEEDS,LS11 0BD,,CS10,RETAIL WAREHOUSE AND PREMISES,2021301350531
LEEDS CITY COUNCIL,01/04/2011,3550,0,0,0,£0.00,Y,N,,THE LODGE,COTTINGLEY HALL CREMATORIUM,"RING ROAD, BEESTON",LEEDS,LS11 8HB,01/04/2011,CS7,SHOWROOM AND PREMISES,2021301335702
STAINCLIFFE ADVERTISING,01/04/2000,1075,0,0,0,£0.00,N,N,,ADVERTISING RIGHT NO 705-01 ADJ,17 RING ROAD,BEESTON,LEEDS,LS11 8HB,,CA,ADVERTISING RIGHT AND PREMISES,2021301335664
WILLIAM HILL ORGANIZATION LTD,01/04/2000,5000,0,0,0,£0.00,N,N,,15 RING ROAD,BEESTON PARK,LEEDS,,LS11 5LG,,CS,SHOP AND PREMISES,2021301318574
PRIMESIGHT LTD,01/09/2009,870,0,0,0,£0.00,N,N,,ADVERTISING RIGHT NO 902 ADJ,54 RING ROAD,BEESTON,LEEDS,LS11 8HB,,CA,ADVERTISING RIGHT AND PREMISES,2021301312172
GEE GEE CARS LTD,01/04/2000,2125,0,0,100,£0.00,N,N,,GEE GEE CARS NEXT,2 RING ROAD,BEESTON,LEEDS,LS11 5QX,,CO,OFFICES AND PREMISES,2021301310242
CLEAR CHANNEL UK LIMITED,01/04/2007,400,0,0,0,£0.00,N,N,,ADSHEL SITE 0704 0929,NEAR DRYSALTERS,RING ROAD BEESTON,LEEDS,LS11 8HD,,CA,ADVERTISING RIGHT AND PREMISES,2021300467808
PRIMESIGHT LTD,09/05/2003,950,0,0,0,£0.00,N,N,,ADVERT RIGHT O/S,COTTINGLEY HALL S/STN,"RING ROAD, BEESTON",LEEDS,LS11 0EU,,CA,ADVERTISING RIGHT AND PREMISES,2021300370552
CARDPOINT SERVICES LTD,01/03/2006,2000,0,0,0,£0.00,N,N,,BANK OF SCOTLAND AT COTTINGLEY,HALL SERVICE STATION,"RING ROAD, BEESTON",LEEDS,LS11 0EU,,CX,SITE OF AUTOMATIC TELLER MACHINE,2021300364994
YOUR FRIENDLY LOCAL LIMITED,11/07/2013,58000,0,0,0,£0.00,N,N,,DRYSALTERS,RING ROAD,BEESTON,LEEDS,LS11 8HB,,CL,Public House and Premises,2021300359213
MALTHURST PETROLEUM LTD,13/10/2005,20500,0,0,0,£0.00,N,N,,COTTINGLEY HALL SERVICE STATION,RING ROAD,BEESTON,LEEDS,LS11 0EU,,CG,PETROL FILLING STATION AND PREMISES,2021300350990
HARVELIN LIMITED,24/03/2014,2250,0,0,0,£0.00,Y,Y,Rateable Value,98 PARKWOOD ROAD,BEESTON,LEEDS,,LS11 5RJ,24/03/2014,LC,COMMUNITY CENTRE AND PREMISES,2021191329671
MCLAGEN INVESTMENTS LTD,17/01/2014,28250,0,0,0,£0.00,Y,N,,UNIT 2,ROYAL LONDON INDUSTRIAL ESTATE,106 OLD LANE,LEEDS,LS11 8AG,17/01/2014,IF3,Workshop and Premises,2021148642860
MCLAGEN INVESTMENTS LTD,17/01/2014,28750,0,0,0,£0.00,Y,N,,UNIT 1,ROYAL LONDON INDUSTRIAL ESTATE,106 OLD LANE,LEEDS,LS11 8AG,17/01/2014,CW,Warehouse and Premises,2021148642849
BANK MACHINE LTD,01/04/2008,1300,0,0,0,£0.00,N,N,,ATM OUTSIDE,184/186 OLD LANE,LEEDS,,LS11 8AG,,CX,SITE OF AUTOMATIC TELLER MACHINE AND PREMISES,2021148623848
ROSS CARE CENTRES,01/04/2000,43750,0,0,0,£0.00,N,N,,UNITS 3 & 4,ROYAL LONDON INDUSTRIAL ESTATE,106 OLD LANE,LEEDS,LS11 8AG,,IF,Factory and Premises,2021148347094
ASDA STORES LTD,01/04/2000,41500,0,0,0,£0.00,N,N,,ASDA,OLD LANE,BEESTON,LEEDS,LS11 8BT,,CS,SHOP AND PREMISES,2021148329030
OASIS DENTAL CARE LTD,16/07/2001,7800,0,0,0,£0.00,N,N,,87 OLD LANE,BEESTON,LEEDS,,LS11 7AB,,MH,SURGERY AND PREMISES,2021148328080
OLDLANE EXPRESS LTD,01/04/2013,15000,0,0,0,"-£1,000.00",N,N,,184/186 OLD LANE,BEESTON,LEEDS,,LS11 8AG,,CS,SHOP AND PREMISES,2021148318396
