"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","AO","21850","23800","Legal Support Officer","13.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","EO","25150","30000","Legal Officer","13.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G6","61200","75200","Senior Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G7","48400","61000","Legal Adviser","6.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","HEO","29550","35000","Legal Manager","10.50","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","SEO","36250","43000","Legal Manager","4.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Constitutional Law Team","40","G6","61200","75200","Senior Legal Adviser","4.38","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Constitutional Law Team","40","G7","48400","61000","Legal Adviser","3.60","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Service Legal Team","41","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Service Legal Team","41","G6","61200","75200","Senior Legal Adviser","3.16","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Service Legal Team","41","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - Corporate & Government Service Legal Team","41","LO","42000","42000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security Legal Team","39","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security Legal Team","39","G6","61200","75200","Senior Legal Adviser","6.11","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security Legal Team","39","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal - General Policy & National Security Legal Team","39","LT","28000","32000","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group","49","EO","25150","30000","Legal Officer","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group","49","G7","48400","61000","Operational Team Manager","1.00","Operational Delivery"
