Property Address,RATEPAYER,RV,LIABILITY_START
"19 Stainland Road, Greetland, Halifax, HX4 8AD",,2600,01-06-2015
"623 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3400,01-06-2015
"Unit 7 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,3450,01-05-2015
"Orangebox, 1 Blackledge, Halifax, HX1 1AF",The Square Chapel Trust,18000,28-05-2013
"11 Southgate House, Southgate, Halifax, HX1 1DE",Gallyville Ltd,9800,10-05-2015
"363 Skircoat Green Road, Halifax, HX3 0RP",Fropha Limited,7400,02-03-2014
"Office 3.7 First Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",Kino & Co,2050,01-04-2015
"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",Kino & Co,630,01-04-2015
"Unit 11B, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",R S Asbestos Ltd,4800,01-03-2015
"Unit 11C, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,7900,01-03-2015
"Lower Ground Floor, 3 Carlton Place, Halifax, HX1 2SB",,9000,01-04-2015
"Unit 3 The Old Post Office, Station Road, Sowerby Bridge, HX6 3AA",Marmerel Ltd,10500,01-06-2015
"Unit 10B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,6600,30-05-2015
"Office Suite L G 44, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,1700,10-03-2015
"Unit BMG/W1, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,10250,26-04-2015
"Unit S M 5.1, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Ark Home Healthcare Ltd,3150,20-12-2014
"West End Works, Warley Road, Halifax, HX1 3TG",Warley Road Primary School,3750,06-06-2015
"Cmbc Museum, Square Road, Halifax, HX1 1QG",Calderdale Industrial Museum Association,27000,05-06-2015
"Unit 4, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",Valley View Resin Company Ltd,2850,02-04-2015
"Unit 3, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,3000,02-04-2015
"Ground Floor, 3 Carlton Place, Halifax, HX1 2SB",Viney Becks Ltd,12500,01-04-2015
"Sedburgh Road, Halifax, HX3 9HB",Unitward Ltd,8100,01-05-2015
"1ST & 2ND Floors, 3 Carlton Place, Halifax, HX1 2SB",,26000,01-04-2015
"Calder Clutch Co Ltd, Mill Lane, Brighouse, HD6 1PN",Calder Clutch Company Ltd,7400,01-01-2015
"Calder Manufacturing, Mill Lane, Brighouse, HD6 1PN",,8300,01-01-2015
"Units 1 & 2 Woodvale Mills, Woodvale Road, Brighouse, HD6 4AB",,58500,21-05-2015
"6 Cheetham Street, Hebden Bridge, HX7 8EW",T D Jagger Ltd,3600,09-06-2015
"Unit 2, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Brackenridge Hanson Tate Ltd,12000,23-05-2015
"Unit B M Y 3 Bowling Mill, Dean Clough Industrial Park, Halifax, HX3 5AX",Dean Clough Ltd,33250,15-06-2015
"Unit 8, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",,4050,01-04-2015
"18 Prescott Street, Halifax, HX1 2LG",Halifax Wine Company Ltd,6600,01-06-2015
"Cooper Bridge Warehouse, Leeds Road, Huddersfield, HD5 0RL",Keystone Health Care Ltd,21250,04-06-2015
"6 Savile Park Street, Halifax, HX1 3DX",,3100,13-04-2015
"Unit 6, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",,7600,25-02-2013
"Office Suite D 248, Dean Clough Office Park, Halifax, HX3 5AX",Robus Group Ltd,1050,01-04-2015
"Lever Street, Todmorden, OL14 5QF",The Travelling Pig Handmade Sausage Company Ltd,3000,15-06-2015
"Unit 2B, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",Leisure 7 Ltd,8200,10-09-2012
"7 Market Street, Hebden Bridge, HX7 6EU",,6500,01-06-2015
"Unit 1, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",Unique Campers Ltd,8400,04-02-2013
"Storeroom 9 Market Hall, Brook Street, Todmorden, OL14 5AJ",,220,01-02-2015
"Market Stalls 33/34, Market Hall, Brook Street, Todmorden           OL14 5AJ",,2750,01-02-2015
"Office H M 2.12, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Driver Hire Group Services Ltd,3500,20-04-2015
"Office H M 2.13, Holdsworth Mills, Holdsworth Road, Halifax              HX3 6SN",Transactor Global Solutions Ltd,3650,01-05-2015
"Woodpecker Inn, 224 Rochdale Road, Todmorden, OL14 7NU",,2950,23-10-2014
"Unit 7b, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN",,770,13-01-2015
"4 West Street, Todmorden, OL14 5HY",,880,07-04-2015
"3B Heywoods Industrial Park, Birds Royd Lane, Brighouse, HD6 1LQ",Little Pie Company Ltd,8700,05-06-2015
"Unit 2, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Ltd,25250,18-12-2014
"Prince Of Orange Inn, 77 Carr House Road, Shelf, Halifax             HX3 7RJ",Trojan Pubs Ltd,14250,16-12-2014
"22 King Cross Street, Halifax, HX1 2SH",,4550,15-06-2015
"34 Bull Green, Halifax, HX1 5AB",,10750,05-05-2015
"Unit 1 Moderna Business Park, Mytholmroyd, Hebden Bridge, HX7 5QG",Dw Utility Services Ltd,19500,12-03-2015
"Unit B Woodman Works, South Lane, Elland, HX5 0PA",We Fit Solar Uk Ltd,3450,01-01-2015
"15 Church Street, Brighouse, HD6 3NF",,5700,20-04-2015
"Unit 1, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW",Sleigh & Story Ltd,15500,01-05-2015
"1ST Floor, 46 Bradford Road, Brighouse, HD6 1RY",Yibp Uk Ltd,7900,01-06-2015
"Unit 19 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SW",Bushido Juitsu Halifax,4550,01-09-2014
"Unit 19A Holmfield Mills, Holdsworth Road, Halifax, HX3 6SW",,4800,01-09-2014
"Calder Street, West Vale, Halifax, HX4 8AQ",B W Sipp Trustees Limited,1550,26-02-2014
