Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Nr,AMOUNT
Clinical Services,UCLH,16-Jun-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30091456,140799.68
Corporate Directorates,UCLH,30-Jun-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30092006,67995.71
Specialist Hospitals,UCLH,09-Jun-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30091234,46799.5
Specialist Hospitals,UCLH,02-Jun-10,Agency Staff,Agency Staff,The Fetal Medicine Foundation,612140,88776.4
Surgery,UCLH,02-Jun-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30091120,47425.97
Capital,UCLH,09-Jun-10,Capital,Trust Wide Capital Schemes,Agfa Heathcare Uk Ltd,35121533,81962.63
Capital,UCLH,02-Jun-10,Capital,Specialist Hospitals CB Capita,Carefusion U K Ltd.,NP00108,25021.63
Capital,UCLH,09-Jun-10,Capital,Specialist Hospitals CB Capita,Carefusion U K Ltd.,NP00109,41746.9
Capital,UCLH,30-Jun-10,Capital,Corporate Directorates Service,Fisk Fire Protection Ltd,615106,27343.43
Capital,UCLH,09-Jun-10,Capital,Medical CB Capital Schemes,G E Medical Systems,613000,-500151.09
Capital,UCLH,09-Jun-10,Capital,Medical CB Capital Schemes,G E Medical Systems,613002,-490018.55
Capital,UCLH,09-Jun-10,Capital,Medical CB Capital Schemes,G E Medical Systems,613004,466518.58
Capital,UCLH,09-Jun-10,Capital,Medical CB Capital Schemes,G E Medical Systems,613001,490018.55
Capital,UCLH,09-Jun-10,Capital,Medical CB Capital Schemes,G E Medical Systems,612999,500151.15
Capital,UCLH,09-Jun-10,Capital,Corporate Capital Schemes,Health Management Uclh,613021,62809.63
Capital,UCLH,02-Jun-10,Capital,Corporate Capital Schemes,Herbert Smith,612342,30889.71
Capital,UCLH,09-Jun-10,Capital,Corporate Capital Schemes,Hopkins Architects Partnership LLP,613025,29646.35
Capital,UCLH,09-Jun-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,613049,28734.63
Capital,UCLH,30-Jun-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,615100,36355.68
Capital,UCLH,30-Jun-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,615101,52392.08
Capital,UCLH,28-Jun-10,Capital,Specialist Hospitals CB Capita,M E Construction Ltd,614423,266082.15
Capital,UCLH,23-Jun-10,Capital,Corporate Capital Schemes,Mitie Technology & Infrastructure Ltd,611569,78455.43
Capital,UCLH,23-Jun-10,Capital,Trust Wide Capital Schemes,Philips Healthcare,613354,100965.99
Capital,UCLH,02-Jun-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,NP00516,36859.52
Capital,UCLH,16-Jun-10,Capital,Corporate Capital Schemes,Skanska,612986,1309237.88
Capital,UCLH,09-Jun-10,Capital,Clinical Services CB Capital S,Sonosite Ltd,613035,32086.32
Capital,UCLH,02-Jun-10,Capital,Trust Wide Capital Schemes,Sorin Group Uk Ltd,612030,45873.57
Capital,UCLH,30-Jun-10,Capital,Corporate Capital Schemes,Specialist Computer Centre Plc,615095,25850
