DfE No,School,Number of pupils on roll,No. with English as an additional language,% with English as an additional language
5201,All Saints' CE (VA) J & I School,211,19,9
2093,Ash Green Community Primary School,469,8,1.7
2040,Bailiffe Bridge J & I School,206,8,3.9
3321,Barkisland CE (VA) Primary School,191,1,0.5
2048,Bowling Green Primary School,159,0,0
2042,Carr Green Primary School,363,8,2.2
2068,Castle Hill Primary School,290,2,0.7
2084,Castlefields Infant School,161,23,14.3
2054,Central Street Infant & Nursery School,79,4,5.1
3001,Christ Church (Pellon) CE (VC) Primary School,183,29,15.8
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),116,1,0.9
2076,Cliffe Hill Community Primary School,211,3,1.4
2059,Colden J & I School,105,0,0
2006,Copley Primary School,233,6,2.6
2069,"Cornholme J, I & N School",218,8,3.7
2055,Cragg Vale J & I School,58,0,0
2087,Cross Lane Primary and Nursery School,325,64,19.7
2007,Dean Field Community Primary School,221,4,1.8
3318,"Elland CE (VA) J, I & N School",237,17,7.2
2003,Ferney Lee Primary School,212,54,25.5
3319,Hebden Royd CE (VA) Primary School,146,6,4.1
2058,"Heptonstall J, I & N School",116,0,0
7010,Highbury School,75,12,16
2050,Holywell Green Primary School,245,2,0.8
2010,Lee Mount Primary School,377,29,7.7
5204,Lightcliffe CE (VA) Primary School,418,11,2.6
2033,"Ling Bob J, I & N School",391,89,22.8
5207,Longroyde Junior School,244,39,16
3014,Luddenden CE School,218,4,1.8
2065,Midgley School,101,1,1
3332,Moorside Community Primary School,275,8,2.9
2066,New Road Primary School,132,4,3
3010,Norland CE (VC) J & I School,96,0,0
2015,Northowram Primary School,469,5,1.1
2075,Old Town Primary School,102,0,0
2017,Parkinson Lane Community Primary School,524,515,98.3
2001,"Rawson J, I & N School",390,34,8.7
2061,Ripponden J & I School,229,0,0
2082,Riverside Junior School,157,0,0
2021,Salterhebble J & I School,205,21,10.2
2009,Savile Park Primary School,256,166,64.8
2073,Shade Primary School,228,2,0.9
2060,Shelf J & I School,306,2,0.7
2095,Sowerby Village CE (VC) Primary School,175,2,1.1
3315,St Andrew's CE (VA) Infant School (Brighouse),180,3,1.7
3314,St Andrew's CE (VA) Junior School (Brighouse),236,6,2.5
3303,St Augustine's CE (VA) J & I School (Halifax),182,163,89.6
5206,St Chad's CE (VA) Primary School,213,1,0.5
3329,St Joseph's Catholic Primary School (Brighouse),245,7,2.9
3305,St Joseph's Catholic Primary School (Halifax),192,18,9.4
3330,St Joseph's RC Primary School (Todmorden),131,23,17.6
3308,St Mary's Catholic Primary School (Halifax),277,120,43.3
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),103,0,0
5202,St Michael & All Angels CE Primary School,200,0,0
3327,St Patrick's Catholic Primary School (Elland),121,6,5
2057,Stubbings Infant School,89,2,2.2
3326,"Todmorden CE (VA) J, I & N School",252,14,5.6
3013,Triangle CE (VC) Primary School,187,2,1.1
2067,Tuel Lane Infant School,149,5,3.4
5208,Walsden St Peter's CE (VC) Primary School,167,0,0
2028,Warley Road Primary School,657,543,82.6
2030,Warley Town School,129,5,3.9
5205,West Vale Primary School,175,3,1.7
2046,Withinfields Primary School,357,7,2
7008,Wood Bank School,70,28,40
2081,Woodhouse Primary School,418,22,5.3
,Calderdale (Incl special schools),"14,853","2,189",14.7
,Calderdale (Excl special schools),"14,708","2,149",14.6
,Note:,,,
,Academies Data Excluded.,,,
