Ratepayer,Billing Account Balance ,Liable Unit Balance ,Year,Property Address,Billing Address,Date Start,Date End
On Time Logistics Ltd [In Admin Receivership],-2080.85,-2080.85,2002,"Leopold Works, George Street, Brighouse, HD6 1PU",,01/10/99,10/27/00
Calder Felts Ltd [In Liquidation],-54.5,-54.5,2002,"Prince Of Wales Mill, Armytage Road, Brighouse, HD6 1QF","C/O Cork Gully, Abacus Court, 6 Minshull Street, Mancheste, RM1 3ED",02/18/94,03/20/95
Service Garage (1981) Ltd (In Liquidation),-391.38,-391.38,2002,"Unit 5, Armytage Road, Brighouse, HD6 1PT","C/O Messrs Halpern Woolf &, Partners, 16-18 North Parade, Bradford, BD1 3HT",04/01/90,11/11/92
,-3.69,-3.69,2012,"2 Bracken Road, Brighouse, HD6 2HW",,04/01/00,03/31/14
,-3415.53,-35432,2007,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,04/01/90,
,-3513.09,-35432,2010,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,04/01/90,
,-3600,-35432,2012,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,04/01/90,
,-3696,-35432,2013,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,04/01/90,
Calderdale P C T,-949.5,-5184.63,2005,"Health Centre, Chapel Croft, Brighouse, HD6 3NA","5J6 Payables 4265, Phoenix House, Topcliffe Lane, Wakefield, WF3 1WE",04/01/00,03/31/13
Calderdale P C T,-974.25,-5184.63,2006,"Health Centre, Chapel Croft, Brighouse, HD6 3NA","5J6 Payables 4265, Phoenix House, Topcliffe Lane, Wakefield, WF3 1WE",04/01/00,03/31/13
Claude Dyson & Son Ltd (In Receivership),-146,-146,2002,"17 Commercial Street, Brighouse, HD6 1AF","C/O Arthur Andersen & Co, St Pauls House, Park Square, Leeds, LS1 2PJ",04/01/90,11/09/95
Universal Mobility Ltd [In Liquidation],-430,-1085.45,2001,"Unit 2 & G, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH",02/01/94,10/17/02
Brighouse Transport & Maintenance Ltd,-4.49,-4.49,2006,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,05/01/98,03/30/07
,-22.5,-22.5,2003,"18/20 Gooder Lane, Brighouse, HD6 1HF",,01/17/98,10/30/03
,-95.31,-95.31,2002,"12 Southgate, Elland, HX5 0BW",,07/16/95,11/05/95
Shaw Motors Ltd (In Liquidation),-147.94,-147.94,2002,"Unit 1A Moorlea Garage, Albert Road, Halifax, HX2 0DF","C/O The Official Receiver, 1ST Floor, 25 Queen Street, Leeds, LS1 2TW",06/01/95,06/23/98
,-1.75,-1.75,2012,"16 Bank Edge Road, Halifax, HX2 8JU",,10/28/91,
,-0.37,-0.37,2012,"Unit 51 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,09/01/97,
Brighouse Textiles [Wholesale] Ltd [ In Liquidation],-577.19,-577.19,2011,"Section 19, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse           HD6 4AW","O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ",04/01/90,02/28/11
,-12,-12,2002,"Unit 5 (3rd Floor), Wellington Mills, Quebec Street, Elland              HX5 9AS",,09/01/93,06/30/94
The Automatic Standard Screwco (1983) Ltd-In Admin Reciv,-1414.23,-1414.23,2002,"17 Charles Street, Halifax, HX1 1NA","C/O Arthur Anderson & Co, St Paul's House, Park Square, Leeds, LS1 2PJ",04/01/90,02/23/93
,-10.58,-10.58,2002,"Part First Floor, 38 Clare Road, Halifax, HX1 2HX",,04/01/90,05/28/93
Headway Plc,-486.4,-4521.46,2003,"Unit 16, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Petchey Holdings Plc, Exchange House, 13/14 Clements Court, Ilford, IG1 2QY",10/03/00,05/14/01
,-783.98,-783.98,2003,"Unit 18, Calderdale Business Park, Club Lane, Halifax             HX2 8AX",,04/01/00,06/30/03
,-1237.16,-1237.16,2004,"2 George Street, Halifax, HX1 1HA",,11/08/01,08/03/04
,-13.61,-13.61,2004,"103 Gibbet Street, Halifax, HX1 5BP",,09/01/00,03/20/05
,-66.64,-66.64,2002,"Unit H1f, Dean Clough Industrial Park, Halifax, HX1 1XG",,07/01/93,03/31/94
,-10,-10,2002,"Trimmingham Garage, Burnley Road, Halifax, HX2 7JG",,07/01/98,06/02/99
Primesight Ltd,-0.02,75.98,2014,"Advertising Right, Cote Hill Service Station, Burnley Road, Halifax              HX2 7NB","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",04/01/01,
,-13.14,-13.14,2002,"The Hebble Brook, 2 Mill Lane, Mixenden, Halifax             HX2 8SE",,03/16/95,05/01/95
Calderdale P C T,-4774.96,-18042.06,2005,"Mixenden Stones Surgery, Mixenden Stones, Mixenden, Halifax             HX2 8RQ","5J6 Payables 4265, Phoenix House, Topcliffe Lane, Wakefield, WF3 1WE",02/04/00,04/30/08
,-9355.5,-64305.8,2008,"Northowram Surgery, 53 Northowram Green, Northowram, Halifax              HX3 7JE",,10/02/95,03/31/12
,-9379.24,-64305.8,2011,"Northowram Surgery, 53 Northowram Green, Northowram, Halifax              HX3 7JE",,10/02/95,03/31/12
,-580.23,-580.23,2002,"Highfield House, 85 Parkinson Lane, Halifax, HX1 3QQ",,04/01/90,02/24/01
,-274.11,-274.11,2002,"The Airborne, 15 Green Lane, Sowood, Stainland            HX4 9JL",,04/01/90,11/04/02
Aquarius Bathrooms Ltd,-31.91,-31.91,2005,"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD","Hanson Lane, Halifax, HX1 4QU",11/01/99,03/23/06
,-0.3,-0.3,2012,"11 Horton Street, Halifax, HX1 1QE",,04/01/90,
,-756.13,-756.13,2002,"Commercial Inn, 83 Keighley Road, Halifax, HX2 8HY",,07/02/90,04/01/91
,-13278.74,-104172.38,2010,"Beechwood Medical Centre, Keighley Road, Halifax, HX2 8AL",,09/01/98,10/13/12
,-5221.48,-104172.38,2012,"Beechwood Medical Centre, Keighley Road, Halifax, HX2 8AL",,09/01/98,10/13/12
Calderdale P C T,-577.2,-3049.47,2007,"Health Clinic, Kershaw Drive, Luddendenfoot, Halifax             HX2 6PD","5J6 Payables 4265, Phoenix House, Topcliffe Lane, Wakefield, WF3 1WE",04/01/00,03/31/13
Calderdale P C T,-196.82,-3049.47,2010,"Health Clinic, Kershaw Drive, Luddendenfoot, Halifax             HX2 6PD","5J6 Payables 4265, Phoenix House, Topcliffe Lane, Wakefield, WF3 1WE",04/01/00,03/31/13
Clear Channel (Uk) Ltd,-96,-111.48,2015,"Board No 0702-0046, King Cross Road, Halifax, HX1 3JP","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",04/01/00,02/19/15
Pennine Computer Group Ltd In Receivership,-423.44,-423.44,2002,"West House, 98 King Cross Street, Halifax, HX1 2TU","C/O Messrs Robson Rhodes, St George House, 40 Great George Street, Leeds, LS1 3DQ",04/01/90,08/29/91
,-2098.2,-70621.74,2014,"252 Queens Road, Halifax, HX1 4NJ",,04/01/90,
Saw Services (Halifax) Ltd [In Liquidation],-4556.11,-4864.12,2002,"Unit 2 Copperwood Court, Queens Road, Halifax, HX1 3NS","C/O Baker Tilly, 2 Whitehall Quay, Leeds, LS1 4HG",04/01/90,08/31/01
,-46.5,-46.5,2002,"220 Queens Road, Halifax, HX1 4NE",,04/01/98,03/31/99
,-5550,-61278.62,2007,"Kos Clinic, 4 Roydlands Street, Hipperholme, Halifax             HX3 8AF",,04/01/90,
