DfE No.,School,Number of Pupils on Roll (All Pupils),No. Eligible for FSM (All Pupils),% Eligible for FSM (All Pupils),Number of Pupils on Roll (Excluding Nursery Pupils),No. Eligible for FSM (Excluding Nursery Pupils),% Eligible for FSM (Excluding Nursery Pupils)
5201,All Saints' CE (VA) J & I School,212,5,2.4,212,5,2.4
2093,Ash Green Community Primary School,443,146,33,382,146,38.2
2040,Bailiffe Bridge J & I School,205,5,2.4,205,5,2.4
3321,Barkisland CE (VA) Primary School,192,10,5.2,192,10,5.2
2048,Bowling Green Primary School,160,16,10,160,16,10
2042,Carr Green Primary School,355,20,5.6,316,20,6.3
2068,Castle Hill Primary School,278,35,12.6,247,33,13.4
2084,Castlefields Infant School,157,21,13.4,157,21,13.4
2054,Central Street Infant & Nursery School,76,5,6.6,64,4,6.3
3001,Christ Church (Pellon) CE (VC) Primary School,178,51,28.7,178,51,28.7
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),111,22,19.8,111,22,19.8
2076,Cliffe Hill Community Primary School,213,58,27.2,193,58,30.1
2059,Colden J & I School,110,0,0,110,0,0
2006,Copley Primary School,233,9,3.9,233,9,3.9
2069,"Cornholme J, I & N School",207,36,17.4,186,34,18.3
2055,Cragg Vale J & I School,60,1,1.7,60,1,1.7
2087,Cross Lane Primary and Nursery School,307,54,17.6,278,53,19.1
2007,Dean Field Community Primary School,220,94,42.7,196,94,48
3318,"Elland CE (VA) J, I & N School",227,70,30.8,205,70,34.1
2003,Ferney Lee Primary School,206,65,31.6,187,56,29.9
3319,Hebden Royd CE (VA) Primary School,133,8,6,123,8,6.5
2058,"Heptonstall J, I & N School",114,4,3.5,103,4,3.9
7010,Highbury School,72,19,26.4,66,16,24.2
2050,Holywell Green Primary School,228,27,11.8,203,23,11.3
2010,Lee Mount Primary School,389,85,21.9,351,84,23.9
5204,Lightcliffe CE (VA) Primary School,420,5,1.2,420,5,1.2
2033,"Ling Bob J, I & N School",361,117,32.4,303,98,32.3
5207,Longroyde Junior School,246,43,17.5,246,43,17.5
3014,Luddenden CE School,195,32,16.4,181,31,17.1
2065,Midgley School,105,0,0,105,0,0
3332,Moorside Community Primary School,267,109,40.8,244,99,40.6
2066,New Road Primary School,133,30,22.6,133,30,22.6
3010,Norland CE (VC) J & I School,98,5,5.1,98,5,5.1
2015,Northowram Primary School,464,21,4.5,414,20,4.8
2075,Old Town Primary School,102,4,3.9,102,4,3.9
2017,Parkinson Lane Community Primary School,520,85,16.3,438,76,17.4
2001,"Rawson J, I & N School",389,80,20.6,341,73,21.4
2061,Ripponden J & I School,231,14,6.1,231,14,6.1
2082,Riverside Junior School,161,7,4.3,161,7,4.3
2021,Salterhebble J & I School,207,25,12.1,207,25,12.1
2009,Savile Park Primary School,249,37,14.9,249,37,14.9
2073,Shade Primary School,215,25,11.6,187,23,12.3
2060,Shelf J & I School,304,23,7.6,304,23,7.6
2095,Sowerby Village CE (VC) Primary School,153,48,31.4,146,48,32.9
3315,St Andrew's CE (VA) Infant School (Brighouse),178,28,15.7,178,28,15.7
3314,St Andrew's CE (VA) Junior School (Brighouse),233,28,12,233,28,12
3303,St Augustine's CE (VA) J & I School (Halifax),185,36,19.5,185,36,19.5
5206,St Chad's CE (VA) Primary School,213,10,4.7,213,10,4.7
3329,St Joseph's Catholic Primary School (Brighouse),233,16,6.9,207,16,7.7
3305,St Joseph's Catholic Primary School (Halifax),191,24,12.6,191,24,12.6
3330,St Joseph's RC Primary School (Todmorden),115,19,16.5,100,17,17
3308,St Mary's Catholic Primary School (Halifax),285,38,13.3,285,38,13.3
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),103,2,1.9,103,2,1.9
5202,St Michael & All Angels CE Primary School,203,13,6.4,203,13,6.4
3327,St Patrick's Catholic Primary School (Elland),120,22,18.3,120,22,18.3
2057,Stubbings Infant School,79,4,5.1,68,4,5.9
3326,"Todmorden CE (VA) J, I & N School",240,44,18.3,200,33,16.5
3013,Triangle CE (VC) Primary School,190,10,5.3,190,10,5.3
2067,Tuel Lane Infant School,139,24,17.3,118,24,20.3
5208,Walsden St Peter's CE (VC) Primary School,171,16,9.4,171,16,9.4
2028,Warley Road Primary School,646,106,16.4,576,106,18.4
2030,Warley Town School,132,7,5.3,132,7,5.3
5205,West Vale Primary School,181,22,12.2,181,22,12.2
2046,Withinfields Primary School,347,40,11.5,311,36,11.6
7008,Wood Bank School,73,24,32.9,71,23,32.4
2081,Woodhouse Primary School,422,6,1.4,422,6,1.4
,Calderdale Maintained Schools (Incl Special Schools),14585,2115,14.5,13686,2025,14.8
,Calderdale Maintained Schools (Excl Special Schools),14440,2072,14.3,13549,1986,14.7
,Note:,,,,,,
,Academy Data Excluded,,,,,,
