"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Grade 6","59532","75239","Senior Policy Adviser","1.00","Policy"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Senior Officer","35761","43451","Senior Tax Officer","2.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Senior Officer","35761","43451","Senior Policy Adviser","1.00","Policy"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Senior Officer","35761","43451","Senior HR manager","1.00","Human Resources"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Senior Officer","35761","43451","Business Manager","1.00","Property and asset management"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Officer","23600","30752","Tax Officer","2.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Higher Officer","29358","37620","Tax Officer","2.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Grade 7","48389","62444","Senior Tax Officer","1.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Grade 6","59532","75239","Senior Tax Officer","1.00","Tax Professionals"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Band T","24850","43192","Senior Statistician","1.00","Statisticians"
"Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Tax Professionalism and Assurance","OD101","Grade 7","48389","62444","Senior Policy Adviser","1.00","Policy"
