Body Name,Service Label,Service Code,Expenditure CIPFA Group Label,Expenditure CIPFA Sub Group Label,Expenditure CIPFA Sub Group Code,Date,Transaction Number,Net Amount,Supplier Name,Supplier ID,"Grants to Voluntary, Community and Social Enterprise Sector?"
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 03/07/2014,PCO0253470,£245.01,FST CONSUMABLES LIMITED,A0000004,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tyres,3204, 17/07/2014,PCO0254011,£134.48,ATS EUROMASTER LTD,A0000009,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 03/07/2014,PCO0253478,£248.98,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 03/07/2014,OPS0253640,£209.60,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 03/07/2014,OPS0253638,£125.00,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 17/07/2014,COR0253973,£162.74,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Bldgs : R & M : Day To Day,2001, 03/07/2014,PCO0253497,£36.74,BROXAP LTD,A0000236,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 17/07/2014,HED0254093,"£1,720.00",BROXAP LTD,A0000236,No
Pendle Borough Council,Engineering & Special Projects,HED,Capital costs,Capital : Payments,CD14, 03/07/2014,HED0253668,"£4,493.00",CB EXCAVATORS LTD,A0000396,No
Pendle Borough Council,Financial Services,AAS,Capital costs,Capital : Payments,CD14, 17/07/2014,AAS0254052,"£4,391.00",GEORGE BOOCOCK DECORATORS LTD,A0000427,No
Pendle Borough Council,Property Services,EST,Capital costs,Capital : Payments,CD14, 10/07/2014,EST0253810,"£3,570.00",GEORGE BOOCOCK DECORATORS LTD,A0000427,No
Pendle Borough Council,Financial Services,AAS,Premises related expense,Bldgs : R & M : Day To Day,2001, 31/07/2014,AAS0254383,£202.24,BARROWFORD SAFE & LOCK SERV LT,A0000458,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 17/07/2014,PCO0254029,£44.18,BRIGGS & DUXBURY LTD,A0000459,No
