Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20522025,"42,252.58"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20452704,"42,627.16"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20480920,"43,194.32"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20635175,"53,566.47"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20719704,"53,817.60"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20592152,"54,003.33"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20759287,"56,865.99"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Computer Software/License,PACS / CRIS,ACCENTURE (UK) LTD,20567467,"67,827.90"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,ALCURA UK LTD,20759430,"35,214.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,ALCURA UK LTD,20592362,"38,735.40"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,ALCURA UK LTD,20635300,"62,773.21"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,ALCURA UK LTD,20635301,"85,102.28"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,ALLIANCE HEALTHCARE DISTRIBUTION LTD,20547371,"33,899.04"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Independent Sector,Radiology,ALLIANCE MEDICAL LTD,20434374,"28,050.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Medical Gases,Pharmacy Central,BOC LTD,20538996,"31,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Med & Surg Equip General,EPS/Ablations,BOSTON SCIENTIFIC LTD,20428066,"45,196.80"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,20483943,"-37,800.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,20759303,"27,955.20"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Blood Products,Clinical Haematology,BUPA HOME HEALTHCARE LTD,20618835,"32,493.39"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,BUPA HOME HEALTHCARE LTD,20690533,"35,100.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Independent Sector,Ortho Management & Admin,CARE UK CLINICAL SERVICES LTD,20641336,"77,336.37"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Rent,Bircham House,CCH PROPERTY CO LTD,20498839,"29,640.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Computer Maintenance,ICT Infrastructure,CDW LTD,20161284,"31,444.50"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,CELGENE LTD,20522283,"69,361.15"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Lease Rents,MSCP Offices,COLLIERS INTERNATIONAL,19976394,"37,573.20"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Lease Rents,MSCP Car Park,COLLIERS INTERNATIONAL,20598785,"38,512.22"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Lease Rents,MSCP Car Park,COLLIERS INTERNATIONAL,19976282,"354,838.50"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Bldg/Eng Equip Maint/Rep,Operational,DE SOUTTER MEDICAL LTD,20599188,"37,417.44"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Staff costs,Human Resources,DEFENCE BUSINESS SERVICES,20594494,"124,121.50"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Junior doctors,Central Other,DEVON DOCTORS LTD,20458853,"121,828.50"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Fixed assets,Balance Sheet,DOUGLAS FLAT ROOFING LTD,20448717,"67,312.80"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,20452734,"84,540.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,20719713,"84,540.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Med & Surg Maint Contract,Contracts,HAEMONETICS LTD,20565545,"28,660.18"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20547488,"25,200.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20547486,"41,827.16"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20547492,"46,605.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20592193,"53,827.20"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,20547484,"55,770.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,20635208,"32,856.84"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,20690618,"33,184.82"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,20719715,"35,707.14"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,20480359,"-170,606.32"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Fixed assets,Balance Sheet,INDIGO PARK SERVICES UK LTD,20461740,"25,680.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Contr Other External,Switchboard,INDIGO PARK SERVICES UK LTD,20480360,"30,241.98"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Contr Premises Security,Security,INDIGO PARK SERVICES UK LTD,20480360,"39,246.83"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Fixed assets,Balance Sheet,INDIGO PARK SERVICES UK LTD,20742804,"46,860.00"
Department of Health,Plymouth Hospitals NHS TRUST,10/31/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,20480360,"66,688.92"
