ExtractDate,OrganisationURI,OrganisationLabel,ContractReference,TitleOfTheAgreement,ContractType,DirectorateResponsible,ServiceCategory,ServiceCategoryURI,DescriptionOfGoodsAndServices,ProcurementClassification:ProclassLabel,ProcurementClassification:ProclassCode,StartDate,EndDate,ExtensionDate,ReviewDate,ContractValue,FixedorEstimated Costs,IrrecoverableVAT,SupplierName,CompanyNumber,CharityCommissionNumber,SMESupplier,VCSESupplier,VCSESupplierType
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,CS-NWCE-8Z4MLY,"Waste Collection, Recycling and Street Collection",Single award contract,People and Places,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1050,"South Lakeland District Council is running a procurement exercise for the kerbside collection of dry recyclables, garden waste and residual waste for 50,500 household within the district using an alternative weekly collection system.",Environmental Services|Waste Management|Waste Collection,182013,01/04/2010,31/03/2017,,31/03/2017,31500000,Estimated,0,"South Lakeland District Council (In House)

  
",,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,CS-NWCE-9RWQ86,Property Services,Single award contract,People and Places,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5053,"This contract is to carry out Estates Management, Building Maintenance and Energy Efficiency for all South Lakeland District Council buildings and commercial properties.",Works-Construction Repair and Maintenance|Buildings|Repair and Maintenance,391111,01/10/2016,30/09/2021,30/06/2026,30/09/2019,500000,Estimated,0,Lambert Smith Hampton,2521225,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,CS-NWCE-8Z4N3W,Grounds Maintenance,Single award contract,People and Places,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1038,"South Lakeland District Council is running a procurement exercise to find a contractor for the provision of the best horticultural practice; the creation, and maintenance of visually pleasing horticultural features, and the maintenance of rigorous standards of discipline, cleanliness, tidiness, and a positive response to high levels of use.  
",works-Construction Repair and Maintenance|Open Spaces,391300,01/04/2010,31/03/2017,,31/03/2017,4725000,Estimated,0,Continental Landscapes Ltd,2416889,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8DBNPA. 2011/S 18-0248848 of 21/1/2011,Bulky Household Waste Service Contract,Single award contract,People and Places,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1050,"Provision of bulky household goods service to include the collection, reuse and recycling of bulky household goods from within the district.",Environmental Services|Waste Management,182000,14/07/2014,31/03/2017,,17/09/2015,693000,Estimated,0,The Oaklea Trust,4416344,,No,Yes,Community sector
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,CS-NWCE-8Z4NCC,Revenues and Benefits Software,Single award contract,Policy and Resources,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5051,�South Lakeland District Council and Eden District Council are looking for a Windows 2003/2008 or similar based product to replace its current Revenues and Benefits systems.  ,Information Communication Technology|Software,271440,01/10/2010,30/09/2017,,30/09/2017,126000,Estimated,0,Civica UK Ltd,1628868,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8C5N3J,Committee Management Information System (including e-Petitions Facility),Single award contract,Policy and Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1008,"South  Lakeland District Council is seeking to purchase a Committee Management Information System (CMIS) (inc. e-petitions facility), to co-ordinate and manage the democratic support functions of the Council. It is expected that the chosen CMIS will provide the Council with a fully integrated system computerising all aspects of democratic managment, including production of meeting documentation, electronic publishingof documents, management of the democratic process with adequate security, controls and public interface.",Information Communication Technology|Software,271440,01/02/2011,31/01/2021,,11/12/2011,50000,Estimated,0,Modern Mindset Ltd,2208130,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8E6QCS,Schedule of Rates Contract ,Single award contract,People and Places,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5053,"Schedule of Rates contract covering various trades (electrical, plumbing, joinery, general building and painting) to various South Lakeland District Council premises. This tender covers work across all trades (joinery, painting, plumbing, electrical and general building/roofing) and the winning tenderer will be expected to carry out all if required. The tender is not split into different trades and is let as a whole single contract.",Works-Construction Repair and Maintenance|Buildings|Repair and Maintenance,391111,03/05/2011,28/02/2017,30/11/2016,25/11/2016,1500000,Estimated,0,Cruden Property Services Limited,3851237,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8NARYA,Braithwaite Fold Caravan Site Management Agreement,Single award contract,People and Places,Countryside recreation and management,http://opendatacommunities.org/def/concept/finance/sercop/objective/10125,"South Lakeland District Council (SLDC) are tendering for a 5 year management agreement for the running of Braithwaite Fold Caravan site in Bowness On Windermere. The aim of the management agreement is to ensure the site operates at its maximum potential, to ensure high occupancy levels and to provide a high quality of service which meets all caravan site regulations.",Facilities and Management,190000,01/01/2012,31/12/2016,,30/11/2016,300000,Estimated,0,Camping and Caravanning Club,445520,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8YPF6W,Weed Control Programme,Single award contract,People and Places,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10124,Provision for a weed control programme for the adopted highways and hard surfaced footpath network within the district.,Works-Construction Repair and Maintenance,391311,01/03/2013,30/09/2016,,30/11/2016,90000,Estimated,0,ATV Contract Services,4515676,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8V8BY4,Arboricultural Works Contract,Multiple award contract,People and Places,Cultural and related services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1038,South Lakeland District Council are inviting tenders for the provision of tree works for all trees on South Lakeland District Council Land,Works-Construction Repairs and Maintenance|Open Spaces|Repair and Maintenance,391311,14/01/2013,30/03/2017,,,210000,Estimated,0,Cleartrack (EvL) Ltd| Amenity Tree Care,3881690|4141279,,Yes|Yes,No|No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-96VKG6,South Lakeland News Lot 1 - Print and Distribution.  Lot 2 - Advertising,Multiple award contract,Policy and Resources,Supplies and Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5026,"South Lakeland District Council in inviting quotes for the printing, distribution and advertising for South Lakeland News. South Lakeland News is a resident newsletter produced by South Lakeland District Council and distributed to all homes across the district three times a year. This contract has been split into two lots - Lot 1 Print and Distribution, provide competitive print rates and arrange delivery and Lot 2 - Advertising, provide an advertising sales service. Each lot will be evlauated individually although participants are entitled to bid for both lots. ",Facilities and Management,190000,05/06/2013,31/03/2018,,15/09/2015,54000,Estimated,0,Lot 1-Johnston Press PLC|Lot 2- KM Media and Marketing,872836|551082761,,Yes|No,No|No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-95ZS7A,Legionella Monitoring Contract 2013-17,Single award contract,People and Places,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/10142,"The contract is for works associated with the water monitoring and maintenance programme for the prevention of legionella for domestic hot and cold water services. The contract is to cover 18 properties managed by South Lakeland District Council. The works shall comprise, but not limited to, the recording of water temperatures, recording of the conditionof cold water storage tanks and hot water calorifies, water sampling and testing, and correct operation of thermostatic mixing valves together with corrective measure required whilst carrying out the aforementioned. The works shall also include a new Legionella Risk Assessment to be carried on each site together with the compilation of a new log book. The contract shall be for a period of 48 months.",Environmental Services|Monitoring,181400,01/06/2013,31/05/2017,,,60000,Estimated,0,Integrated Water Services Ltd,5283349,,Yes,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,CS-NWCE-8Z4NKF,Gas Supply Agreement,Framework agreement,People and Places,Support Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/5053,Appointed from the YPO framework agreement for the supply of mains firm gas.,Utilities|Gas,371100,01/06/2013,31/03/2017,,31/03/2017,570000,Estimated,0,British Gas Trading Ltd,3078711,,No,No,
01/02/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,SLAKE-CONTRACT-NWCE-8ZVLPH 2012/S 219 - 361055 of 14.11.2012,Bailiff and Debt Collection Services,Single award contract,Policy and Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1010,"South Lakeland District Council and Eden District Council are committed to maximising the collection of Council Tax, National Non Domestic Rates and Sundry Debts including overpaid Housing Benefit by utilising all options available including the use of a high quality bailiff and collection agency service. Both councils seek to recover all debts as quickly as reasonably practicable without imposing unreasonable hardship. This opportunity is for the provision of bailiff and collection agent services. ",Financial Services|DebtCollection and Recovery,201600,03/06/2013,02/06/2018,02/06/2018,11/09/2015,306500,Estimated,0,Jacobs                      ,,,Yes,No,
