OrganisationName,Organisation Code,Effective Date,Ward,Ward Code,Election Year,Candidate,Party,Party Code,Votes,Elected,Electorate,Ballot Papers Issued,Turnout,Vacant Seats
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Blaby South,http://statistics.data.gov.uk/id/statistical-geography/E05005409,2015,Marian Gail Broomhead,Conservative Party,http://openelectiondata.org/id/parties/25,1057,Yes,3618,2569,71.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Blaby South,http://statistics.data.gov.uk/id/statistical-geography/E05005409,2015,Samantha Fox-Kennedy,Labour Party [The],http://openelectiondata.org/id/parties/6,361,No,3618,2569,71.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Blaby South,http://statistics.data.gov.uk/id/statistical-geography/E05005409,2015,Alison Belinda Scott Leggatt,Liberal Democrats,http://openelectiondata.org/id/parties/26,971,No,3618,2569,71.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Blaby South,http://statistics.data.gov.uk/id/statistical-geography/E05005409,2015,Antony Robert Moseley,Liberal Democrats,http://openelectiondata.org/id/parties/26,1017,Yes,3618,2569,71.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Blaby South,http://statistics.data.gov.uk/id/statistical-geography/E05005409,2015,Susan Ann Skeemer,Conservative Party,http://openelectiondata.org/id/parties/25,745,No,3618,2569,71.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Blaby South,http://statistics.data.gov.uk/id/statistical-geography/E05005409,2015,Alison Patricia Winstone,Labour Party [The],http://openelectiondata.org/id/parties/6,348,No,3618,2569,71.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Cosby with South Whetstone,http://statistics.data.gov.uk/id/statistical-geography/E05005414,2015,Michael George Howkins,Labour Party [The],http://openelectiondata.org/id/parties/6,847,No,3712,2688,74.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Cosby with South Whetstone,http://statistics.data.gov.uk/id/statistical-geography/E05005414,2015,Leslie Mark Phillimore,Conservative Party,http://openelectiondata.org/id/parties/25,1419,Yes,3712,2688,74.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Cosby with South Whetstone,http://statistics.data.gov.uk/id/statistical-geography/E05005414,2015,Alan Christopher Tanner,Conservative Party,http://openelectiondata.org/id/parties/25,1527,Yes,3712,2688,74.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Cosby with South Whetstone,http://statistics.data.gov.uk/id/statistical-geography/E05005414,2015,Richard John Woolerton,Labour Party [The],http://openelectiondata.org/id/parties/6,592,No,3712,2688,74.00%,2
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,David Leslie Breese,Liberal Democrats,http://openelectiondata.org/id/parties/26,820,No,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,Adrian Roy Clifford,Conservative Party,http://openelectiondata.org/id/parties/25,2382,Yes,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,Hilary Anne Dewinter,Labour Party [The],http://openelectiondata.org/id/parties/6,1144,No,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,David John Findlay,Conservative Party,http://openelectiondata.org/id/parties/25,1985,Yes,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,David Jennings,Conservative Party,http://openelectiondata.org/id/parties/25,2342,Yes,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,Michael Antony Munn,Liberal Democrats,http://openelectiondata.org/id/parties/26,1305,No,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Countesthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05005413,2015,Paul John Van Anrep,Liberal Democrats,http://openelectiondata.org/id/parties/26,805,No,5941,4266,72.00%,3
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Croft Hill,http://statistics.data.gov.uk/id/statistical-geography/E05005411,2015,David John Di Palma,Labour Party [The],http://openelectiondata.org/id/parties/6,261,No,1705,1182,69.00%,1
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Croft Hill,http://statistics.data.gov.uk/id/statistical-geography/E05005411,2015,David Louis Freer,Conservative Party,http://openelectiondata.org/id/parties/25,902,Yes,1705,1182,69.00%,1
Blaby,http://opendatacommunities.org/id/district-council/blaby,07/11/2014,Ellis,http://statistics.data.gov.uk/id/statistical-geography/E05005412,2015,Emily Bird,Labour Party [The],http://openelectiondata.org/id/parties/6,901,No,4072,2668,66.00%,2
