Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,03/04/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,551556,"336,207.60"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,PET Scans - Feb 17,Christie Medical Physics,ALLIANCE MEDICAL LTD,547954,"266,178.00"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Ward Development,Estates & Facilities,BARNES (In Administration),547129,"36,420.46"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,547435,"342,965.72"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,547720,"257,676.49"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,547431,"-102,918.90"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,549147,"-318,522.00"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,PET Scans - Dec 16,Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,548081,"88,127.95"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,PET Scans - Jan 17,Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,548083,"100,389.23"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Drugs,EAST CHESHIRE NHS TRUST,546606,"120,604.78"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Cancer Networked Services,EAST CHESHIRE NHS TRUST,548782,"40,925.00"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Drugs,Drugs,EAST CHESHIRE NHS TRUST,548653,"116,394.66"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Theatres Development,Capital,ESCHMANN EQUIPMENT,542582,"52,445.16"
Department of Health,The Christie NHS Foundation Trust,06/04/2017,Childcare Vouchers,Human Resources,FIDELITI LIMITED,545620,"33,444.29"
