"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","Skill Zone 2","16482","18010","Administrative Support","4.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139073","C1","35648","44268","Business Manager","1.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Information Technology","7.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","D","23427","29092","Civilian HR Service Provider","2.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","00171528","OF3","47760","57200","RN","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002332","OF2","37916","45090","Project support officer","3.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Employee Representative","2.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV10003","8","56529","70663","Principal","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1123122","Skill Zone 3","18010","22150","Administrative Support","4.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139073","D","23427","29092","Executive Assistant","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Knowledge Info Management","1.80","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","D","23427","29092","Corporate Support","2.00","Statisticians"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002332","OF2","37916","45090","Project support officer","2.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Energy Management","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV10003","8","56529","70663","Specialist Advisors","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1125222","E1","18370","22124","Personal Secretary","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1592539","OF3","47760","57200","RN","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139073","D","23427","29092","Legal Support officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Programme Management","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","D","23427","29092","Engineering and Science","2.00","Information Technology"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002332","OF3","47760","57200","Project support officer","5.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Engineering & Technical Support","4.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV10003","9","67806","118634","Domain Lead","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1125222","OF3","47760","57200","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1592539","OR4","26405","33182","RAF","1.00","Military"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139073","E2","15623","18815","Legal Support officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Project Management","14.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","D TTO","23427","32743","Technical [Trades]","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139074","B1","56436","72185","Legal Adviser","3.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002332","OF4","67032","77617","Project support officer","4.00","Military"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Estate Advice","4.00","Property and asset management"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","1","13602","15959","Team Member","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1125222","OR4","26405","33182","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1592539","E1","18370","22124","Administrative Support","1.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Reporting and Controls","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","D MSF","23427","29092","Direct Military Support","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139074","B2","47942","59535","Legal Adviser","1.00","Law"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002332","Retired Offr 1","37819","44268","Project support officer","2.00","Programme and Project Management (PPM)"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Communications support officer","3.00","Communications"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1119941","E1","18370","22124","Personal Secretary","1.00","Policy"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","2","13864","20628","Team Member","72.13","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","E1","18370","22124","Administrative Support","2.00","Other"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Security Advice","3.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","E1","18370","22124","Administrative Support","67.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139074","OF4","67032","77617","Legal Adviser","1.00","Law"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Information Service Provision","31.00","Knowledge and Information Management (KIM)"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1119941","OF4","67032","77617","Senior Staff Outer Office","1.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","3","17920","26235","Team Member","159.02","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF4","67032","77617","RAF","3.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002462","B1","56436","72185","Commercial Officer","9.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C1","35648","44268","Transaction Processing","1.00","Finance"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","E1","18370","22124","Corporate Support","12.00","Other"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139074","D","23427","29092","Legal Support officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Information Technology","34.89","Information Technology"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","C1","35648","44268","Administrator","1.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","LAN02001","4","20837","33829","Team Leader","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1058640","OF3","47760","57200","Army","9.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00002462","B2","47942","59535","Commercial Officer","12.00","Procurement"
"Ministry of Defence","Ministry of Defence","Defence Infrastructure Organisation","00026652","C2","29258","36333","Administrative Support","2.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1023653","E1","18370","22124","Decision Support","5.00","Finance"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","139074","E1","18370","22124","Legal Support officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1598314","D","23427","29092","Integrated Logistics Support","1.00","Operational delivery"
"Ministry of Defence","Ministry of Defence","Navy Command TLB","1116716","C2","29258","36333","Administrator","1.00","Human Resources"
