OrganisationLabel,OrganisationURI,EffectiveDate,Contract Title,Council,Description,Start Date,End Date,Review Date,Option To Extend,Available Extension,Estimated Total Contract Value,Irrecoverable VAT,Contact Details,Organisational Unit,Contract Reference,Category,Supplier Name,Company Registration/ Charity Commission No - Information not currently collected,Supplier Classification,Process Type
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Legal Fees,Leeds City Council,411-Legal Disbursements,23/11/2016,,,,,"£8,000.00",,Kate Kearns,ADULT SOCIAL CARE,AN224042697231245,,"ANGUS WITHINGTON, 2 Harcourt Buildings, Temple, LONDON, EC4Y 9DB",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,SEMH Consultancy ,Leeds City Council,277-Bought In Professional Services,03/11/2016,,,,,"£13,800.00",,Carol Nightingale,CHILDRENS SERVICES,AN251642677LDS_09,,"ANNE SCARBOROUGH, 4 James Street, Oakworth, KEIGHLEY, BD22 7PE",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Knee Rail Fencing,Leeds City Council,205-Operational Materials,10/11/2016,,,,,"£17,426.60",,Bob Bradley,ENVIRONMENT & HOUSING,AC400542684426356,,"ASC METALS LINCOLN LTD T/A ACE ENGINEERS, Low Moor Mills, Albert Road, MORLEY  LEEDS, LS27 8LD",,c) Small,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Printing of Leeds International Film Festival Guide Printing,Leeds City Council,215-Printing,08/11/2016,,,,,"£9,214.00",,Chris Fell,CITY DEVELOPMENT,AX03264268212417,,"AXIS PRINTING LIMITED, Unit 10 Brookfoot Business Park, Elland Road, BRIGHOUSE, HD6 2SD",,c) Small,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Waste Disposal,Leeds City Council,236-Waste Disposal Charges,30/11/2016,,,,,"£4,378.80",,Edwige Moutault,ENVIRONMENT & HOUSING,BI181742704938L18426,,"BIFFA WASTE SERVICES LTD, Coronation Road, Cressex, HIGH WYCOMBE, HP12 3TZ",,e) Large,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Supply of Christmas Lighting,Leeds City Council,267-Publication And Promotion,23/11/2016,,,,,"£12,365.00",,Chris Ashby,CITY DEVELOPMENT,BL03874269733367,,"BLACHERE ILLUMINATIONS UK LTD, Gladstone Place, Ladybank, FIFE, KY15 7LB",,c) Small,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Bat Survey,Leeds City Council,-,24/11/2016,,,,,"£6,592.00",,John Sims,ENVIRONMENT & HOUSING,BR0182426984254,,"BROOKS ECOLOGICAL LTD, Unit A 1 Station Road, Guiseley, LEEDS, LS20 8BX",,Other/Not known,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Benefits Changes - Off-site Processing,Leeds City Council,265-Other Hired And Contracted Services,04/11/2016,,,,,"£80,320.40",,Amanda Mawson,CITIZENS AND COMMUNITIES,CA2938426786003409987,,"CAPITA BUSINESS SERVICES LTD, Po Box 212  Faverdale Industrial Estate, NULL, DARLINGTON, DL1 9HN",,e) Large,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Residential placement,Leeds City Council,507-General External Residential Placements,02/11/2016,,,,,"£35,336.69",,Clare Lynam,CHILDRENS SERVICES,CA259242676329,,"CARE IN MIND RESIDENTIAL, 2 Hilliards Court, Chester Business Park, CHESTER, CH4 9PX",,Other/Not known,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Home Care,Leeds City Council,568-Home Care,11/11/2016,,,,,"£62,812.71",,Tony Bailey,ADULT SOCIAL CARE,CA569642685E10/10/2016,,"CAREMARK (LEEDS), Northwest Business Park, 1 Servia Hill, LEEDS, LS6 2QH",,b) Micro,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Residential Care,Leeds City Council,580-Residential,16/11/2016,,,,,"£8,323.93",,Tony Bailey,ADULT SOCIAL CARE,ZZ33084269014NOV-11DEC,,"CASTLE DONINGTON NURSING HOME, Delven Lane, NULL, CASTLE DONINGTON, DE74 2LJ",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Agency staff,Leeds City Council,8-,04/11/2016,,,,,"£11,497.50",,Barbara Newton,CHILDRENS SERVICES,CE0115426782329395,,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,CIPS Level 4 Diploma,Leeds City Council,70-,29/11/2016,,,,,"£14,800.00",,Neil Barrett,CENTRAL & CORPORATE,CH05344270357935,,"CHAMBER OF COMMERCE EAST LANCASHIRE, Red Rose Court, Clayton Business Park, ACCRINGTON  LANCASHIRE, BB5 5JR",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Looked After Children Transport,Leeds City Council,360-Private Hire,28/11/2016,,,,,"£16,713.00",,Dylan Owen,CIVIC ENTERPRISE LEEDS,BR04634270272800477279,,"CITY OF BRADFORD METROPOLITAN DISTRICT, Dept Finance Rev & Benefits Service, Dept 19 Brittania House  Halll Ings, BRADFORD, BD1 1HX",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Rent Payments for Armley Moor Health Centre,Leeds City Council,141-Rents,04/11/2016,,,,,"£17,162.98",,Benjamin Middleton,CITY DEVELOPMENT,CO0036426784688,,"COMMUNITY VENTURES COMPANY (NO.1) LTD, 4340 Park Approach, Thorpe Park, LEEDS, LS15 8GB",,b) Micro,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Adaptations Work,Leeds City Council,N/A,15/11/2016,,,,,"£5,585.54",,Coral Wealthall,ENVIRONMENT & HOUSING,EA01694268931104,,"EASIACCESS SOLUTIONS LTD, Independence House,  Federation Way, Lancaster Road, DUNSTON, NE11 9JR",,b) Micro,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Home Care,Leeds City Council,580-Residential,22/11/2016,,,,,"£7,544.88",,Tony Bailey,ADULT SOCIAL CARE,ZZ21624269614NOV-11DEC,,"ELDERTHORPE R H, 230-232 Bradford Road, Shipley, BRADFORD, BD18 3AN",,Other/Not known,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Door Entry Systems,Leeds City Council,205-Operational Materials,04/11/2016,,,,,"£6,855.75",,Mandy Grace,ENVIRONMENT & HOUSING,EN025542678IN275631,,"ENTROTEC LTD, Access House 5 Ashwood Court, Oakbank, LIVINGSTON, EH53 0TL",,c) Small,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Swimming Pool Maintenance,Leeds City Council,101-Maintenance Of Buildings,09/11/2016,,,,,"£9,153.40",,Andrew McCulloch,CIVIC ENTERPRISE LEEDS,EU515742683EPSL-SP0779-03,,"EURO POOLS SERVICE LTD, Euro House 423 Hillington Road, Hillington Park, GLASGOW, G52 4BL",,c) Small,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Legal Fees,Leeds City Council,8-,04/11/2016,,,,,"£5,250.00",,David Feeney,CITY DEVELOPMENT,EV01334267891533831,,"EVERSHEDS LLP, Bridgwater Place, Water Lane, LEEDS, LS11 5DR",,e) Large,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Flooring Conservation,Leeds City Council,265-Other Hired And Contracted Services,11/11/2016,,,,,"£5,191.50",,Yvonne hardman,CITY DEVELOPMENT,EY052142685E2786A,,"EYEMATS LIMITED, Unit 16 Evans Bus Ctr  1-2 Sparrow Way, Lakesview Int Bus Park, CANTERBURY, CT3 4AL",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Upgrade of existing Pacs client system to online Cityline Management system,Leeds City Council,214-Computer Software & Equipment,25/11/2016,,,,,"£7,670.71",,Antony Lawson,ENVIRONMENT & HOUSING,ZE138642699SIN244675,,"FAAC (UK) LTD, Unit 10 The Hatch Ind Park, Greywell Road Mapledurwell, BASINGSTOKE, RG24 7NG",,c) Small,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Consultancy and Research,Leeds City Council,265-Other Hired And Contracted Services,01/11/2016,,,,,"£15,000.00",,Jennifer Young,CITY DEVELOPMENT,FI985042675LCC1,,"FINEXUS LTD, 23a Vanbrugh Park, NULL, LONDON, SE3 7AF",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Carry out Fire Compartmentation at Oakwood Primary School,Leeds City Council,265-Other Hired And Contracted Services,01/11/2016,,,,,"£47,735.85",,Dave Brown,ENVIRONMENT & HOUSING,TO0389426757513,,"FIRE PROTECTION COMPLIANCE LTD, Grange Yard, Grange Lane, WINSFORD, CW7 2BP",,c) Small,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Supply and Fit of Ventilation Systems,Leeds City Council,N/A,24/11/2016,,,,,"£5,325.00",,Sarah Morton,CIVIC ENTERPRISE LEEDS,SH2461426980000003585,,"FREDSHAW & CO LTD, Victoria Buildings  Albert Street, Lockwood, HUDDERSFIELD, HD1 3PR",,c) Small,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Training and Technical Advice,Leeds City Council,N/A,18/11/2016,,,,,"£9,999.00",,George Munson,ENVIRONMENT & HOUSING,GA455742692107547967,,"GATESHEAD COUNCIL, Finance Department, Civic Centre  Regent Street, GATESHEAD, NE8 1HH",,Other/Not known,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,ICT Agency Fees,Leeds City Council,8-,09/11/2016,,,,,"£19,400.00",,Steven Bedford,CENTRAL & CORPORATE,GC003842683113485,,"GCS RECRUITMENT SPECIALISTS, 2 Wesley Gate  70-74 Queens Road, NULL, READING, RG1 4AP",,c) Small,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22-Dec,Radio  Advertising,Leeds City Council,211-Advertising,24/11/2016,,,,,"£5,096.67",,Susan Burgess,CITY DEVELOPMENT,GL016942698711553,,"GLOBAL RADIO SERVICES LTD, Po Box 2020, NULL, READING, RG31 7FG",,e) Large,Non-influenceable
