PROPERTY_DESCRIPTION,PROPREF,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
Abattoir and Premises,64456700,"Brookwoods Estate, Burrwood Way, Holywell Green, Halifax             HX4 9BH",,76500,27/03/2000,
Abattoir and Premises,78218701,"Adj East Hey Head Farm, Hey Head Lane, Todmorden, OL14 8RE",,2650,01/04/2011,SBR
Activity Centre & Premises,78244703,"Robinwood Activity Centre, Jumps Road, Todmorden, OL14 8HJ",Robinwood Activity Centre Ltd,18250,15/03/1994,
Activity Centre & Premises,78567701,"Robinwood Activity Centre, Dobroyd Castle, Pexwood Road, Todmorden           OL14 7JY",Robinwood Activity Centre Ltd,51500,18/04/2009,
Actors Workshop And Premises,68736705,"7/9 St James Street, Halifax, HX1 5SU",Actors Workshop Youth Theatre Co.,12000,01/04/2004,DCR MCR
Advertising Right,29080722,"229 Bradford Road, Brighouse, HD6 4BN",Primesight Ltd,980,01/09/2009,SBR
Advertising Right,64716704,"Board 0490, Gable 10 Cross Hills, Halifax, HX1 1XQ",Primesight Ltd,1600,01/09/2009,SBR
Advertising Right,65516739,"Advertising Right, 195 King Cross Road, Halifax, HX1 3LN",Staincliffe Advertisers Ltd,980,01/04/1991,SBR
Advertising Right,65516740,"Board No. 0702 0010, King Cross Road, Halifax, HX1 3JP",Clear Channel (Uk) Ltd,300,01/04/2000,SBR
Advertising Right,65516743,"Board No 0702-0042, King Cross Road, Halifax, HX1 3JP",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right,65516780,"Advertising Right, Bus Shelter 0702 0145, King Cross Road, Halifax              HX1 3JZ",Clear Channel (Uk) Ltd,300,01/04/2010,SBR
Advertising Right,68156720,"Board No 0335-01, 330 Ovenden Road, Halifax, HX3 5TJ",Clear Channel (Uk) Ltd,810,01/04/2000,SBR
Advertising Right,68308141,"Gable, 141 Queens Road, Halifax, HX1 3XY",,275,01/10/2013,SBR
Advertising Right,68308835,"Junction Of, Queens Road & Parkinson Lane, Halifax, HX1 3XY",,550,01/05/2014,SBR
Advertising Right,68444735,"Gable, 80 Saddleworth Road, Greetland, Halifax             HX4 8AG",Clear Channel (Uk) Ltd,810,01/04/1990,SBR
Advertising Right,68872706,"Board No. 0702 0037, Stump Cross, Halifax, HX3 7AD",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right,77628705,"Gable 96 Wakefield Road, Sowerby Bridge, HX6 2AZ",Clear Channel (Uk) Ltd,980,01/03/2002,SBR
Advertising Right,78076812,"Gable,Railway Hotel, Burnley Road, Todmorden, OL14 8JA",Clear Channel (Uk) Ltd,980,01/03/2002,SBR
Advertising Right,78192768,"End 283 Halifax Road, Todmorden, OL14 5SQ",Clear Channel (Uk) Ltd,810,01/04/1990,SBR
Advertising Right And Premises,29052715,"Huddersfield Road, Adj 1A Birds Royd Lane, Brighouse, HD6 1LQ",Jc Decaux Ltd,1375,01/04/1996,SBR
Advertising Right And Premises,29052716,"Adj 3/5 Birds Royd Lane, Brighouse, HD6 1LQ",Jc Decaux Ltd,440,01/04/1998,SBR
Advertising Right And Premises,29080725,"Adj 42 Bradford Road, Brighouse, HD6 1RY",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right And Premises,29080727,"Adj 217 Bradford Road, Brighouse, HD6 4AS",,365,07/12/2012,SBR
Advertising Right And Premises,29080733,"Advertising Right 2018, 36 Bradford Road, Brighouse, HD6 1RW",Insite Poster Properties Ltd,1625,01/01/2013,EX
Advertising Right and Premises,29080737,"Gable, 145 Bradford Road, Brighouse, HD6 4AD",Clear Channel (Uk) Ltd,980,01/06/1994,SBR
Advertising Right and Premises,29080750,"Advertising Right, Board No. 4706/01-03, Bradford Road, Brighouse",Outdoor Systems Ltd,4100,07/01/2013,SBR
Advertising Right and Premises,29180724,"Gable Of The Round Tavern, 2 Clifton Road, Brighouse, HD6 1SL",Brearleys Solicitors,1675,23/09/2008,SBR
Advertising Right And Premises,29236715,"Nr 106 Elland Road, Brighouse, HD6 2QR",Primesight Ltd,1925,01/09/2009,SBR
Advertising Right and Premises,29236744,"Site No 845, Elland Road, Brighouse, HD6 2QS",Clear Channel (Uk) Ltd,4100,01/06/1993,SBR
Advertising Right and Premises,29238701,"Advertising Right No 1352, Elland Wood Bottom, Brighouse, HD6 3RG",Primesight Ltd,1375,01/09/2009,SBR
Advertising Right And Premises,29240700,"Gable 1 Elm Terrace, Brighouse, HD6 4BR",Jc Decaux Ltd,810,01/04/1996,SBR
Advertising Right and Premises,29308706,"Board No 2296/04, Hartshead Moor Service Area, Hartshead Moor, Brighouse           HD6 4JX",Welcome Break Group Plc,1725,31/12/2009,SBR
Advertising Right And Premises,29308708,"Board No 2297/01, Hartshead Moor Service Area, Hartshead Moor, Brighouse           HD6 4JX",Welcome Break Group Plc,1725,01/04/2011,SBR
Advertising Right And Premises,29308711,"Board No 2297/02, Hartshead Moor Service Area, Hartshead Moor, Brighouse           HD6 4JX",Welcome Break Group Plc,1725,01/04/2011,SBR
Advertising Right and Premises,29308715,"B/D No 2427-2433 E/Bound M62, Hartshead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX",Admedia Ltd,3550,01/04/2004,SBR
Advertising Right and Premises,29308716,"Ad Rt Adm'Ia Bd 2420-2426 Wb, Hartshead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX",Admedia Ltd,2275,01/04/2004,SBR
Advertising Right And Premises,29344720,"Site No BH3 (El Sub Sta), Opp 17 Huddersfield Road, Brighouse, HD6 1JZ",Jc Decaux Ltd,1575,01/04/1996,SBR
Advertising Right And Premises,29344736,"Crowtrees Garage, Huddersfield Road, Brighouse, HD6 1HA",Primesight Ltd,480,01/05/2002,SBR
Advertising Right and Premises,29420718,"Adshels At Sainsburys, Mill Lane, Brighouse, HD6 1PQ",Clear Channel (Uk) Ltd,3200,31/05/2000,SBR
Advertising Right And Premises,29588704,"Adv Rt 0702 0164, Adj 2 Towngate, Clifton, Brighouse            HD6 4HX",Clear Channel (Uk) Ltd,480,01/04/2011,SBR
Advertising Right and Premises,29608720,"Adj 17 Wakefield Road, Brighouse, HD6 1PE",Directional Signs Ltd,1725,01/02/2005,SBR
Advertising Right and Premises,29677002,"Adv Right Board No. 21625, Adj 2 Castlefields Drive, Brighouse, HD6 3HS",Clear Channel (Uk) Ltd,300,04/04/2007,SBR
Advertising Right and Premises,56116710,"Advertising Right, Halifax Road, Elland, HX5 0SH",Clear Channel (Uk) Ltd,1150,01/04/1990,SBR
Advertising Right and Premises,56132772,"Adj 99 Huddersfield Road, Elland, HX5 9AA",Clear Channel (Uk) Ltd,980,01/04/1990,SBR
Advertising Right and Premises,56132781,"Board No. 0303-01, Huddersfield Road, Elland, HX5 9DW",Clear Channel (Uk) Ltd,1725,01/04/1991,SBR
Advertising Right And Premises,56192733,"Advertising Right, Board No. 000301, Park Road, Elland",J.C Decaux Ltd,1000,01/04/2003,SBR
Advertising Right And Premises,56244716,"Adv Rt Victoria Rd Serv Stn, Victoria Road, Elland, HX5 0PU",Primesight Ltd,480,01/04/2005,SBR
Advertising Right And Premises,56270702,"Bus Shelter, Site No. 0702 0167, Calderdale Way, Elland               HX5 9DU",Clear Channel (Uk) Ltd,480,05/01/2011,SBR
Advertising Right And Premises,64104701,"Board 1456, Opposite 31/33 Back Clough, Northowram, Halifax              HX3 7HH",J C Decaux Uk Ltd,1300,01/04/1994,SBR
Advertising Right and Premises,64152701,"Advertising Right Board, No.  4789, Barfield Road, Halifax              HX3 8HQ",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right And Premises,64184704,"Site 1455 S/0, 58 Godley Road, Halifax, HX3 6AH",Clear Channel (Uk) Ltd,1725,01/04/2013,SBR
Advertising Right And Premises,64184705,"Adj 14 Beacon Hill Road, Halifax, HX3 6AF",J C Decaux Uk Ltd,980,01/04/1994,SBR
Advertising Right And Premises,64254713,"Ad Rht Bus Shelter 0702 0112, Opp West Vale Primary School, Stainland Road, Greetland            HX4 8LS",Clear Channel (Uk) Ltd,480,01/04/2008,SBR
Advertising Right and Premises,64254719,"Advertising Right At Jet, Service Stn (YDUK0702019034), Stainland Road, Greetland            HX4 8BQ",Primesight Ltd,400,01/04/2009,SBR
Advertising Right And Premises,64284711,"Advertising Rgt Bus Shelter, 0702 0013 Opposite New Inn, Boothtown Road, Halifax              HX3 6PD",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right And Premises,64284720,"Board No 0702 0038, Nr 128 Boothtown Road, Halifax, HX3 6HG",Clear Channel (Uk) Ltd,480,01/04/1995,SBR
Advertising Right And Premises,64284826,"Advertising Right, Bus Shelter Brd No 0702-0123, Adj 44-6 Boothtown Road, Halifax              HX3 6NE",Clear Channel (Uk) Ltd,240,01/11/2007,SBR
Advertising Right And Premises,64376734,"Advertising Right, On Bus Shelter 0702 0129, Brighouse Road, Hipperholme          HX3 8EB",Clear Channel (Uk) Ltd,480,01/04/2008,SBR
Advertising Right And Premises,64444705,"Adj 51 Burnley Road, Halifax, HX2 7JD",J C Decaux Uk Ltd,500,01/04/1994,SBR
Advertising Right And Premises,64444706,"Adv Right Bus Shelter 18558, Cote Hill Fold, Burnley Road, Halifax              HX2 7LX",Clear Channel (Uk) Ltd,240,01/04/2009,SBR
