ExtractDate,ItemCount,ReturnCode,FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Hygiene,Structural,ConfidenceInManagement,SchemeType,NewRatingPending,Location
29/03/2017,1261,Success,836596,15/00143/COM,1738 Cafe,Restaurant/Cafe/Canteen,1,OX1 3AG,5,fhrs_5_en-GB,30/11/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,5,0,FHRS,False,"1-4 Broad Street Oxford Oxfordshire OX1 3AG
UK
(51.753995, -1.258278)"
29/03/2017,1261,Success,661418,14/00042/COM,1855,Restaurant/Cafe/Canteen,1,OX1 1AY,5,fhrs_5_en-GB,08/03/2017,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,5,5,FHRS,False,"4 Oxford Castle New Road Oxford OX1 1AY
UK
(51.751367, -1.262074)"
29/03/2017,1261,Success,718878,13/00068/COM,2 North Parade Stores,Retailers - other,4613,OX2 6LX,3,fhrs_3_en-GB,02/09/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,10,5,10,FHRS,False,"2 North Parade Avenue Oxford Oxfordshire OX2 6LX
UK
(51.764664, -1.261915)"
29/03/2017,1261,Success,269231,10/00014/COM,24 Station Market,Retailers - other,4613,OX1 1HU,5,fhrs_5_en-GB,13/09/2012,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,0,5,FHRS,False,"24 Park End Street Oxford Oxfordshire OX1 1HU
UK
(51.75252, -1.26811)"
29/03/2017,1261,Success,269028,08/00025/COM,4500 Miles From Delhi,Restaurant/Cafe/Canteen,1,OX1 1JD,5,fhrs_5_en-GB,20/03/2017,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,5,5,FHRS,False,"40 - 41 Park End Street Oxford Oxfordshire OX1 1JD
UK
(51.752641, -1.265877)"
29/03/2017,1261,Success,269354,11040/0080/0/000,Abbeyfield Oxford Society,Hospitals/Childcare/Caring Premises,5,OX4 1AW,5,fhrs_5_en-GB,15/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"Brian Lewis House 80 St Clement's Street Oxford OX4 1AW
UK
(51.750706, -1.238776)"
29/03/2017,1261,Success,269281,10370/0011/0/000,ABC Nursery,Hospitals/Childcare/Caring Premises,5,OX3 7RG,5,fhrs_5_en-GB,17/01/2017,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,0,0,FHRS,False,"11 Sandfield Road Oxford Oxfordshire OX3 7RG
UK
(51.75919, -1.217625)"
29/03/2017,1261,Success,268821,06100/0260/2/000,Acorn Guest House,Hotel/bed & breakfast/guest house,7842,OX4 1SE,5,fhrs_5_en-GB,19/01/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"262 Iffley Road Oxford Oxfordshire OX4 1SE
UK
(51.741139, -1.237459)"
29/03/2017,1261,Success,269387,11390/0049/0/000,Acorn News,Retailers - other,4613,OX4 4PN,4,fhrs_4_en-GB,21/02/2017,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,10,10,FHRS,False,"49 St Nicholas Road Oxford Oxfordshire OX4 4PN
UK
(51.721021, -1.220238)"
29/03/2017,1261,Success,914724,16/00104/COM,Adam Soft Ice Cream,Mobile caterer,7846,OX4 3LJ,5,fhrs_5_en-GB,25/08/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"37 The Grates Oxford Oxfordshire OX4 3LJ
UK
(51.730386, -1.217036)"
29/03/2017,1261,Success,268380,00600/0302/0/000,Adams Guest House,Hotel/bed & breakfast/guest house,7842,OX2 7ED,5,fhrs_5_en-GB,28/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,0,0,FHRS,False,"302 Banbury Road Oxford Oxfordshire OX2 7ED
UK
(51.779405, -1.265414)"
29/03/2017,1261,Success,839314,15/00148/COM,Adria,Other catering premises,7841,OX3 7BU,4,fhrs_4_en-GB,24/11/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,10,0,10,FHRS,False,"5 Simon House 2-4 Windmill Road Oxford OX3 7BU
UK
(51.759567, -1.210852)"
29/03/2017,1261,Success,268832,06160/0027/0/000,Advance Housing And Support Ltd,Hospitals/Childcare/Caring Premises,5,OX2 7SN,Exempt,fhrs_exempt_en-GB,16/02/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,,,,FHRS,False,"27 Islip Road Oxford Oxfordshire OX2 7SN
UK
(51.784286, -1.263943)"
29/03/2017,1261,Success,268738,05740/2034/2/000,Ahmeds BBQ,Mobile caterer,7846,,5,fhrs_5_en-GB,12/02/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"Street Trader (South Side) (evening High Street Oxford
UK
(51.752243, -1.248389)"
29/03/2017,1261,Success,848716,16/00013/COM,Akiport,Retailers - other,4613,OX1 4RA,4,fhrs_4_en-GB,15/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,10,FHRS,False,"194 Abingdon Road Oxford Oxfordshire OX1 4RA
UK
(51.73987, -1.253904)"
29/03/2017,1261,Success,854386,16/00036/COM,Akiport Cafe,Restaurant/Cafe/Canteen,1,OX1 4RA,AwaitingInspection,fhrs_awaitinginspection_en-GB,,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,,,,FHRS,False,"192 Abingdon Road Oxford Oxfordshire OX1 4RA
UK
(51.73987, -1.253904)"
29/03/2017,1261,Success,848723,16/00020/COM,Al Amin,Retailers - other,4613,OX4 1UQ,4,fhrs_4_en-GB,22/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,10,10,FHRS,False,"216 Cowley Road Oxford Oxfordshire OX4 1UQ
UK
(51.746509, -1.233545)"
29/03/2017,1261,Success,848724,16/00021/COM,Al Rehman Halal Meat And Groceries,Retailers - other,4613,OX3 0JQ,1,fhrs_1_en-GB,21/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,10,20,FHRS,False,"489 Marston Road Oxford Oxfordshire OX3 0JQ
UK
(51.767112, -1.232747)"
29/03/2017,1261,Success,269145,08980/0006/0/000,Al Salam,Restaurant/Cafe/Canteen,1,OX1 1HH,3,fhrs_3_en-GB,03/03/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,10,10,10,FHRS,False,"6 Park End Street Oxford Oxfordshire OX1 1HH
UK
(51.752936, -1.265583)"
29/03/2017,1261,Success,269261,10/00072/COM,Alamir Store,Retailers - other,4613,OX4 1JB,4,fhrs_4_en-GB,22/03/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,10,10,FHRS,False,"78A Cowley Road Oxford Oxfordshire OX4 1JB
UK
(51.748732, -1.240751)"
29/03/2017,1261,Success,268934,07110/0010/0/000,Al-Andalus,Restaurant/Cafe/Canteen,1,OX1 2HP,5,fhrs_5_en-GB,18/03/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,5,5,FHRS,False,"10 Little Clarendon Street Oxford Oxfordshire OX1 2HP
UK
(51.758684, -1.261737)"
29/03/2017,1261,Success,458057,12/00024/COM,Albion Beatnik Bookstore,Restaurant/Cafe/Canteen,1,OX2 6AA,4,fhrs_4_en-GB,16/03/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,5,10,FHRS,False,"34 Walton Street Oxford Oxfordshire OX2 6AA
UK
(51.758031, -1.263791)"
29/03/2017,1261,Success,268378,00600/0273/A/000,Alcock's Butchers And Fishmongers,Retailers - other,4613,OX2 7JF,4,fhrs_4_en-GB,01/12/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,10,0,10,FHRS,False,"273A Banbury Road Oxford Oxfordshire OX2 7JF
UK
(51.779976, -1.266245)"
29/03/2017,1261,Success,268534,03030/0224/0/000,Alders Butchers,Retailers - other,4613,OX4 1UH,3,fhrs_3_en-GB,16/08/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,10,10,10,FHRS,False,"224 Cowley Road Oxford Oxford OX4 1UH
UK
(51.746044, -1.232496)"
29/03/2017,1261,Success,269186,09/00071/COM,Aldi,Retailers - supermarkets/hypermarkets,7840,OX2 0HA,5,fhrs_5_en-GB,17/11/2014,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"Botley Road Oxford Oxfordshire OX2 0HA
UK
(51.751639, -1.287261)"
29/03/2017,1261,Success,268341,00120/0009/0/000,Ali's Jericho Store,Retailers - other,4613,OX2 6AY,4,fhrs_4_en-GB,09/05/2014,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,5,10,FHRS,False,"9 Albert Street Oxford Oxfordshire OX2 6AY
UK
(51.757215, -1.266962)"
29/03/2017,1261,Success,269509,13230/2029/2/000,Ali's Kebabs,Mobile caterer,7846,,5,fhrs_5_en-GB,12/02/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,5,0,FHRS,False,
29/03/2017,1261,Success,268726,05740/0124/0/000,All Bar One,Pub/bar/nightclub,7843,OX1 4DF,5,fhrs_5_en-GB,25/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"124 High Street Oxford Oxfordshire OX1 4DF
UK
(51.752085, -1.256238)"
29/03/2017,1261,Success,631362,14/00006/COM,All Cakes And Sizes Ltd,Other catering premises,7841,,5,fhrs_5_en-GB,04/10/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,5,FHRS,False,
29/03/2017,1261,Success,269481,13070/0063/0/000,All Seasons Guest House,Hotel/bed & breakfast/guest house,7842,OX3 7BP,4,fhrs_4_en-GB,20/01/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,10,FHRS,False,"63 Windmill Road Oxford Oxfordshire OX3 7BP
UK
(51.757955, -1.209156)"
29/03/2017,1261,Success,268731,05740/2000/2/000,All Souls College,School/college/university,7845,OX1 4AL,5,fhrs_5_en-GB,27/05/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,0,0,FHRS,False,"High Street Oxford Oxfordshire OX1 4AL
UK
(51.752784, -1.253025)"
29/03/2017,1261,Success,502629,13/00003/COM,Allied Healthcare - Frys Court,Hospitals/Childcare/Caring Premises,5,OX4 7WJ,5,fhrs_5_en-GB,17/11/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,5,5,FHRS,False,"Frys Court 2 Nightingale Avenue Oxford OX4 7WJ
UK
(51.715936, -1.198193)"
29/03/2017,1261,Success,502630,13/00004/COM,Allied Healthcare - Potters Court,Hospitals/Childcare/Caring Premises,5,OX4 7FF,5,fhrs_5_en-GB,17/11/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,"Potters Court Robin Place Oxford OX4 7FF
UK
(51.715128, -1.201015)"
29/03/2017,1261,Success,269526,13432/0089/3/000,Alpha Bar,Takeaway/sandwich shop,7844,,4,fhrs_4_en-GB,16/10/2015,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,5,10,FHRS,False,
29/03/2017,1261,Success,862633,16/00059/COM,Cook Eat Laugh Repeat,Other catering premises,7841,,5,fhrs_5_en-GB,14/04/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,0,0,0,FHRS,False,
29/03/2017,1261,Success,269430,12530/2425/0/000,Al-Shami Lebanese Restaurant And Richmond Hotel,Restaurant/Cafe/Canteen,1,OX1 2JG,4,fhrs_4_en-GB,25/11/2016,269,Oxford City,http://www.oxford.gov.uk,foodsafety@oxford.gov.uk,5,5,10,FHRS,False,"24-25 Walton Crescent Oxford Oxfordshire OX1 2JG
UK
(51.757447, -1.265205)"
