Body_Name,Body,Payment Date,Transaction Number,Department,Supplier Name,Supplier Post Code,Expenditure Category,Net Amount
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20140212,CHAPS,V-Central Items,SPARKEN HILL ACADEMY,,987-Short Term Creditors-Control,52.3000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20140809,FP,N-Development & Growth - Services,FUTURING,,475-Other Services,19200.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20140809,FP,N-Development & Growth - Services,FUTURING,,475-Other Services,5.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141118,FP,R-Resources,NIALL J MELLON GROUP,,925-Collection Fund,362.5000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141118,FP,R-Resources,NIALL J MELLON GROUP,,925-Collection Fund,5.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20141208,CHAPS,V-Central Items,NCC SCHOOLS,,976-Short Term Creditors-Systems,137970.5900000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150105,CHAPS,V-Central Items,CAERPHILLY BOROUGH COUNCIL,,99B-Short Term Borrowing,5000000.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150105,CHAPS,V-Central Items,CAERPHILLY BOROUGH COUNCIL,,720-Interest,3615.0700000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150119,FP,V-Central Items,REAL MADRID,,980-Cash and Cash Equivalents,310.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150122,CHAPS,V-Central Items,REDACTED PERSONAL DATA,,978-Short Term Creditors-Govt Dept,14255.2300000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150122,CHAPS,V-Central Items,REDACTED PERSONAL DATA,,978-Short Term Creditors-Govt Dept,409.0000000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150122,CHAPS,V-Central Items,REDACTED PERSONAL DATA,,978-Short Term Creditors-Govt Dept,5317.3800000000
Nottingham City Council,http://data.ordnancesurvey.co.uk/id/7000000000038857,20150122,CHAPS,V-Central Items,REDACTED PERSONAL DATA,,978-Short Term Creditors-Govt Dept,14930.5100000000
