"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF1","16468","33507","Military","88.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Adult Apprentice","18730","19747","Engineering Civ Apprentices","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV01001","9","67806","118634","Principal","1.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","Skill Zone 2","16482","18010","Driving","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","C1","36562","44711","Business Manager","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1167535","Locally Employed Civilian (LEC)","0","0","Locally Employed Civilian (LEC)","3911.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Academic Profr of Music (Eng) - 2018","53112","53112","Teaching","0.94","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF2","38848","46199","Military","2735.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Apprentice","14303","18318","Civilian HR Service Provider","7.00","Human Resources"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","Ambulance Practitioner","18402","21798","Medical Technical","5.00","Medicine"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","C2","29258","36333","Legal support officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng) - 2018","53112","53112","Specialist Instruction","2.56","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Admiralty Pilot","44994","54475","Port Operations","19.36","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02001","4","20837","33829","Team Member","3.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF3","47760","57200","Military","1404.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Apprentice","14303","18318","Engineering Civ Apprentices","56.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","C2","29258","36333","Intelligence Analysis","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","D","24028","29383","Executive Assistant","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1167535","Academic Profr of Music (Eng) - 2018","53112","53112","Training Support","1.62","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Navy Command","1105340","Admiralty Pilot (Trainee)","41131","48149","Port Operations","5.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Defence Science and Technology Laboratory","GOV02001","5","30889","41774","Team Member","4.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","1017733","OF4","67032","77617","Military","451.00","Military"
"Ministry of Defence","Ministry of Defence","Defence Equipment and Support","00009000","Apprentice","14303","18318","Engineering Civ Apprentices","88.00","Science and Engineering"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1671070","C2","29258","36333","Internal Communications","1.00","Communications"
"Ministry of Defence","Ministry of Defence","Head Office and Corporate Services","00005654","D","24028","29383","Legal support officer","1.00","Other"
"Ministry of Defence","Ministry of Defence","Army","1167535","Ambulance Practitioner","18402","21798","Medical Technical","6.00","Medicine"
