OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,AC138142534133809,Slam Dunk Event,CITY DEVELOPMENT,,,13/06/2016,,,,,"£8,000.00",,"ACORN SCAFFOLDING (YORKSHIRE) LTD, Moor Lane Trading Estate, Moxon Way Sherburn In Elmet, LEEDS, LS25 6ES",,d) Medium,,Craig Shackleton,Off-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,AN251642523LDS_04,Consultation,CHILDRENS SERVICES,,,02/06/2016,,,,,"£7,200.00",,"ANNE SCARBOROUGH, 4 James Street, Oakworth, KEIGHLEY, BD22 7PE",,Other/Not known,,Andrew Eastwood,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,AP0361425412890,Electric Van,ENVIRONMENT & HOUSING,,,20/06/2016,,,,,"£19,676.08",,"APRITE (GB) LIMITED T/A WEST WAY NISSAN., 127 Chester Road, Streetly, BIRMINGHAM, B74 2HE",,Other/Not known,,Carl Snowden,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,AR055542527BG04991160001PMGBP1,Insurance Cover,CITY DEVELOPMENT,,,06/06/2016,,,,,"£26,280.00",,"ARTHUR J GALLAGHER (UK) LIMITED T/A, The Wallbrook Building, 25 Walbrook, LONDON, EC4N 8AW",,Other/Not known,,John Roles,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,AS99384253118918,Polling Training,CITIZENS AND COMMUNITIES,,,10/06/2016,,,,,"£11,513.21",,"ASSOCIATION OF ELECTORAL ADMINISTRATORS, Elections Office Room 3.17, Sunderland City Council, CIVIC CENTRE SUNDERLAND, SR2 7DN",,c) Small,,Sue Wolfe,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,AX0365425371051-1079,Heavy Duty Fencing,ENVIRONMENT & HOUSING,,,16/06/2016,,,,,"£6,050.00",,"AXO LEISURE LTD, 86 Main Street, Stanbury, KEIGHLEY, BD22 0HB",,Other/Not known,,Bob Bradley,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,BA1202425244546,Design and Print Services,CITY DEVELOPMENT,,,03/06/2016,,,,,"£6,368.00",,"BANNERS AND MASH LIMITED, 34 Bradford Road, Guiseley, LEEDS, LS20 8NH",,Other/Not known,,Susan Burgess,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,BM041542531INV-20696,Leeds Dying matters,PUBLIC HEALTH,,,10/06/2016,,,,,"£8,420.00",,"BML CREATIVE LTD, Shine Business Centre, Harehills Road, LEEDS, LS8 5HS",,Other/Not known,,Lynne Hellewell,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,BR1890425237458,Columbia Threadneedle World Triathlon,CITY DEVELOPMENT,,,02/06/2016,,,,,"£115,000.00",,"BRITISH TRIATHLON, P.O. Box 25, NULL, LOUGHBOROUGH, LE11 3WX",,Other/Not known,,Cluny Macpherson,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CA0630425424910,Control Systems,ENVIRONMENT & HOUSING,,,21/06/2016,,,,,"£5,494.11",,"CALVERLEY CONTROL INSTALLATIONS LTD, Blacup House, Royds Close, LEEDS, LS12 6LL",,Other/Not known,,Phil Rigby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CA2142425366077020978,Annual Managed service for ICT,CHILDRENS SERVICES,,,15/06/2016,,,,,"£14,833.00",,"CAPITA MANAGED IT SOLUTIONS LTD, Po Box 212   Faverdale Industrial Estate, NULL, DARLINGTON, DL1 9HN",,e) Large,,Darren Dobson,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CA7042425360923,Fuel Poverty Loan Administration,ENVIRONMENT & HOUSING,,,15/06/2016,,,,,"£5,000.00",,"CARE & REPAIR LEEDS, 323 Roundhay Road, NULL, LEEDS, LS8 4HT",,c) Small,,Edwige Moutault,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CA259242551199,Residential Care,CHILDRENS SERVICES,,,30/06/2016,,,,,"£46,053.56",,"CARE IN MIND RESIDENTIAL, 2 Hilliards Court, Chester Business Park, CHESTER, CH4 9PX",,Other/Not known,,Iain Dunn,Non-influenceable
