RATEPAYER,RV,Property Address,LIABILITY_START
Unique Campers Ltd,9900,"Unit 2, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",04-02-2013
Rontec Watford Ltd,900,"Atm At, Sunwood Service Station, Halifax Road, Shelf                HX3 7JT",22-09-2012
Rhead Group Ltd,61500,"Ground Floor Unit H6, Premier Way, Lowfields Business Park, Elland               HX5 9HF",15-09-2014
Ascon Investments [Hx] Ltd,23000,"3RD Floor, 39/47 Commercial Street, Halifax, HX1 1BE",13-05-2014
,7700,"2 Coleridge Street, Halifax, HX1 2JF",03-11-2014
,2850,"Unit 12, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",01-08-2014
Pd Metal Polishing Ltd,2850,"Unit R7, Tenterfields Business Park, Luddendenfoot, Halifax              HX2 6EQ",01-04-2014
,4100,"Unit 16 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",01-04-2014
,3050,"Unit 19 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",01-04-2014
Antiques & Orientals Ltd,1325,"Unit 4, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",01-04-2014
Mearclough Farm Feeds & Farm Services Ltd,2900,"Unit 4 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",22-02-2014
,2250,"Unit J, Atlas Mill Road, Brighouse, HD6 1ES",01-08-2014
,1025,"Unit 3 Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",01-04-2014
,1375,"Unit 2 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",21-01-2014
Apetito Ltd,20500,"Unit 2 Valley Business Park, Shay Lane, Halifax, HX2 9AP",27-10-2014
Marmerel Ltd,1975,"8 Victoria Road, Sowerby Bridge, HX6 3AE",31-05-2013
Marmerel Ltd,35250,"Victoria Road, Sowerby Bridge, HX6 3AQ",31-05-2013
Marmerel Ltd,11500,"Victoria Road, Sowerby Bridge, HX6 3AQ",03-08-2013
Obl Contacts Ltd,2950,"Unit 11, The Ainleys, Huddersfield Road, Elland              HX5 9DW",01-10-2014
,8000,"18 Market Street, Hebden Bridge, HX7 6AA",03-11-2014
,2900,"279 Queens Road, Halifax, HX1 4NS",03-11-2014
,2950,"Unit 1, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",01-08-2014
Kino & Co,560,"Room 5.3, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",01-08-2014
,2475,"Bay 6 (Ground Floor), Shay Lane Works, Shay Lane, Halifax              HX3 6SF",15-08-2014
,620,"Office 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",15-08-2014
Birds Royd Property Co Ltd,5600,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH",01-07-2014
Warmco Space Heating Ltd,880,"Unit 5A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",01-04-2013
,4400,"5 Town Hall Street, Sowerby Bridge, HX6 2QD",31-10-2014
Cheque Centre Properties Ltd,17250,"68 Commercial Street, Brighouse, HD6 1AQ",03-07-2014
Edgar Dickinson Properties Ltd,1775,"Unit 72 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",01-09-2014
,2250,"3 Coronation Street, Elland, HX5 0DF",20-10-2014
,20750,"Bailiff Bridge Activity Cntr, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4EN",17-08-2013
,3800,"17 St Mary Street, Halifax, HX1 2TW",01-04-2014
,4950,"182 King Cross Road, Halifax, HX1 3LN",30-06-2014
Warmco Space Heating Ltd,5200,"Unit 6 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",02-03-2013
Fresh Leisure Ltd,21000,"Platform Gf (Former Tube), Southgate House, Wards End, Halifax              HX1 1DE",03-09-2014
Hilclare Technology Ltd,2700,"Pt Grd Flr Multi-Storey Mill, Park Road Mills, Park Road, Elland               HX5 9HX",29-09-2014
Royal London Mutual Insurance Society Ltd,4600,"New Road Bus Park (Empty), New Road, Halifax, HX1 2LH",01-04-2014
,860,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",01-07-2014
R S Pearson Property,9000,"The Shed Eastfield Mills, Belmont Street, Claremount, Halifax              HX3 6AT",01-05-2014
White Horse (Halifax) Ltd,16000,"White Horse Tavern, 33 Southgate, Halifax, HX1 1DL",07-11-2014
Torus Engineering Ltd,2175,"Office H M 2.4, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",13-08-2014
,12250,"Unit 1 Lower Brear, Leeds Road, Halifax, HX3 7AG",19-10-2013
Revive Hair Design Ltd,2500,"29 Highroad Well Lane, Halifax, HX2 0LY",01-04-2014
,8100,"The Royal, 76 Upper Washer Lane, Halifax, HX2 7DR",20-10-2014
,1750,"11 Broughton Street, Hebden Bridge, HX7 8JY",13-07-2014
Rubens Hair & Beauty Ltd (In Liquidation),5800,"66 Southgate, Elland, HX5 0PS",04-05-2014
,1950,"Unit 4 Lower Brear, Leeds Road, Halifax, HX3 7AG",01-04-2014
,1700,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",01-04-2014
,3050,"20 Carlton Street, Halifax, HX1 2AL",06-06-2014
,1825,"19 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",14-01-2014
,21250,"Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",01-11-2014
,5900,"Unit 3 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",01-11-2014
,3250,"38 Gooder Lane, Brighouse, HD6 1HT",06-01-2014
Additive Technologies Ltd,6100,"Units 9D & 9E, Top Land Country Business Pk, Burnley Road, Mytholmroyd",01-10-2014
Royal London Mutual Insurance Society Ltd,5800,"Unit A, Church Street Garage, Church Street, Halifax             HX1 1QY",01-03-2014
Wright Morris Projects Ltd,2175,"Unit 2 The Ainleys, Huddersfield Road, Elland, HX5 9JR",18-08-2014
,4300,"Unit C, Horley Green Road, Halifax, HX3 6AS",08-11-2014
