Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Nr,AMOUNT
Specialist Hospitals,UCLH,19-May-10,Nursing Staff,Medical Director,Pulse Healthcare Ltd,608903,27067.91
Specialist Hospitals,UCLH,26-May-10,Nursing Staff,Medical Director,Pulse Healthcare Ltd,611989,30436.65
Specialist Hospitals,UCLH,05-May-10,Nursing Staff,Medical Director,Pulse Healthcare Ltd,609210,45531.25
Clinical Services,UCLH,05-May-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30090203,110177.2
Corporate Services,UCLH,19-May-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30090692,85681.29
Surgery,UCLH,12-May-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30090471,71006.38
Surgery,UCLH,26-May-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30090900,99919.92
Corporate Directorates,UCLH,12-May-10,Auditors Remuneration,Finance Directorate,RSM Tenon Limited,607973,45402.59
Capital,UCLH,19-May-10,Capital,Corporate Capital Schemes,BMJ Architects,610648,30080
Capital,UCLH,12-May-10,Capital,Specialist Hospitals CB Capita,Carefusion U K Ltd.,35105941,44944.93
Capital,UCLH,12-May-10,Capital,Specialist Hospitals CB Capita,City & Kent Cleaning Ltd,610169,59063.61
Capital,UCLH,19-May-10,Capital,Corporate Capital Schemes,Comsol Communication Solutions Ltd,610675,80436.98
Capital,UCLH,19-May-10,Capital,Corporate Capital Schemes,CZWG Architects,610642,116785.6
Capital,UCLH,12-May-10,Capital,Corporate Capital Schemes,Hopkins Architects Partnership LLP,610145,29646.35
Capital,UCLH,27-May-10,Capital,Specialist Hospitals CB Capita,Intuitive Surgical Sarl,602648,59766.41
Capital,UCLH,19-May-10,Capital,Trust Wide Capital Schemes,Logica Uk Ltd,611042,35868.5
Capital,UCLH,26-May-10,Capital,Corporate Capital Schemes,London Borough Of Camden1,611924,27775
Capital,UCLH,12-May-10,Capital,Specialist Hospitals CB Capita,M E Construction Ltd,609797,55328.08
Capital,UCLH,26-May-10,Capital,Corporate Capital Schemes,Philips Healthcare,611934,-187270
Capital,UCLH,26-May-10,Capital,Corporate Capital Schemes,Philips Healthcare,NP00430,187270
Capital,UCLH,12-May-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,NP00518,44164.73
Capital,UCLH,19-May-10,Capital,Specialist Hospitals CB Capita,Siemens Healthcare,529514,46762.34
Capital,UCLH,19-May-10,Capital,Corporate Capital Schemes,Skanska,610802,791189.78
Capital,UCLH,05-May-10,Capital,Corporate Capital Schemes,Virtus Contracts Ltd,608981,30096.04
Corporate Directorates,UCLH,28-May-10,External Support,PMM,NHS Institution for Innovation & Improve,20015327,29000
Corporate Directorates,UCLH,12-May-10,External Support,H.R. Directorate,RSM Tenon Limited,623958,80910.5
Specialist Hospitals,UCLH,26-May-10,External Support,Medical Director,G E Clinical Services,20015167,51347.5
Surgery,UCLH,12-May-10,External Support,Medical Physics,B Braun Medical Ltd,20015480,25899.71
Specialist Hospitals,UCLH,19-May-10,Contract Hotel Services-incl cleaning,NHNN,Medirest,614646,125066.53
Specialist Hospitals,UCLH,19-May-10,Contract Hotel Services-incl cleaning,Heart Hospital,Sodexo Ltd,614695,65074.93
Specialist Hospitals,UCLH,19-May-10,Contract Hotel Services-incl cleaning,Heart Hospital,Sodexo Ltd,620260,65074.93
Corporate Services,UCLH,28-May-10,Contract Services,Facilities Directorate,Health Management Uclh,606121,323113.83
Corporate Services,UCLH,06-May-10,Contract Services,Facilities Directorate,Health Management Uclh,608303,638507.93
Corporate Services,UCLH,12-May-10,Contract Services,Facilities Directorate,Spectrum Healthcare (UK) Limited,35107879,27260
Surgery,UCLH,26-May-10,Contract Services,General Surgery,PRN Transcription Ltd,611963,31576.27
Clinical Services,UCLH,05-May-10,Drugs and Medical Gases,PMM,Alliance Healthcare (Distribution|) Ltd,20015708,39143.96
Clinical Services,UCLH,19-May-10,Drugs and Medical Gases,PMM,Healthcare At Home Ltd,615409,52507.81
