OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,EN002811628123,Lighting Equipment,CITY DEVELOPMENT,,,19/05/2016,,,,,"£8,391.49",,"A C ENTERTAINMENT TECHNOLOGIES LTD, Centauri House, Hillbottom Road, High Wycombe, BUKINGHAMSHIRE, HP12 4HQ",,d) Medium,,David Bennion-Pedley,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,AL11130400009280,Community Based Respite,ADULT SOCIAL CARE,,,06/05/2016,,,,,"£22,127.80",,"ALLIED HEALTHCARE, Credit Ctrl Depart Cavendish House, Lakhpur Crt Staffordshire Tech Park, STAFFORD, ST18 0FX",,e) Large,,Tony Bailey,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,AN25000000009271,Exercise System,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,,,19/05/2016,,,,,"£7,188.00",,"ANATOMICAL CONCEPTS UK LTD, 8-10 Dunrobin Court, Clydebank Business Park, CLYDEBANK, G81 2QP",,Unknown,,Tony Bailey,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,AS0933547764,Domestic Refuse and Active General Waste,ENVIRONMENT & HOUSING,,,13/05/2016,,,,,"£17,866.12",,"ASSOCIATED WASTE MANAGEMENT LIMITED, St Bernards Mill Gelderd Road, Gildersome Morley, LEEDS, LS27 7NA",,d) Medium,,Edwige Moutault,Off-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,AV015219/04/16 AAZI,Home Improvement Assistance,ENVIRONMENT & HOUSING,,,19/05/2016,,,,,"£9,495.38",,"AVTAR PLUMBERS, 46 Royal Park Road, NULL, LEEDS, LS6 1HX",,Other/Not known,,Julie Kenyon,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,AX03651045-1036,Play Equipment and Refurbishment of Tennis Courts ,ENVIRONMENT & HOUSING,,,31/05/2016,,,,,"£7,640.00",,"AXO LEISURE LTD, 86 Main Street, Stanbury, KEIGHLEY, BD22 0HB",,Other/Not known,,Edwige Moutault,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,BA022011993,Event Banners,CITY DEVELOPMENT,,,13/05/2016,,,,,"£5,370.00",,"BAY MEDIA LTD, 19 Deane House Studio, 27 Greenwood Place Kentish Town, LONDON, NW5 1LB",,c) Small,,Craig Shackleton,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,BE24742147923,Legal Fees,INSURANCE,,,24/05/2016,,,,,"£6,973.50",,"BERRYMANS LACE MAWER, Kings House, 42 King Street West, MANCHESTER, M3 2NU",,e) Large,,Frank Morrison,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,BL038732752,Christmas Lights,CITY DEVELOPMENT,,,06/05/2016,,,,,"£17,004.00",,"BLACHERE ILLUMINATIONS UK LTD, Gladstone Place, Ladybank, FIFE, KY15 7LB",,c) Small,,Paul Footitt,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,CA29386003306907,Benefits Processing,CITIZENS AND COMMUNITIES,,,20/05/2016,,,,,"£99,440.00",,"CAPITA BUSINESS SERVICES LTD, Po Box 212  Faverdale Industrial Estate, NULL, DARLINGTON, DL1 9HN",,e) Large,,Simon Bentley,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,CE01152324170,Agency Teaching Staff,CHILDRENS SERVICES,,,04/05/2016,,,,,"£5,336.50",,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,,Barbara Newton,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,CE023X6000026646,Event Stand Costs ,CITY DEVELOPMENT,,,27/05/2016,,,,,"£5,550.00",,"CENTAUR COMMUNICATIONS LTD, Wells Point   79 Wells Street, NULL, LONDON, W1T 3QN",,b) Micro,,Claire Heap,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,CE0199567,Therapeutic Story Writing Training,CHILDRENS SERVICES,,,27/05/2016,,,,,"£5,600.00",,"CENTRE FOR THERAPEUTIC STORYWRITING LTD, 99 Winsley Hill, Limpley  Stoke, BATH, BA2 7JL",,Unknown,,Barbara Newton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,CH24111018,Lovell Parks Towers Artwork Project,STRATEGIC LANDLORD,,,10/05/2016,,,,,"£8,800.00",,"CHRYSALIS ARTS LTD, The Art Depot, Asquith Industrial Estate, Eshton Road, GARGRAVE, BD23 3SE",,Unknown,,Mani Thapa,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,BR046370992138554,Home to School Transport,CIVIC ENTERPRISE LEEDS,,,11/05/2016,,,,,"£70,839.02",,"CITY OF BRADFORD METROPOLITAN DISTRICT, Dept Finance Rev & Benefits Service, Dept 19 Brittania House  Halll Ings, BRADFORD, BD1 1HX",,Other/Not known,,Julie Hatton,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,CO50300000044026,Supply and replacement of UPS batteries,ENVIRONMENT & HOUSING,,,06/05/2016,,,,,"£9,337.00",,"CONSTANT POWER SERVICES LTD, A Riello House  Works Road, NULL, LETCHWORTH, SG6 1AZ",,d) Medium,,Martin Clark,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,22/07/2016,DA2362001220007,Supply of Furniture,ENVIRONMENT & HOUSING,,,27/05/2016,,,,,"£21,682.80",,"DAMS FURNITURE LIMITED, Gores Road, Knowsley Industrial Estate, KNOWSLEY, L33 7XS",,Other/Not known,,Anthony Stringwell,Waiver
