Body Name,Service Label,Service Code,Expenditure CIPFA Group Label,Expenditure CIPFA Sub Group Label,Expenditure CIPFA Sub Group Code,Date,Transaction Number,Net Amount,Supplier Name,Supplier ID,"Grants to Voluntary, Community and Social Enterprise Sector?"
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 18/09/2014,PCO0255509,£24.86,FST CONSUMABLES LIMITED,A0000004,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 04/09/2014,PCO0255095,£39.98,FST CONSUMABLES LIMITED,A0000004,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 18/09/2014,PCO0255521,£15.84,FST CONSUMABLES LIMITED,A0000004,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,EFM Materials,4004, 18/09/2014,DAL0255713,£464.00,FLAME LTD,A0000007,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 04/09/2014,EST0255268,£48.90,ACEWELL ELECTRONICS LIMITED,A0000014,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 18/09/2014,EST0255625,£175.00,ACEWELL ELECTRONICS LIMITED,A0000014,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 25/09/2014,PCO0255731,£218.04,BALMERS GM LIMITED,A0000198,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : Vandalism Repairs,2102, 04/09/2014,PCO0255142,£12.24,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : Vandalism Repairs,2102, 04/09/2014,PCO0255143,£4.32,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,PCO0255144,£36.32,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 18/09/2014,PCO0255575,£19.94,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 18/09/2014,PCO0255576,£7.64,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 25/09/2014,PCO0255734,£285.11,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 25/09/2014,PCO0255727,£34.91,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 25/09/2014,PCO0255730,£4.47,BARNES JB LIMITED,A0000202,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 04/09/2014,COR0255341,£63.36,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Operational Services,OPS,Premises related expense,Bldgs : R & M : Day To Day,2001, 18/09/2014,OPS0255624,£39.20,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 25/09/2014,COR0255751,£137.90,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Operational Services,OPS,Premises related expense,Bldgs : R & M : Day To Day,2001, 18/09/2014,OPS0255622,£17.00,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Operational Services,OPS,Premises related expense,Bldgs : R & M : Day To Day,2001, 25/09/2014,OPS0255801,£3.92,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Chief Executives Policy Unit,COR,Supplies and services,Other Expenses,4705, 25/09/2014,COR0255752,£81.00,J H BLAKEY & SONS (SECURITY) LTD,A0000211,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,Hospitality,4611, 25/09/2014,DAL0255764,£97.00,ANTHONY BRAITHWAITE,A0000221,No
Pendle Borough Council,Engineering & Special Projects,HED,Capital costs,Capital : Salaries,CD13, 04/09/2014,HED0255320,"£4,750.00",CB EXCAVATORS LTD,A0000396,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 11/09/2014,HED0255499,"£10,617.43",CB EXCAVATORS LTD,A0000396,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 04/09/2014,EST0255269,£30.00,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 18/09/2014,PCO0255532,£163.41,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510,No
Pendle Borough Council,Planning & Building Control,PBC,Supplies and services,Other Expenses,4705, 04/09/2014,PBC0255132,£40.00,MARTIN COLLINS JOINERY & GLAZING,A0000623,No
Pendle Borough Council,Planning & Building Control,PBC,Supplies and services,Other Expenses,4705, 18/09/2014,PBC0255555,£48.00,MARTIN COLLINS JOINERY & GLAZING,A0000623,No
Pendle Borough Council,Planning & Building Control,PBC,Supplies and services,Other Expenses,4705, 11/09/2014,PBC0255407,£45.00,MARTIN COLLINS JOINERY & GLAZING,A0000623,No
Pendle Borough Council,Economic Development & Tourism,REG,Supplies and services,Other Expenses,4705, 11/09/2014,REG0255508,"£1,575.00",NORTH WEST AEROSPACE ALLIANCE,A0000666,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 25/09/2014,EST0255762,"£2,983.93",J DRIVER LTD,A0000884,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,HED0255274,£360.00,B DEVLIN LTD,A0000909,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,HED0255276,£360.00,B DEVLIN LTD,A0000909,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,HED0255271,£158.61,B DEVLIN LTD,A0000909,No
Pendle Borough Council,Parks & Recreation Services,PCO,Supplies and services,Protective Clothing,4201, 04/09/2014,PCO0255133,£218.32,ENGINEERING & FOUNDRY SUPPLIES,A0001002,No
Pendle Borough Council,Environmental Health Services,ENV,Supplies and services,Protective Clothing,4201, 25/09/2014,ENV0255758,£22.92,ENGINEERING & FOUNDRY SUPPLIES,A0001002,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 11/09/2014,HED0255486,£3.80,ESTATES & MANAGEMENT LTD,A0001051,No
Pendle Borough Council,Property Services,EST,Supplies and services,Other Expenses,4705, 11/09/2014,EST0255420,£71.50,FIRST SIGNS LIMITED,A0001121,No
Pendle Borough Council,Information Services,ITS,Supplies and services,Computer Charges,4509, 25/09/2014,ITS0255799,£190.00,FERRET INFORMATION SYSTEMS LTD,A0001123,No
Pendle Borough Council,Operational Services,OPS,Agency staff,Emp : Training : Courses,1013, 18/09/2014,OPS0255618,£295.00,FREIGHT TRANSPORT ASSOCIATION,A0001124,No
Pendle Borough Council,Operational Services,OPS,Transport related expense,Tprt : Repairs : General,3105, 11/09/2014,OPS0255467,£53.25,FREIGHT TRANSPORT ASSOCIATION,A0001124,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 18/09/2014,PCO0255527,£40.75,FREIGHT TRANSPORT ASSOCIATION,A0001124,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,Other Expenses,4705, 18/09/2014,DAL0255626,£330.00,FOULRIDGE CANAL CRUISES LTD,A0001134,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 04/09/2014,PCO0255171,£156.66,GIBSONS GARDEN MACHINERY LTD,A0001201,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 25/09/2014,PCO0255736,£12.00,GIBSONS GARDEN MACHINERY LTD,A0001201,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 04/09/2014,OPS0255306,£63.04,JEWSON LIMITED,A0001323,No
Pendle Borough Council,Operational Services,OPS,Supplies and services,EFM Materials,4004, 11/09/2014,OPS0255458,£51.04,JEWSON LIMITED,A0001323,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Bldgs : R & M : Day To Day,2001, 25/09/2014,PCO0255723,£25.00,J HARGREAVES,A0001359,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,PCO0255139,£619.95,GLASSFIBRE FLAGPOLES LTD,A0001396,No
Pendle Borough Council,Environmental Health Services,ENV,Supplies and services,Protective Clothing,4201, 25/09/2014,ENV0255756,"£1,021.01",KILLGERM CHEMICALS LTD,A0001624,No
Pendle Borough Council,Environmental Health Services,ENV,Supplies and services,EFM : Other Equipment,4003, 25/09/2014,ENV0255763,£88.80,KILLGERM CHEMICALS LTD,A0001624,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,PCO0255149,£180.80,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 04/09/2014,HED0255270,£124.44,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 18/09/2014,HED0255580,£100.76,LANLEE SUPPLIES LIMITED,A0001672,No
Pendle Borough Council,Parks & Recreation Services,PCO,Premises related expense,Bldgs : R & M : Day To Day,2001, 25/09/2014,PCO0255725,£14.67,LBS WORLDWIDE LIMITED,A0001673,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 04/09/2014,PCO0255094,£219.80,DICK LEIGH,A0001675,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 04/09/2014,PCO0255136,£77.18,DICK LEIGH,A0001675,No
Pendle Borough Council,Parks & Recreation Services,PCO,Transport related expense,Tprt : Repairs : General,3105, 25/09/2014,PCO0255732,£55.28,DICK LEIGH,A0001675,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 18/09/2014,HED0255712,£297.15,LANCASHIRE COUNTY COUNCIL,A0001690,No
Pendle Borough Council,Operational Services,OPS,Premises related expense,Trade Refuse Charges,2602, 18/09/2014,OPS0255668,"£53,764.14",LANCASHIRE COUNTY COUNCIL,A0001690,No
Pendle Borough Council,Engineering & Special Projects,HED,Agency costs,Lancashire C C,5102, 25/09/2014,HED0255818,"£1,890.17",LANCASHIRE COUNTY COUNCIL,A0001690,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,Search Fees,4404, 25/09/2014,DAL0255795,£735.00,LANCASHIRE COUNTY COUNCIL,A0001690,No
Pendle Borough Council,Democratic & Legal Services,DAL,Transport related expense,Transport Insurance,3901, 25/09/2014,DAL0255813,£100.00,JOHN MACADAM & SON (GARAGES) LTD,A0001846,No
Pendle Borough Council,Democratic & Legal Services,DAL,Supplies and services,Insurances,4701, 25/09/2014,DAL0255820,£0.00,JOHN MACADAM & SON (GARAGES) LTD,A0001846,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 25/09/2014,EST0255771,£695.53,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 25/09/2014,EST0255769,£614.67,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 11/09/2014,EST0255414,£68.37,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 11/09/2014,EST0255412,£235.70,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 18/09/2014,EST0255631,£324.11,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 11/09/2014,EST0255413,£51.01,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 25/09/2014,EST0255766,£137.19,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 04/09/2014,EST0255282,£62.00,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Operational Services,OPS,Premises related expense,Water & Sewerage,2501, 18/09/2014,OPS0255653,"£1,453.06",UNITED UTILITIES,A0001986,No
Pendle Borough Council,Operational Services,OPS,Premises related expense,Water & Sewerage,2501, 11/09/2014,OPS0255464,"£2,117.78",UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 11/09/2014,EST0255415,£162.90,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 25/09/2014,EST0255768,£60.54,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Property Services,EST,Premises related expense,Water & Sewerage,2501, 25/09/2014,EST0255767,£66.33,UNITED UTILITIES,A0001986,No
Pendle Borough Council,Engineering & Special Projects,HED,Premises related expense,Grounds : R & M : Day to Day : Routine,2101, 18/09/2014,HED0255708,£45.00,F NUTTER & SONS,A0002037,No
Pendle Borough Council,Property Services,EST,Premises related expense,Bldgs : R & M : Day To Day,2001, 11/09/2014,EST0255404,£680.81,F NUTTER & SONS,A0002037,No
