Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,PLACE-REF,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,CHARITY-RLF-,ANALYSIS-CD,RV,PERSON-REF,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
0,6292,O,0,,2462031069,0,0,0,,0,,0,0,CG1,13000,9072330, ALLENS AUTO SERVICES LTD,,,,,,,01/03/2007,DEMMINGS ROAD,CHEADLE,,,,SK8 2PE,VEHICLE REPAIR WORKSHOP AND PREMISES
0,2178,O,0,,3496017009,-1,0,2178,,0,,0,0,CO,4500,9131590, B K F CAREFORM LTD,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,09/12/1994,17 GREENWAY ROAD,HEALD GREEN,CHEADLE,,,SK8 3NR,OFFICES AND PREMISES
0,943.8,O,0,,3370191019,0,0,0,,0,,0,0,CW,1950,9074390, E W HEWITT LTD,193 GATLEY ROAD,GATLEY,CHEADLE,,,SK8 4BB,01/04/1990,STORE REAR OF,191 GATLEY ROAD,CHEADLE,,,SK8 4BB,STORE AND PREMISES
0,5566,O,0,,3370193009,0,0,0,,0,,0,0,CS,11500,9074390, E W HEWITT LTD,193 GATLEY ROAD,GATLEY,CHEADLE,,,SK8 4BB,01/04/1990,191-193 GATLEY ROAD,CHEADLE,,,,SK8 4BB,SHOP AND PREMISES
0,907.5,V,931.88,MINRV,3520053019,0,24.38,0,,0,,0,0,IF3,1875,9076100, F ROBINSON LTD,UNICORN BREWERY,LOWER HILLGATE,STOCKPORT,,,SK1 1JJ,25/03/2006,GROSVENOR GARAGE,GROSVENOR STREET,HAZEL GROVE,STOCKPORT,,SK7 4AX,WORKSHOP AND PREMISES
0,1500.4,O,0,,7454058019,-1,0,1500.4,,0,,0,0,CS,3100,9080110, M THORLEY ( BUTCHERS) LTD,,,,,,,01/04/1990,58 STOCKPORT ROAD,ROMILEY,STOCKPORT,,,SK6 3AA,SHOP AND PREMISES
0,6413,O,0,,7415009009,-1,0,0,,0,,0,0,IF3,13250,9176140, P D PUMPS LTD,,,,,,,30/07/1999,UNIT 8,STUART ROAD,BREDBURY,STOCKPORT,,SK6 2SR,WORKSHOP AND PREMISES
0,2032.8,O,0,,4117009009,-1,0,2032.8,,0,,0,0,CS,4200,9231716, P J CARROLL RESIDENTIAL LTD,,,,,,,01/04/2005,9 HYDE ROAD,WOODLEY,STOCKPORT,,,SK6 1QG,SHOP AND PREMISES
0,6050,O,0,,7884006109,0,0,0,,0,,0,0,CS,12500,10451629, P K W FOODS LTD T/A SUBWAY,C/O EMERSON MANAGMENT SERVICES,PROP ACCOUNTING DEPT,EMERSON HOUSE,HEYES LANE,ALDERLEY EDGE,SK9 7LF,08/01/2015,6 THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,SHOP AND PREMISES
0,169.4,O,0,,7376000929,0,0,0,,0,,0,0,CP1,350,10451629, P K W FOODS LTD T/A SUBWAY,C/O EMERSON MANAGMENT SERVICES,PROP ACCOUNTING DEPT,EMERSON HOUSE,HEYES LANE,ALDERLEY EDGE,SK9 7LF,01/04/2015,CAR SPACE 64,SINCLAIR HOUSE,STATION ROAD,CHEADLE HULME,CHEADLE,SK8 5AF,CAR PARKING SPACE
