Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date, Contract value ,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BXN41528,, Independent Visitors' Scheme,OTHER,CHILDREN'S SERVICES,,, Independent Visitors' Scheme,"INFORMATION, ADVICE AND ADVOCACY",Welfare services for children and young people,,,,01/04/2012,31/03/2018,,31/03/2018,441372,,,ACTION FOR CHILDREN SERVICES LIMITED,2332388,,85143,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BPN41980,,Additional Services for 16 and 17 year olds in Supported Housing - Spot purchased,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Additional Services for 16 and 17 year olds in Supported Housing - Spot purchased,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,01/04/2013,31/12/2017,,31/12/2017,2592,,,YMCA NORFOLK,2067523,801606,354985,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BPN41977,,Additional Services for 16 and 17 year olds in Supported Housing - Spot purchased,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Additional Services for 16 and 17 year olds in Supported Housing - Spot purchased,CHILDREN'S-UNREG ACCOMMODATION,Welfare services for children and young people,853113005,,,01/04/2013,31/12/2017,,31/12/2017,,,,THE BENJAMIN FOUNDATION,3825425,1124936,80162,,Y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BPN41329,,Adults - Appropriate Adults,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Appropriate Adults,"INFORMATION, ADVICE AND ADVOCACY",SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,853120009,"Social Community Care Supplies & Services - Adult / Advice, Advocacy and Counselling Services",321010,01/04/2013,30/09/2018,,30/09/2018,440406,,,NORFOLK COALITION OF DISABLED PEOPLE T/A EQUAL LIVES,4098341,1084108,85237,,y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BPN41624,,Adults - Ashcroft (residential beds),SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Ashcroft (residential beds),ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/03/2010,31/03/2018,,31/12/2017,974357,,,JULIAN SUPPORT LIMITED,3482147,1067883,1020836,,y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BON50211,,Adults - block purchased home care for adults,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - block purchased home care for adults,DOMICILIARY CARE,SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,853120009,Social Community Care Supplies & Services - Adult / Domiciliary Care,321014,23/01/2017,,,,326144,,,THE CARE COMPANY UK LIMITED,6851701,,197447,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN48265,,Adults - Breaks for Carers - Select List 2017,OTHER,ADULT SOCIAL CARE,,,Adults - Breaks for Carers - Select List 2017,CARER SUPPORT,Social work services without accomodation,853120009,Social Community Care Supplies & Services - Adult / Services for carers / Carers breaks,322120,01/06/2011,01/04/2018,,01/04/2018,1553720,,,WEST ANGLIA CROSSROADS CARING FOR CARERS,4379948,1091522,1953859,,y,Charity or Charitable Incorporated Organisation,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN42075,,Adults - Breaks for Carers - Select List 2017,OTHER,ADULT SOCIAL CARE,,,Adults - Breaks for Carers - Select List 2017,CARER SUPPORT,Social work services without accomodation,853120009,Social Community Care Supplies & Services - Adult / Services for carers / Carers breaks,322120,04/11/2011,01/04/2018,,01/04/2018,1112679,,,NESTOR PRIMECARE SERVICES T/A ALLIED HEALTHCARE,1963820,,133011,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN44436,,Adults - Breaks for Carers - Select List 2017,OTHER,ADULT SOCIAL CARE,,,Adults - Breaks for Carers - Select List 2017,CARER SUPPORT,Social work services without accomodation,853120009,Social Community Care Supplies & Services - Adult / Services for carers / Carers breaks,322120,18/04/2011,01/04/2018,,01/04/2018,81837,,,BB HEALTHCARE,,,187549,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN42079,,Adults - Breaks for Carers - Select List 2017,OTHER,ADULT SOCIAL CARE,,,Adults - Breaks for Carers - Select List 2017,CARER SUPPORT,Social work services without accomodation,853120009,Social Community Care Supplies & Services - Adult / Services for carers / Carers breaks,322120,10/05/2011,01/04/2018,,01/04/2018,26174,,,MEARS CARE LIMITED,4320403,,336001,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
