Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Nr,AMOUNT
Specialist Hospitals,UCLH,04-Aug-10,Nursing Staff,Medical Director,Pulse Healthcare Ltd,618795,44356.25
Specialist Hospitals,UCLH,04-Aug-10,Nursing Staff,Medical Director,Pulse Healthcare Ltd,618797,58456.25
Corporate Directorates,UCLH,18-Aug-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30093009,111687.62
Surgery,UCLH,04-Aug-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30092454,129200.97
Surgery,UCLH,11-Aug-10,Agency Staff,Agency Staff,Hays Accountancy Person'l,HA30092746,132325.66
Corporate Directorates,UCLH,18-Aug-10,Auditors Remuneration,Finance Directorate,RSM Tenon Limited,607975,43229.43
Capital,UCLH,25-Aug-10,Capital,Corporate Capital Schemes,BMJ Architects,619700,29342.69
Capital,UCLH,25-Aug-10,Capital,Specialist Hospitals CB Capita,Brainlab  Ltd,35141542,158244.95
Capital,UCLH,25-Aug-10,Capital,Corporate Capital Schemes,BW Interiors Limited,621085,360777.5
Capital,UCLH,11-Aug-10,Capital,Specialist Hospitals CB Capita,EDF Energy Networks Ltd,619639,132470.38
Capital,UCLH,04-Aug-10,Capital,Specialist Hospitals CB Capita,Envair Projects Ltd,618483,66475.63
Capital,UCLH,18-Aug-10,Capital,Specialist Hospitals CB Capita,H & C Contracts Ltd,620629,38267.64
Capital,UCLH,25-Aug-10,Capital,Corporate Capital Schemes,Hopkins Architects Partnership LLP,620585,29646.35
Capital,UCLH,04-Aug-10,Capital,Corporate Capital Schemes,Kind & Co,617948,70735
Capital,UCLH,25-Aug-10,Capital,Specialist Hospitals CB Capita,Logica Uk Ltd,35141545,-40877.08
Capital,UCLH,25-Aug-10,Capital,Specialist Hospitals CB Capita,Logica Uk Ltd,35141550,40877.08
Capital,UCLH,25-Aug-10,Capital,Corporate Capital Schemes,Logica Uk Ltd,620573,125095.2
Capital,UCLH,04-Aug-10,Capital,Specialist Hospitals CB Capita,M E Construction Ltd,618492,96111.79
Capital,UCLH,25-Aug-10,Capital,Specialist Hospitals CB Capita,Overbury Plc,621008,107364.45
Capital,UCLH,25-Aug-10,Capital,Specialist Hospitals CB Capita,Schneider Electric Buildings UK Ltd,621254,62233.95
Capital,UCLH,25-Aug-10,Capital,Corporate Capital Schemes,Scott Tallon Walker Architects,619635,41125
Capital,UCLH,04-Aug-10,Capital,Corporate Capital Schemes,Siemens Healthcare,35130587,35623.42
Capital,UCLH,18-Aug-10,Capital,Corporate Capital Schemes,Skanska,620602,1665689.4
Corporate Directorates,UCLH,25-Aug-10,Contract Services,IM&T Directorate,Iron Mountain (UK) Limited,610210,92182.85
Corporate Directorates,UCLH,25-Aug-10,Contract Services,IM&T Directorate,Iron Mountain (UK) Limited,611765,105815.82
Corporate Services,UCLH,04-Aug-10,Contract Services,Facilities Directorate,Bisley Contracting Ltd,35144863,25550.38
