Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Laboratory Equipment,Clinical Services Division,Abbott Laboratories Ltd,713926,29987.28
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Lab Equip Diagnostic Kits,Clinical Services Division,Abbott Laboratories Ltd,713858,28470.64
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Business Rates,Property Services,Aylesbury Vale District Council,715572,75458
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Laboratory Services,Clinical Services Division,Nhs Blood And Transplant,712140,69369.93
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Blood Transfusion Products,Clinical Services Division,Nhs Blood And Transplant,712249,63433.47
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,M&S Equipment-Radiology,Fixed Asset Additions,Nhs Supply Chain,717239,156239.28
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Medicines and Drugs,Trust Wide,Novartis Pharmaceuticals Uk Ltd,716843,29372.93
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,Telephone Installation,Bht - Assest,Siemens Enterprise Communications Ltd,704047,33244.28
Department of Health,Buckinghamshire Hospitals NHS Trust,06/05/2010,General Rates,Property Services,Wycombe District Council,715574,40572
Department of Health,Buckinghamshire Hospitals NHS Trust,13/05/2010,Medicines - Purchases,Medicine Division,Healthcare At Home Ltd,709625,27468
Department of Health,Buckinghamshire Hospitals NHS Trust,13/05/2010,Materials Management Issues,Trust Wide,Nhs Supply Chain,718322,28250.44
Department of Health,Buckinghamshire Hospitals NHS Trust,13/05/2010,Ambulance Contract,Property Services,South Central Ambulance Nhs Trust,713884,60278.42
Department of Health,Buckinghamshire Hospitals NHS Trust,20/05/2010,Laboratory Services,Clinical Services Division,Oxford Radcliffe Hospitals Nhs Trust,700003,43443
Department of Health,Buckinghamshire Hospitals NHS Trust,20/05/2010,Laboratory Services,Clinical Services Division,Oxford Radcliffe Hospitals Nhs Trust,698326,27279
Department of Health,Buckinghamshire Hospitals NHS Trust,21/05/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,719163,163316.44
Department of Health,Buckinghamshire Hospitals NHS Trust,21/05/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,719115,100188.49
Department of Health,Buckinghamshire Hospitals NHS Trust,21/05/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,719197,95400.38
Department of Health,Buckinghamshire Hospitals NHS Trust,21/05/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,719106,83949.41
Department of Health,Buckinghamshire Hospitals NHS Trust,21/05/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,719121,57062.35
Department of Health,Buckinghamshire Hospitals NHS Trust,21/05/2010,Medical and Surgical Consumables,Trust Wide,Bunzl Healthcare,719163,30189.97
Department of Health,Buckinghamshire Hospitals NHS Trust,24/05/2010,Busy Bees Childcare Vouchers,Trust Wide,Computershare Voucher Services,722370,31487.43
Department of Health,Buckinghamshire Hospitals NHS Trust,26/05/2010,Pfi Facilities Managemt Costs,Property Services,Enterprise Healthcare Ltd,722722,1674226.37
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,Business Rates,Property Services,Aylesbury Vale District Council,723525,75458
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,Printed Stationery,Trust Wide,Cdp Print Management,721647,29825.28
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,Medicines - Purchases,Medicine Division,Healthcare At Home Ltd,718349,28600
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,Gen. Equipment-Leasing/Rental,Surgery Division,Siemens Financial Services,704041,26488.68
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,Gas,Property Services,Total Gas & Power Ltd,722584,29580.89
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,Pfi Facilities Managemt Costs,Property Services,United Healthcare (South Bucks) Ltd,723531,2303564.04
Department of Health,Buckinghamshire Hospitals NHS Trust,27/05/2010,General Rates,Property Services,Wycombe District Council,723524,40572
