Framework,Supplier,Customer,Parent Department,Customer Invoice Number,Date Booked,Booking Method,Ticket Price ex VAT,Number of Travellers,Total Cost ex VAT,Ticket Type,Ticket Single or Return,Travel Class,Travel Date,Miles Travelled,Journey Start Point,Journey Finish Point,Destination Country,Air Carrier
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258520.00,NULL,,455.60,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40551.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258521.00,NULL,,499.60,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40551.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258562.00,NULL,,1321.97,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40566.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258626.00,NULL,,1597.27,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40557.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258644.00,NULL,,35.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40574.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258673.00,NULL,,621.26,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40550.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258700.00,NULL,,559.10,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258706.00,NULL,,559.10,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258709.00,NULL,,522.10,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258932.00,NULL,,158.93,NULL,NULL,CONTINENTAL,NULL,Economy,40559.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258981.00,NULL,,1859.40,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40555.00,NULL,NULL,NULL,NULL,NULL
