OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,PO472X42314900717121,Various modules,CHILDRENS SERVICES,,,06/11/2015,,,,,"£976,475.92",,"PORTAKABIN LTD, New Lane, Huntington, YORK, YO32 9PT",,e) Large,,,Non-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,LE6969423206073319,NCS Leeds service,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,12/11/2015,,,,,"£57,070.00",,"LEEDS BECKETT UNIVERSITY, Cashiers Office  Room 202, Queen Square House  Woodhouse Lane, LEEDS, LS2 8NU",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,ST267942312002693,Waste collection and recycling,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,04/11/2015,,,,,"£74,038.18",,"SJB RECYCLING LIMITED, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,,Off Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CE0115423342315635,Temporary staff,CHILDRENS SERVICES,8-Agency Staff,,26/11/2015,,,,,"£25,686.00",,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,,,Off-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,SH073042310HHA001159,Fostering,CHILDRENS SERVICES,509-Independent Fostering Agencies,,02/11/2015,,,,,"£26,088.92",,"SHROPSHIRE COUNTY COUNCIL, The Shirehall Abbey Foregate, NULL, SHREWSBURY, SY2 6ND",,Other/Not known,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,IM867342310EV013129,Orchestra ,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,02/11/2015,,,,,"£51,917.85",,"IMG ARTISTS (UK) LTD, The Light Box 111 Power Road, NULL, LONDON, W4 5PY",,d) Medium,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CA0630423244670,ELECTRICAL & BMS WORKS,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,16/11/2015,,,,,"£12,860.00",,"CALVERLEY CONTROL INSTALLATIONS LTD, Blacup House, Royds Close, LEEDS, LS12 6LL",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,DA201J4232754932,Datacable quotes,CHILDRENS SERVICES,,,19/11/2015,,,,,"£36,856.00",,"DATACABLE LTD, Keighley Business Centre, South St, KEIGHLEY, BD21 1AG",,c) Small,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,IN07544233314-25-15-1-1097/1,Nursery Basic Need Project,CHILDRENS SERVICES,,,25/11/2015,,,,,"£258,793.87",,"INTERSERVE CONSTRUCTION LTD, 1 Thunderhead Ridge, Glasshoughton, CASTLEFORD, WF10 4UA",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,PA01074232122/2015,Production of the 2015/16 pantomime,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,13/11/2015,,,,,"£30,000.00",,"PAUL HOLMAN ASSOCIATES, Morrit House, 58 Station Approach South Ruislip, MIDDLESEX, HA4 6SA",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,SE1683423181033A,Paint,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,10/11/2015,,,,,"£16,816.00",,"SEAGULLS RE-USE LTD, Units 3-4 Aire Place Mills, Kirkstall Road, LEEDS, LS3 1JL",,c) Small,,,Non Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,SO226442321S0011490,BRITISH ART SHOW HIRE FEE,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,13/11/2015,,,,,"£30,200.00",,"SOUTHBANK CENTRE, Belvedere Road, NULL, LONDON, SE1 8XX",,e) Large,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AC400542319141891,Single Knee Rail Fencing,ENVIRONMENT & HOUSING,205-Operational Materials,,11/11/2015,,,,,"£10,392.90",,"ACE ENGINEERS (MORLEY) LTD, Low Moor Mills, Albert Road, MORLEY  LEEDS, LS27 8LD",,c) Small,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AR0512423281221940,Calypso Compact-Breast Pump Unit,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,20/11/2015,,,,,"£5,747.00",,"ARDO MEDICAL LTD, Unit 1, Belvedere Trading Estate, NULL, TAUNTON, TA1 1BH",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AR86104231439554,Cost of production and install of display,CITY DEVELOPMENT,211-Advertising,,06/11/2015,,,,,"£5,285.00",,"ARK DISPLAY GRAPHICS, Unit 1 Aston Court, Town End Close, LEEDS, LS13 2AF",,b) Micro,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AX03264231411453,LIFF Guide Printing,CITY DEVELOPMENT,215-Printing,,06/11/2015,,,,,"£9,760.00",,"AXIS PRINTING LIMITED, Unit 10 Brookfoot Business Park, Elland Road, BRIGHOUSE, HD6 2SD",,c) Small,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BA02204232111454,TDC2 Kirkstall - Production of Banners,CITY DEVELOPMENT,,,13/11/2015,,,,,"£5,497.00",,"BAY MEDIA LTD, 19 Deane House Studio, 27 Greenwood Place Kentish Town, LONDON, NW5 1LB",,b) Micro,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BA096242326000144,"To Supply & set up the equipment",CITY DEVELOPMENT,265-Other Hired And Contracted Services,,18/11/2015,,,,,"£5,753.00",,"BAR HIRE SOLUTIONS, 14 North Avenue, Horbury, WAKEFIELD, WF4 5JS",,Other/Not known,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BB1136423320090018741,Payment for the BBC Scottish Orchestra,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,24/11/2015,,,,,"£24,000.00",,"BBC PUBLIC SERVICES BRDC, Po Box 482, NULL, MANCHESTER, M14 0EP",,e) Large,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BI02644232511SI426,School Union duties,CHILDRENS SERVICES,265-Other Hired And Contracted Services,,17/11/2015,,,,,"£8,300.00",,"BISHOP WHEELER CATHOLIC ACADEMY TRUST, St Marys Menston, Bradford Road, MENSTON, LS29 6AE",,Other/Not known,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BR0182423193677,Bat surveys,ENVIRONMENT & HOUSING,,,11/11/2015,,,,,"£10,421.90",,"BROOKS ECOLOGICAL LTD, Unit A 1 Station Road, Guiseley, LEEDS, LS20 8BX",,Other/Not known,,,Non-contract
