Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,ATS EUROMASTER LTD,A0000009, 20/08/2015,PCO0264136,25.5,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 20/08/2015,PCO0264136,353.23,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,ATS EUROMASTER LTD,A0000009, 20/08/2015,PCO0264136,23.56,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263753,4.34,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263753,8.29,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263789,20,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263789,45.19,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263753,64,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263754,125,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263753,135.72,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 13/08/2015,PCO0263883,141.6,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 06/08/2015,PCO0263790,3.7,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 27/08/2015,PCO0264343,320.54,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BALMERS GM LIMITED,A0000198, 27/08/2015,PCO0264344,224.99,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 20/08/2015,PCO0264174,13.98,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 20/08/2015,PCO0264174,19.72,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 13/08/2015,OPS0263891,6.08,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 13/08/2015,PCO0263881,2.24,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 13/08/2015,PCO0263881,4.15,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 13/08/2015,PCO0263881,5.29,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 13/08/2015,PCO0263882,7.55,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 13/08/2015,PCO0263881,25.54,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 27/08/2015,PCO0264346,45.3,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,BARNES JB LIMITED,A0000202, 13/08/2015,OPS0263892,326.64,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BEARING FACTORS,A0000205, 06/08/2015,PCO0263763,30.78,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,BEARING FACTORS,A0000205, 06/08/2015,PCO0263763,42,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 20/08/2015,COR0264220,93.2,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 13/08/2015,COR0263978,248.94,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,CB EXCAVATORS LTD,A0000396, 13/08/2015,HED0263904,1486,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Subscriptions & Donations,CB EXCAVATORS LTD,A0000396, 06/08/2015,HED0263772,2380,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CB EXCAVATORS LTD,A0000396, 13/08/2015,HED0264021,7196.65,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CB EXCAVATORS LTD,A0000396, 27/08/2015,HED0264302,1775,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BRIGGS & DUXBURY LTD,A0000459, 20/08/2015,PCO0264138,20,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,26.64,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,35,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,38.06,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,15.84,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264185,30,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,49.07,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,14.6,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,3.76,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,8.7,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,14.17,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,12.92,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,7.88,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,20.27,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,23.37,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,32.67,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,8.76,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,125.52,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 20/08/2015,PCO0264173,30.02,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 06/08/2015,DAL0263837,181.12,No,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Printing & Stationery,COPIFAX,A0000569, 27/08/2015,PBC0264389,19.83,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,MARTIN COLLINS JOINERY & GLAZING,A0000623, 13/08/2015,ENV0264006,54,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,MARTIN COLLINS JOINERY & GLAZING,A0000623, 20/08/2015,ENV0264238,79,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,MARTIN COLLINS JOINERY & GLAZING,A0000623, 27/08/2015,HMR0264299,126,No,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,MARTIN COLLINS JOINERY & GLAZING,A0000623, 27/08/2015,HMR0264300,45,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Transport Related Expense,Hire of Transport,CAVALIER TAXIS,A0000638, 20/08/2015,DAL0264183,20,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,D & H PRECAST PRODUCTS,A0000874, 13/08/2015,REG0263800,392,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 13/08/2015,REG0263966,13.09,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 13/08/2015,REG0263965,15.48,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 13/08/2015,REG0263962,40.56,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 13/08/2015,REG0263963,49.46,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 13/08/2015,REG0263964,92.87,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,PCO0264135,42.6,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,PCO0264135,142.8,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,PCO0264135,258,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,PCO0264135,307.8,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,PCO0264135,319.5,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264179,37.5,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264179,38,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264179,38,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 13/08/2015,OPS0263890,11.8,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,24.38,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 13/08/2015,OPS0263890,25.25,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,37.28,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,37.28,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 13/08/2015,OPS0263890,38,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,38,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,51.6,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,51.6,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264178,152,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/08/2015,OPS0264179,202,No,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,FIRST SIGNS LIMITED,A0001121, 13/08/2015,EST0264001,22,No,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,FIRST SIGNS LIMITED,A0001121, 13/08/2015,EST0264001,22,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,FREIGHT TRANSPORT ASSOCIATION,A0001124, 06/08/2015,OPS0263774,21.4,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 27/08/2015,PCO4004730,-57.78,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263778,299.4,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263791,14.35,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263791,62.27,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263783,62.62,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 27/08/2015,PCO0264345,66.15,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263782,79.73,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263782,79.73,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263782,79.73,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,GIBSONS GARDEN MACHINERY LTD,A0001201, 06/08/2015,PCO0263786,32.47,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,G B SIGNS SOLUTIONS LIMITED,A0001202, 13/08/2015,HED0263903,31.44,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,G B SIGNS SOLUTIONS LIMITED,A0001202, 13/08/2015,HED0263901,33.5,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,G B SIGNS SOLUTIONS LIMITED,A0001202, 13/08/2015,HED0263903,34.06,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,G B SIGNS SOLUTIONS LIMITED,A0001202, 13/08/2015,HED0263902,29,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,JEWSON LIMITED,A0001323, 27/08/2015,OPS0264363,39.9,No,N/A,N,N/A
