OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AC017042825INV9973,Shutters,ENVIRONMENT & HOUSING,265 - Other Hired And Contracted Services,,31/03/2017,,,,,"�11,662.00",,"ACCESS OPENING SYSTEMS LIMITED, Hsbc Invoice Finance (Uk) Ltd, Farncombe Road, WORTHINGTON, BN11 2BW",,b) Micro,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AD807042818426620,Legal Fees,CITY DEVELOPMENT,411 - Legal Disbursements,,24/03/2017,,,,,"�9,002.58",,"ADDLESHAW GODDARD LLP, Sovereign House, Po Box 8   Sovereign Street, LEEDS, LS1 1HQ",,e) Large,,Kate Kearns,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AD09764282117/L5245,Purchase of Artwork,CITY DEVELOPMENT,271 - Contributions To Extended Facilities,,27/03/2017,,,,,"�70,000.00",,"ADRIAN SASSOON LIMITED, 14 Rutland Gate, NULL, LONDON, SW7 1BB",,Other/Not known,,Cluny Macpherson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AL05414282130009629,Adapted Vehicle,CHILDRENS SERVICES,550 - Placement Support,,27/03/2017,,,,,"�6,695.00",,"ALLIED VEHICLES LTD, 230 Balmore Road, NULL, GLASGOW, G22 6LJ",,e) Large,,ROBERT MURRAY,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AL57554282228156,Fencing,ENVIRONMENT & HOUSING,205 - Operational Materials,,28/03/2017,,,,,"�6,806.60",,"ALPHA RAIL LIMITED, Alpha House, Urban Road, KIRKBY IN ASHFIELD, NG17 8AP",,b) Micro,,David Morgan,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AP036142810188407,Electric Van,ENVIRONMENT & HOUSING,NUL - ,,16/03/2017,,,,,"�84,531.10",,"APRITE (GB) LTD, 127 Chester Road, Streetly, SUTTON COALFIELD, B74 2HE",,Other/Not known,,Carl Snowden,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AR86104280440839,"Interpretation for Tropical W
orld",ENVIRONMENT & HOUSING,265 - Other Hired And Contracted Services,,10/03/2017,,,,,"�5,925.00",,"ARK DISPLAY GRAPHICS, Unit 1 Aston Court, Town End Close, LEEDS, LS13 2AF",,b) Micro,,David Morgan,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,AT10894281855376,Fencing,CITY DEVELOPMENT,NUL - ,,24/03/2017,,,,,"�6,060.00",,"ATKINSONS FENCING LIMITED, Green Lane, Cutsyke, CASTLEFORD  WEST YORKSHIRE, WF10 5JL",,c) Small,,Jackie Larner,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,BO150042810203852,Safety Flooring,ENVIRONMENT & HOUSING,205 - Operational Materials,,16/03/2017,,,,,"�6,400.00",,"BOUNCEBACK SAFETY SURFACES LTD, Glen Moor, High Lane, SALTERFORTH, BB18 5SN",,Other/Not known,,Guy Smithson,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,05/05/2017,BR389142811INV0979997,British Cycling Partnership,CITY DEVELOPMENT,265 - Other Hired And Contracted Services,,17/03/2017,,,,,"�5,250.00",,"BRITISH CYCLING FEDERATION, C/O National Cycling Centre, Stuart Street, MANCHESTER, M11 4DQ",,e) Large,,Gill Keddie,Non-influenceable
