DEPARTMENT,ENTITY,DATE PAID,EXPENSE TYPE,EXPENSE AREA,SUPPLIER NAME,TRANSACTION NUMBER,AMOUNT
Department of Health,Whittington NHS Trust,01/08/2014,Laundry Service,Laundry,Berendsen Uk Ltd,661756,66459.3
Department of Health,Whittington NHS Trust,01/08/2014,Psychologists,Community Rehab Team,Camden & Islington Nhs Foundation Trust,631882,67625
Department of Health,Whittington NHS Trust,01/08/2014,Psychologists,Reach Team,Camden & Islington Nhs Foundation Trust,631882,24632
Department of Health,Whittington NHS Trust,01/08/2014,Hardware Maintenance,Patient Systems,Helicon Health Ltd,665435,25000
Department of Health,Whittington NHS Trust,01/08/2014,Rates-General,Estates Management,London Borough Of Islington,664769,108934
Department of Health,Whittington NHS Trust,01/08/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,658963,63540.18
Department of Health,Whittington NHS Trust,07/08/2014,Professional Services,Nursing & Clinical Development,Care Quality Commission,666539,87125
Department of Health,Whittington NHS Trust,07/08/2014,Laboratory service,Integrated Blood Science,Ibg Immucor Ltd,657928,25497.53
Department of Health,Whittington NHS Trust,07/08/2014,Sterile Services,Sterile Services,Ih Sterile Services Ltd (Hcl Med Tech),660997,45743.11
Department of Health,Whittington NHS Trust,07/08/2014,Rates-General,Estates Management,London Borough Of Islington,666861,108934
Department of Health,Whittington NHS Trust,07/08/2014,Prison Staff Service,Pentonville Prison,Ministry Of Justice,666838,55887.94
Department of Health,Whittington NHS Trust,07/08/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,660627,63502.24
Department of Health,Whittington NHS Trust,07/08/2014,Drugs - Pharmacy,Balance Sheet,Novartis Pharmaceuticals Uk Ltd.,662897,25401.6
Department of Health,Whittington NHS Trust,07/08/2014,Sewerage Rates,Environment,Thames Water Utilities,667031,11999.77
Department of Health,Whittington NHS Trust,07/08/2014,Water-Metered Charges,Environment,Thames Water Utilities,667031,17831.33
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668192,22346.55
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668195,22616.91
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668189,22676.81
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668193,23131.9
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668198,24545.42
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668199,25224.99
Department of Health,Whittington NHS Trust,14/08/2014,External Contract Estate/Facility,Domestic/FSA,Buzz Housekeeping Services,668197,25383.1
Department of Health,Whittington NHS Trust,14/08/2014,Electricity,Environment,Edf Energy,669075,102105.03
Department of Health,Whittington NHS Trust,14/08/2014,Hardware Maintenance,Technical Services,Insight Direct (Uk) Ltd,661521,94146.88
Department of Health,Whittington NHS Trust,14/08/2014,Blood Transfusion Service,Blood Recharge,Nhs Blood And Transplant,663038,100448.25
Department of Health,Whittington NHS Trust,14/08/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,662689,65419.51
Department of Health,Whittington NHS Trust,14/08/2014,Professional Services,Trust Secretariat,Sjmwp Consulting Ltd,668539,29512.5
Department of Health,Whittington NHS Trust,14/08/2014,Equipment Maintenance,Wheelchair Services,Tann Autos,668535,25316.5
Department of Health,Whittington NHS Trust,15/08/2014,CNST Premium,Risk Management,Nhs Litigation Authority,Direct Debit,573143
Department of Health,Whittington NHS Trust,15/08/2014,Insurance,Finance Director,Nhs Litigation Authority,Direct Debit,22647.8
Department of Health,Whittington NHS Trust,22/08/2014,Software Purchase,Procurement Shared Service,Adb Multiquote Ltd,666288,33120
Department of Health,Whittington NHS Trust,22/08/2014,Patient Transport,Estates-General Fund,Barnet Enfield & Haringey Mental Health,631867,129554.36
Department of Health,Whittington NHS Trust,22/08/2014,Laundry Service,Laundry,Berendsen Uk Ltd,668925,53558.36
Department of Health,Whittington NHS Trust,22/08/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,665000,56043.78
Department of Health,Whittington NHS Trust,22/08/2014,Nhs Logistics Stock Issues,Balance Sheet,Nhs Supply Chain,666037,58565.35
Department of Health,Whittington NHS Trust,22/08/2014,Drugs - Pharmacy,Balance Sheet,Roche  And  Products Ltd,667718,27377.28
Department of Health,Whittington NHS Trust,22/08/2014,Internal Audit,Finance Director,Tiaa Ltd,670725,24567
