Property Reference,Property Description,Rateable Value,Account Name,Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Mandatory Rate Relief,Mandatory Rate Relief Amount,Discretionary Rate Relief,Discretionary Rate Relief Amount,Additional Relief,Additional Relief Amount,Small Business Rate Relief,Small Business Rate Relief Amount
19400002700019,PUBLIC HOUSE AND PREMISES,"£38,750",Dan Ryans Limited,01/04/2000,WEAVERS 26-27,Greenhill Parade Great North Road,Barnet,Hertfordshire,,EN5 1ES,NONE,£0.00,REVALUATION SUPPORT MEDIUM 8%,"£1,332.94",PUB RELIEF,"£1,000.00",NO,£0.00
22660002420002,PUBLIC HOUSE AND PREMISES,"£51,000",The Rising Sun Mill Hill LLP,12/03/2013,Rising Sun,Highwood Hill,London,,,NW7 4ET,NONE,£0.00,REVALUATION SUPPORT MEDIUM 9%,£891.94,PUB RELIEF,"£1,000.00",NO,£0.00
07520001710037,PUBLIC HOUSE AND PREMISES,"£6,500",Mr Naresh Karsan Yadav & Mr Harish Karsan Yadav,01/04/2000,Cresswell,17 Central Circus,London,,,NW4 3AS,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
08640090220003,PUBLIC HOUSE AND PREMISES,"£26,250",Mr Scott Mclaughlin,19/04/2017,The Greyhound,50 Church End,London,,,NW4 4JT,NONE,£0.00,NONE,£0.00,PUB RELIEF,£950.68,NO,£0.00
11040007520009,PUBLIC HOUSE AND PREMISES,"£14,250",Mr A Rofail,09/10/2013,Cricklewood Tavern,75 Cricklewood Lane,London,,,NW2 1HR,NONE,£0.00,NONE,£0.00,PUB RELIEF,£369.86,NO,£0.00
13380004920002,PUBLIC HOUSE AND PREMISES,"£32,750",Mcmullen & Sons Ltd-Retail Division,01/04/2000,Lord Kitchener,49 East Barnet Road,Barnet,Hertfordshire,,EN4 8RN,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
15820091120002,PUBLIC HOUSE AND PREMISES,"£41,500",Pressfield Ltd,18/01/2008,Refectory 911,Finchley Road,London,,,NW11 7PE,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
19020091020003,PUBLIC HOUSE AND PREMISES,"£31,500",Mcmullen & Sons Ltd-Retail Division,01/04/2000,Queens Arms Underhill,Great North Road,Barnet,Hertfordshire,,EN5 1AD,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
20320090120004,PUBLIC HOUSE AND PREMISES,"£31,500",Mr A Harty,10/08/2011,The Railway Tavern,123-129 Hale Lane,London,,,NW7 3SB,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
22003000220001,PUBLIC HOUSE AND PREMISES,"£64,500",Youngs & Co Brewery Plc,18/04/2008,The Beaufort,2 Heritage Avenue,London,,,NW9 5AA,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
