OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BR252242349INV182299,Derby Litter bins,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,11/12/2015,,,,,"£52,651.00",,"BROXAP LTD, Rowhurst Industrial Estate, Chesterton, NEWCASTLE UNDER LYME, ST5 6BD",,e) Large,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CE0115423692317370,Temporary Staff,CHILDRENS SERVICES,8-Agency Staff,,31/12/2015,,,,,"£23,173.50",,"CELSIAN GROUP LIMITED, 800 The Boulevard, Capability Green, LUTON, LU1 3BA",,d) Medium,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,TN297242362IN18US15013336,Postage,CENTRAL & CORPORATE,212-Postages,,24/12/2015,,,,,"£74,374.24",,"WHISTL NORTH LIMITED, 1 Globeside Business Park, Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AC138142340133427,To build structures for the German Market,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,02/12/2015,,,,,"£14,725.00",,"ACORN SCAFFOLDING (YORKSHIRE) LTD, Moor Lane Trading Estate, Moxon Way Sherburn In Elmet, LEEDS, LS25 6ES",,d) Medium,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CA0630423454689,Control installation,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,07/12/2015,,,,,"£20,786.00",,"CALVERLEY CONTROL INSTALLATIONS LTD, Blacup House, Royds Close, LEEDS, LS12 6LL",,Other/Not,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CA2938423426003186395,Benefit Changes,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,04/12/2015,,,,,"£82,574.16",,"CAPITA BUSINESS SERVICES LTD, Po Box 212, Faverdale Industrial Estate, DARLINGTON, DL1 9HN",,e) Large,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,GE983542362GEN30158,Temporary Staff,CENTRAL & CORPORATE,8-Agency Staff,,24/12/2015,,,,,"£29,181.90",,"TRIAD RESOURCING, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,HA3770423459373,Annual support and maintenance,CENTRAL & CORPORATE,214-Computer Software & Equipment,,07/12/2015,,,,,"£24,063.56",,"HALAROSE LIMITED, Goring House Beechwood Court, Long Toll, WOODCOTE, OXFORDSHIRE, RG8 0RR",,c) Small,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,IN0308423699446,Branding scrims and event safety,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,31/12/2015,,,,,"£13,819.00",,"INDEPENDENT DESIGN & DISPLAY, Chapel Works, Stocks Street, LEEDS, LS7 2AU",,b) Micro,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,LC066242368SIN001051,Design and feasibility work to assist bid to acquire site,CITY DEVELOPMENT,259-Consultancy Services,,30/12/2015,,,,,"£32,422.17",,"LCR LTD, ",,Other/Not,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,PE069042349212354,October & Part November SIP Work -,CHILDRENS SERVICES,277-Bought In Professional Services,,11/12/2015,,,,,"£24,545.00",,"PERMANENT FUTURES LTD, 4 Feast Field, Horsforth, LEEDS, LS18 4TJ",,b) Micro,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,PO472X42347900720135,Various Modules,CHILDRENS SERVICES,,,09/12/2015,,,,,"£66,018.01",,"PORTAKABIN LTD, New Lane, Huntington, YORK, YO32 9PT",,e) Large,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AC100742349AMI00120,Project delivery for BFI Film,CITY DEVELOPMENT,277-Bought In Professional Services,,11/12/2015,,,,,"£7,100.00",,"ACCESS MOVING IMAGE LTD, The Media Place, 655a Roundhay Road, LEEDS, LS8 4BA",,Other/Not known,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AD933X4234221537,Screen hire as per quote,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,04/12/2015,,,,,"£5,450.00",,"ADI UK LTD, Pittman Court Pittman Way, Fulwood, PRESTON, PR2 9ZG",,d) Medium,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AK1523423593498,Loft Conversion with gable wall,CHILDRENS SERVICES,550-Placement Support,,21/12/2015,,,,,"£40,052.00",,"AKB LOFT CONVERSIONS SPECIALISTS LTD, ",,Other/Not,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AL03384235515241,Evolutive 1 year licence renewal,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,17/12/2015,,,,,"£11,970.00",,"ALCIUM SOFTWARE LTD, 6 Rotunda Business Centre, Thorncliffe Road, SHEFFIELD, S35 2PG",,c) Small,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AM99894235500/1154,Provision of Taxi Marshals,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,17/12/2015,,,,,"£8,550.00",,"AMR SECURITY SERVICES LTD, 6 Ings Mere Court, Fairburn, KNOTTINGLEY, WF11 9JN",,c) Small,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AS052X423699825,Assistive equipment,ENVIRONMENT & HOUSING,,,31/12/2015,,,,,"£8,654.84",,"ASTOR BANNERMAN MEDICAL LTD, Unit 11f Coln Park, Andoversford, Cheltenham, GLOUCESTERSHIRE, GL54 4HJ",,d) Medium,,,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,AX0365423601023-1036,To supply and install MUGA equipment,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,22/12/2015,,,,,"£22,999.00",,"AXO LEISURE LTD, 6 Wardman Street, NULL, KEIGHLEY, BD21 4AN",,Other/Not,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BA667642356769,107 Acres of straw,ENVIRONMENT & HOUSING,205-Operational Materials,,18/12/2015,,,,,"£5,021.98",,"W S BAYSTON AND SON LTD, Coldhill Farm, Aberford, LEEDS, LS25 3EE",,Other/Not known,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,BR042242355SIN001756,Annual subscription,CITY DEVELOPMENT,214-Computer Software & Equipment,,17/12/2015,,,,,"£18,144.00",,"BRIDGEALL LIBRARIES LTD, 1 Ainslie Road, Hillington Park, GLASGOW, G52 4RU",,c) Small,,,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CA7042423620684,A fund for energy efficiency/heating - fuel poverty,ENVIRONMENT & HOUSING,,,24/12/2015,,,,,"£105,223.55",,"CARE & REPAIR LEEDS, 323 Roundhay Road, NULL, LEEDS, LS8 4HT",,c) Small,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,16/02/2016,CB094942352SINV00061939,Bus and rail advertising for Rugby World Cup,CITY DEVELOPMENT,211-Advertising,,14/12/2015,,,,,"£13,318.00",,"EXTERION MEDIA (UK) LIMITED, Cambden Wharf 28 Jameston Road, Cambden, LONDON, NW1 7BY",,e) Large,,,Non-contract
