Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,1008.39
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Clinical Support and Family Services,NHS SUPPLY CHAIN,2017003437,1461.55
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,5908.4
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,2036.84
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Clinical Support and Family Services,NHS SUPPLY CHAIN,2017003437,14511.87
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,4104.76
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,402.12
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,2941.12
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,606.27
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,MED SURG EQUIP REP MAINT CLEANING,Surgery,NHS SUPPLY CHAIN,2017003437,1163.64
Department of Health,Salisbury NHS Foundation Trust,16-Jun-17,RATES,Facilities Directorate,WILTSHIRE COUNCIL,JUNE 17 RATES,114356
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,DRUGS,Clinical Support and Family Services,NOVARTIS PHARMACEUTICALS UK LTD,91822632,26950.56
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,DRUGS,Clinical Support and Family Services,NOVARTIS PHARMACEUTICALS UK LTD,91822632,5390.11
Department of Health,Salisbury NHS Foundation Trust,23-Jun-17,NETWORKING COSTS,Capital Projects,365 ITMS LTD,2003048,20009.96
Department of Health,Salisbury NHS Foundation Trust,23-Jun-17,NETWORKING COSTS,Capital Projects,365 ITMS LTD,2003048,8400
Department of Health,Salisbury NHS Foundation Trust,23-Jun-17,NETWORKING COSTS,Capital Projects,365 ITMS LTD,2003048,4001.99
Department of Health,Salisbury NHS Foundation Trust,23-Jun-17,NETWORKING COSTS,Capital Projects,365 ITMS LTD,2003048,1680
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,OTHER MEDICAL SUPPLIES,Clinical Support and Family Services,NHS LOGISTICS,1018051913,126.33
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,OTHER MEDICAL SUPPLIES,Clinical Support and Family Services,NHS LOGISTICS,1018051913,91.42
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,M & S EQUIPELECTEQUIPINST - OTHER,Surgery,NHS LOGISTICS,1018051913,26.88
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support and Family Services,NHS LOGISTICS,1018051913,7.45
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support and Family Services,NHS LOGISTICS,1018051913,0.78
Department of Health,Salisbury NHS Foundation Trust,30-Jun-17,SERVICES FROM NHS BODIES,Clinical Support and Family Services,NHS LOGISTICS,1018051913,32.97
