Department Family,Entity,Date,Expenses Type,Expense Area, Supplier ,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,31/03/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000547146," 56,488.06 "
Department of Health,The Christie NHS Foundation Trust,13/03/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000547758," 58,662.94 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000547147,"-35,714.54 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Drugs,Drugs, ALCURA UK LIMITED ,0000547145," 2,477,917.15 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,PET Scans,Christie Medical Physics, ALLIANCE MEDICAL LTD ,0000542869," 368,420.00 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,PET Scans - Jan 16,Christie Medical Physics, ALLIANCE MEDICAL RADIOPHARMACY LIMITED ,0000545590," 37,759.86 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Support and Maintenance of Software,Finance & Business Development, ASCRIBE LTD ,0000545670," 45,744.00 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000544973," 395,247.30 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000545675," 335,101.74 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000546429," 30,626.44 "
Department of Health,The Christie NHS Foundation Trust,09/03/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000546430," 45,360.00 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000545020," 352,225.63 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000548580," 336,207.60 "
Department of Health,The Christie NHS Foundation Trust,30/03/2017,Drugs,Drugs, BOLTON NHS FOUNDATION TRUST ,0000545867," 29,380.04 "
Department of Health,The Christie NHS Foundation Trust,30/03/2017,Drugs,Drugs, BOLTON NHS FOUNDATION TRUST ,0000547964," 25,723.00 "
Department of Health,The Christie NHS Foundation Trust,30/03/2017,IT Consultancy,Finance & Business Development, CGI IT UK LTD ,0000548082," 33,000.00 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,IT Consultancy,Finance & Business Development, CGI IT UK LTD ,0000548085," 34,512.00 "
Department of Health,The Christie NHS Foundation Trust,30/03/2017,Cancer Vanguard,GM Cancer Vanguard, CHAMELEON INFORMATION MANAGEMENT SERVICE ,0000545523," 38,850.00 "
Department of Health,The Christie NHS Foundation Trust,15/03/2017,Theatres Development,Capital, CITY BUILD MANCHESTER LTD ,0000545087," 137,283.12 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000545361," 171,277.16 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Drugs,Drugs, EAST CHESHIRE NHS TRUST ,0000543916," 127,062.39 "
Department of Health,The Christie NHS Foundation Trust,13/03/2017,Drugs,Cancer Networked Services, EAST CHESHIRE NHS TRUST ,0000545572," 40,925.00 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Drugs,Cancer Networked Services, EAST CHESHIRE NHS TRUST ,0000541058," 40,925.00 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Drugs,Drugs, EVOLUTION HOMECARE SERVICES LTD ,0000547749," 28,223.00 "
Department of Health,The Christie NHS Foundation Trust,15/03/2017,Medical Equipment,Capital, FUKUDA DENSHI ,0000545916," 47,892.00 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Refurbishment Works,Estates & Facilities, GRADUS ,0000547576," 35,463.52 "
Department of Health,The Christie NHS Foundation Trust,02/03/2017,Building Works,Capital, HELIX ROOFING CONTRACTORS LTD ,0000546172," 224,961.58 "
Department of Health,The Christie NHS Foundation Trust,02/03/2017,IPU Development,Capital, INTERSERVE CONSTRUCTION LTD ,0000549135," 1,094,733.05 "
Department of Health,The Christie NHS Foundation Trust,16/03/2017,Proton Beam Development (PBT),Capital, INTERSERVE CONSTRUCTION LTD ,0000548288," 2,239,479.67 "
Department of Health,The Christie NHS Foundation Trust,23/03/2017,Theatres Development,Capital, INTERSERVE ENGINEERING SERVICES LTD ,0000545363," 124,930.71 "
Department of Health,The Christie NHS Foundation Trust,02/03/2017,Patient Entertainment System,Finance & Business Development, LINCOR SOLUTIONS LTD ,0000547078," 359,156.00 "
