Publisher Label,Publisher URI,Organisationname,OrganisationCode,Effectivedate,ContractReferencenumber,OpenContractingID,TitleoftheAgreement,Contracttype,Serviceresponsible,ServiceCategorylabel,ServicecategoryURI,Descriptionofgoodsandservices,Procurementclassification,CPVlabel,CPVcode,Proclasslabel,Proclasscode,Contractstartdate,Enddate,Reviewdate,Lastextensiondate,Contractvalue,Fixedorestimatedcost,IrrecoverableVAT,SupplierName,Supplierregisteredcompanynumber,Supplierregisteredcharitynumber,OthersupplierID,SMEsupplier,VCSEsupplier,VCSEsuppliertype,Nominatedcontactpointname,Nominatedcontactpointemail,NominatedcontactpointURL
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,228,,ANPR for car parks,,Environment,,,ANPR for car parks,,,,,,26/02/2013,25/02/2018,01/10/2017,25/02/2020,1200000,,N/A,APT Control Ltd - Veri-Park,,,,,,,,Robin.Evans@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,289,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,Advance Tree Services Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,290,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,Glendale Countryside Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,291,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,Gristwood & Toms Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,292,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,High Elms Tree Surgery ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,293,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,J W Salmon - Aboricultural Ltd,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,294,,Arboricultural Services,,Planning & Sustainability,,,Arboricultural Services,,,,,,01/11/2014,31/10/2018,31/10/2017,,400000,,N/A,R Watts & Sons,,,,,,,,Alastair.Cunningham@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,221,,Bailiff for parking charge recovery,,Environment,,,Bailiff for parking charge recovery,,,,,,01/07/2013,30/06/2015,01/05/2015,,0,,N/A,JBW Ltd,,,,,,,,Robin.Evans@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,115,,Banking contract,,Finance & Commercial,,,Banking contract,,,,,,01/04/2014,31/03/2017,30/09/2016,,90000,,N/A,Nat West,,,,,,,,Steve.Richardson@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,121,,Bill payment system,,Finance & Commercial,,,Bill payment system,,,,,,01/11/2012,31/10/2016,16/01/2015,,120000,,N/A,Allpay.net,,,,,,,,Paul.Simmons@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,248,,Cable diversion,,Finance & Commercial,,,Cable diversion,,,,,,01/06/2014,31/12/2014,31/01/2015,,250000,,N/A,SSE,,,,,,,,Charles.Brocklehurst@wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,275,,Checking  of structural  calculations for  building regulations applications,,Planning & Sustainability,,,Checking  of structural  calculations for  building regulations applications,,,,,,01/08/2013,31/07/2015,31/03/2015,31/07/2016,20000,,N/A,JNP Engineering LLP,,,,,,,,Alan.Mason@Wycombe.gov.uk,
Wycombe District Council,http://opendatacommunities.org/doc/district-council/wycombe,Wycombe District Council,http://opendatacommunities.org/id/district-council/wycombe,31/12/2014,276,,Checking of structural calculations for building regulations applications,,Planning & Sustainability,,,Checking of structural calculations for building regulations applications,,,,,,01/08/2013,31/07/2015,31/03/2015,31/07/2016,20000,,N/A,Roughton,,,,,,,,Alan.Mason@Wycombe.gov.uk,
