Billing Year,Liable Unit Ref,Liability Start,Liability End,Company Name,Billing Year Balance,Liable Unit Balance,Propref,Property Address,Billing Address
2003,9024256,09-Sep-02,01-Jun-03,A T C Properties Ltd,-84.78,-84.78,65100709,"Suite 1 2ND Floor, Fountain Chambers, 22 Fountain Street, Halifax              HX1 1LW","7 Cottage Road, Headingley, Leeds, LS6 4DD"
,9004633,18-Nov-93,27-May-03,Andy's Records Ltd,-701.73,-701.73,64552008,"8 Cheapside, Halifax, HX1 1TQ","[In Administration], C/O Robson Rhodes, 186 City Road, London, EC1 V2NU"
,9007155,01-Apr-90,04-Dec-03,Central Garage (Mirfield)Ltd,-2888.07,-2888.07,65356703,"Hanson Lane Garage, 1 Hope Street, Halifax, HX1 5DW",No Forwarding Address
,9024400,06-Jul-03,31-Jan-04,Continental Books,-40.75,-40.75,64756051,"51 Crown Street, Halifax, HX1 1JB","F.A.O. Mr Phillip Rhodes, 51 Crown Street, Halifax, HX1 1JB"
,9026393,03-Jul-03,13-Oct-03,F H Shaw Ltd,-13.67,-13.67,56192730,"Part Westfield Works, Park Road, Elland, HX5 9HX","C/O Sargent & Co, 36 Clare Road, Halifax, HX1 2HX"
,9004924,03-Oct-00,14-May-01,Headway Plc,-486.4,-4521.46,64628714,"Unit 16, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Petchey Holdings Plc, Exchange House, 13/14 Clements Court, Ilford, IG1 2QY"
,9012920,01-Sep-97,30-Sep-03,Inglewood Studios Ltd,-3.58,-3.58,76252751,"Unit T5/T10, Canal Wharf Mill, Burnley Road, Mytholmroyd         HX7 8NH","The Courtyard, Town Street, Rawdon, Leeds, LS19 6PU"
,9013393,01-Jun-01,30-Apr-03,Mitaz Ltd,-50.18,-50.18,76408710,"13 New Road, Hebden Bridge, HX7 8AD","C/O Mr D Boud, 2 Damems Lane, Keighley, BD22 7AP"
,9007998,01-Oct-90,31-Jan-04,Reichenbacher (Uk) Ltd [In Liquidation],-311.03,-311.03,65626704,"Unit 8/9 Victoria Park, Lightowler Road, Pellon, Halifax             HX1 5NB","C/O Kanzlei Linse, 22 Rosenstrasse, Coburg, Germany"
,9002353,18-Nov-00,15-Jun-03,Yorkshire Tool Hire Ltd,-3377.31,-3377.31,56132069,"69 Huddersfield Road, Elland, HX5 9AA",No Forwarding Address
,,,,,"Total for Billing Year : -�7,957.50",,,,
2004,9005929,26-Nov-91,12-Oct-04,Cristel Paint Finishers Ltd [In Administration],-1377.64,-1377.64,64856701,"Dunkirk Mills, Dunkirk Street, Halifax, HX1 3TB","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
,9005919,26-Nov-91,12-Oct-04,Cristel Paint Finishers Ltd [In Administration],-142.2,-142.2,64852704,"Dunkirk Mills, Dunkirk Lane, Halifax, HX1 3TB","C/O O'Hara & Co, Wesley House, Huddersfield Road, Birstall, WF17 9EJ"
,9001032,01-Dec-00,24-Jan-05,Eccles & Scott Ltd,-214.38,-214.38,29236421,"Ground Floor, Cromwell House, Elland Road, Brighouse            HD6 2RG","Cromwell House, 421 Elland Road, Brighouse, HD6 2RG"
,9026602,03-Dec-03,10-Oct-04,Hidayat Trading (Uk) Ltd,-100,-100,64660055,"55 Commercial Street, Halifax, HX1 1BE","55 Commercial Street, Halifax, HX1 1BE"
