RATEPAYER,BILLING_ACCOUNT_BALANCE,LIABLE_UNIT_BALANCE,YEAR,PROPERTY_ADDRESS,BILLING_ADDRESS,DATE_START,DATE_END
Collinson Ceramics Ltd (In Admin Receivership),-1282.25,-1282.25,2002,"Armytage Road, Brighouse, HD6 1QF","Messrs Touche Ross & Co, (Ref Col/Jc)Queen Anne House, 69/71 Queen Square, Bristol, BS1 4JP",01-04-1990,01-04-1991
Yorkshire Mouldings Ltd [In Administration],-1068,-1068,2005,"Armytage Road, Brighouse, HD6 1UJ","Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP",01-04-2005,17-06-2005
Yorkshire Moulds [U.K] Ltd [In Admin Receivership],-51,-51,2002,"Armytage Road, Brighouse, HD6 1UJ","C/O Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP",01-08-2002,24-05-2004
Y.M Newmark Ltd [In Administration],-35837.69,-35837.69,2006,"Armytage Road, Brighouse, HD6 1UJ","C/O Poppleton & Appleby, 32 High Street, Manchester, M4 1QD",15-07-2005,16-10-2006
Pro Porsche (Brighouse) Ltd,-99.37,-99.37,2011,"Armytage Road, Brighouse, HD6 1PT","337 Wakefield Road, Huddersfield, HD5 8DE",25-07-2011,23-03-2012
On Time Logistics Ltd [In Admin Receivership],-2080.85,-2080.85,2002,"Leopold Works, George Street, Brighouse, HD6 1PU",,10-01-1999,27-10-2000
C.C.L Group Ltd [In Administration],-245.66,-899.1,2007,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR",06-07-2007,02-02-2010
C.C.L Group Ltd [In Administration],-306.94,-899.1,2009,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR",06-07-2007,02-02-2010
P.H.S Ltd,-1884,-1884,2011,"Armytage Road, Brighouse, HD6 1QF","Attn Andrew Knight, 7 Lancaster Way, Ermine Business Park, Huntingdon, Cambs, PE26 6XU",03-02-2010,22-06-2011
C.C.L Group Ltd [In Administration],-346.5,-899.1,2008,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR",06-07-2007,02-02-2010
Calder Felts Ltd [In Liquidation],-54.5,-54.5,2002,"Prince Of Wales Mill, Armytage Road, Brighouse, HD6 1QF","C/O Cork Gully, Abacus Court, 6 Minshull Street, Mancheste, RM1 3ED",18-02-1994,20-03-1995
Service Garage (1981) Ltd (In Liquidation),-391.38,-391.38,2002,"Unit 5, Armytage Road, Brighouse, HD6 1PT","C/O Messrs Halpern Woolf &, Partners, 16-18 North Parade, Bradford, BD1 3HT",01-04-1990,11-11-1992
On Time Logistics Ltd [In Liquidation],-6528.92,-6528.92,2002,"Warehouse, Armytage Road, Brighouse, HD6 1PT","C/O K P M G, 1 Waterloo Way, Leicester, LE1 6LP",10-01-1999,27-10-2000
,-1.06,-1.06,2012,"Arthur Street, Brighouse, HD6 1PY",,27-02-2010,
C F S (Brighouse) Ltd,-202.35,-202.35,2012,"Atlas Mill Road, Brighouse, HD6 1ES",,11-04-2008,
S.I.T.A. (Uk) Ltd,-1236.87,6899.13,2014,"Atlas Mill, Household Waste Site, Atlas Mill Road, Brighouse            HD6 1ES","Nrth Tyneside Transfer Station, Wallsend Road, North Shields, Tyne & Wear, NE29 7SH",01-08-2008,
Calderdale Mbc,-672.36,-672.36,2003,"Atlas Mill Road, Brighouse, HD6 1ES","Attn Wendy Backhouse, Building Cleaning Servces, Northgate House, Northgate, Halifax, HX1 1UN",01-04-1995,31-07-2003
,-110,-110,2008,"Unit J, Atlas Mill Road, Brighouse, HD6 1ES",,04-01-2008,30-11-2008
,-181.25,4218.75,2013,"5 Bethel Street, Brighouse, HD6 1JR",,27-07-2005,
,-2.71,-2.71,2002,"10 Bethel Street, Brighouse, HD6 1JN",,01-04-2000,30-04-2002
,-115.08,-115.08,2008,"21 Bethel Street, Brighouse, HD6 1JR",,08-04-2003,20-06-2008
,-1.1,-1.1,2012,"39 Bethel Street, Brighouse, HD6 1JR",,08-08-2009,
,-1.1,-1.1,2012,"41 Bethel Street, Brighouse, HD6 1JR",,02-12-1995,
,-100.58,-100.58,2011,"53 Bethel Street, Brighouse, HD6 1JR",,24-09-2010,03-05-2011
,-10,-10,2014,"10 Bethel Street, Brighouse, HD6 1JN",,27-06-2012,
,-71.19,-71.19,2014,"22 West Park Street, Brighouse, HD6 1DU",,20-12-2012,31-12-2014
Livebase Ltd [In Liquidation],-185.41,-185.41,2002,"The Old Ship Inn, 34 Bethel Street, Brighouse, HD6 1JN",,01-04-1993,05-03-1996
,-35,-35,2006,"Room 7, 47 Bethel Street, Brighouse, HD6 1JR",,05-12-2005,01-08-2006
,-0.91,-0.91,2012,"Adj 27 Bethel Street, Brighouse, HD6 1JR",,02-11-2002,
Michael A Taylor Solicitors [ In Liquidation ],-12.88,-12.88,2010,"Fairway House, 20 Bethel Street, Brighouse, HD6 1JN","C/O P S Wallace & Co, 284 Clifton Drive South, Lytham St Annes, Lancs, FY8 1LH",01-04-2005,30-04-2010
R H & G Travis & Sons Ltd,-74.37,-74.37,2012,"1a Birds Royd Lane, Brighouse, HD6 1LQ",,01-04-1990,
Birds Royd Property Co Ltd,-229.25,-229.25,2014,"Princess Works, Birds Royd Lane, Brighouse, HD6 1LH","C/O R A S Sports, Princess Works, Bird Royd Lane, Brighouse, HD6 1LJ",01-07-2014,28-02-2015
