Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067-3,123075.01
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067-3,26099.99
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067-3,24615
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067-3,5220
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,40000
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,7875
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,30375
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,8000
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,1575
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,6075
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,40000
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,7875
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  SPECIALISED BESPOKE,Corporate - Finance & Procurement,GENESIS AUTOMATION UK LIMITED,68,30375
Department of Health,Salisbury NHS Foundation Trust,11-Aug-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,AUG 17 NDR,114356
Department of Health,Salisbury NHS Foundation Trust,04-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067-2,224262
Department of Health,Salisbury NHS Foundation Trust,04-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501067-2,44852.4
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,BECKMAN COULTER,1384768,28317.66
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501341,44850
Department of Health,Salisbury NHS Foundation Trust,25-Aug-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,FOREMANS RELOCATABLE BUILDING SYSTEMS LTD,929501341,8970
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,DRESSINGS - PRE STERILE,Corporate - Finance & Procurement,HAMPSHIRE COSMETICS,91444,10819.38
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,DRESSINGS - PRE STERILE,Corporate - Finance & Procurement,HAMPSHIRE COSMETICS,91444,13516.62
Department of Health,Salisbury NHS Foundation Trust,18-Aug-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,BECKMAN COULTER,1384797,97491.82
Department of Health,Salisbury NHS Foundation Trust,04-Aug-17,DRUGS,Clinical Support,NOVARTIS PHARMACEUTICALS UK LTD,91811950,21028.73
Department of Health,Salisbury NHS Foundation Trust,04-Aug-17,DRUGS,Clinical Support,NOVARTIS PHARMACEUTICALS UK LTD,91811950,4205.75
Department of Health,Salisbury NHS Foundation Trust,04-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Finance & Procurement,GHX UK LTD,715-00000544,17000
Department of Health,Salisbury NHS Foundation Trust,04-Aug-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Finance & Procurement,GHX UK LTD,715-00000544,5416
