Customer,Number of travellers,Spend less tax,Ticket class description,Ticket departure date,Bileteral city pairs,Supplier name
Department For Work & Pensions,1,£148.00,Economy,08/06/2011,BELFAST/LONDON,BMI
Department For Work & Pensions,1,£166.28,Economy,11/05/2011,LEEDS BRADFORD/SOUTHAMPTON,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£165.53,Economy,24/05/2011,BRISTOL/NEWCASTLE,EASYJET
Department For Work & Pensions,1,£125.97,Economy,06/06/2011,BELFAST/NEWCASTLE,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£115.97,Economy,13/06/2011,BELFAST/NEWCASTLE,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£196.00,Economy,23/05/2011,GLASGOW/MANCHESTER,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£207.78,Economy,31/05/2011,GLASGOW/MANCHESTER,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£73.00,Business Class,01/06/2011,GLASGOW/LONDON,BRITISH AIRWAYS
Department For Work & Pensions,1,£158.26,Economy,23/05/2011,CARDIFF/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£110.98,Economy,18/05/2011,LONDON/NEWQUAY,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£157.00,Economy,16/05/2011,EDINBURGH/MANCHESTER,BMI
Department For Work & Pensions,1,£62.99,Economy,01/06/2011,CARDIFF/EDINBURGH,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£37.77,Economy,01/06/2011,BRISTOL/EDINBURGH,EASYJET
Department For Work & Pensions,1,£83.53,Economy,07/06/2011,GLASGOW/LONDON,EASYJET
Department For Work & Pensions,1,£75.48,Economy,24/06/2011,EXETER/NEWCASTLE,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£193.00,Economy,16/06/2011,EDINBURGH/LONDON,BRITISH AIRWAYS
Department For Work & Pensions,1,£190.00,Economy,24/05/2011,CARDIFF/NEWCASTLE,EASTERN AIRWAYS
Department For Work & Pensions,1,£248.78,Economy,23/05/2011,GLASGOW/MANCHESTER,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£192.78,Economy,31/05/2011,GLASGOW/MANCHESTER,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£204.24,Economy,16/05/2011,CARDIFF/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£54.00,Economy,16/05/2011,CARDIFF/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£65.00,Economy,23/06/2011,CARDIFF/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£254.00,Economy,10/05/2011,GLASGOW/LONDON,BRITISH AIRWAYS
Department For Work & Pensions,1,£260.20,Economy,24/05/2011,BRISTOL/LEEDS BRADFORD,AIR SOUTHWEST
Department For Work & Pensions,1,£94.98,Economy,11/05/2011,EXETER/NEWCASTLE,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£60.46,Economy,12/05/2011,BRISTOL/NEWCASTLE,EASYJET
Department For Work & Pensions,1,£59.76,Economy,12/05/2011,BRISTOL/NEWCASTLE,EASYJET
Department For Work & Pensions,1,-£60.46,Economy,12/05/2011,BRISTOL/NEWCASTLE,EASYJET
Department For Work & Pensions,1,£60.00,Economy,11/05/2011,EDINBURGH/PADDINGTON RAIL,BRITISH AIRWAYS
Department For Work & Pensions,1,£16.00,Economy,11/05/2011,EDINBURGH/LONDON,BRITISH AIRWAYS
Department For Work & Pensions,1,£212.52,Economy,23/05/2011,MANCHESTER/NORWICH,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£127.00,Business Class,16/05/2011,LONDON/MANCHESTER,BRITISH AIRWAYS
Department For Work & Pensions,1,£75.00,Economy,23/05/2011,BIRMINGHAM/EDINBURGH,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£124.33,Economy,17/05/2011,INVERNESS/LONDON,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£206.00,Economy,11/05/2011,EDINBURGH/LONDON,BRITISH AIRWAYS
Department For Work & Pensions,1,-£43.00,Economy,13/04/2011,BIRMINGHAM/NEWCASTLE,EASTERN AIRWAYS
Department For Work & Pensions,1,£189.22,Economy,26/05/2011,BIRMINGHAM/SHANNON,AER LINGUS
Department For Work & Pensions,1,£140.02,Economy,01/06/2011,BIRMINGHAM/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£104.02,Economy,01/06/2011,BIRMINGHAM/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,-£104.02,Economy,01/06/2011,BIRMINGHAM/GLASGOW,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£175.97,Economy,19/05/2011,BELFAST/NEWCASTLE,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£105.02,Economy,21/07/2011,BIRMINGHAM/EDINBURGH,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£84.98,Economy,06/07/2011,GDANSK/LONDON,WIZZ AIR
Department For Work & Pensions,1,£87.00,Economy,01/06/2011,LONDON/LUXEMBOURG,LUXAIR
Department For Work & Pensions,1,£55.00,Economy,31/05/2011,LONDON/LUXEMBOURG,AIR FRANCE
Department For Work & Pensions,1,£113.98,Economy,15/06/2011,LONDON/NEWCASTLE,FLYBE BRITISH EUROPEAN
Department For Work & Pensions,1,£83.46,Economy,03/06/2011,BELFAST/NEWCASTLE,EASYJET
Department For Work & Pensions,1,£169.00,Economy,23/05/2011,BELFAST/LONDON,BMI
