ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,AMOUNT (£),PURPOSE,TRANSACTION ID
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,NISAI LEARNING,04/10/16,-1500,OTHER LA`S - SEN PROVISION,V000990238
ROCHDALE BOROUGH COUNCIL,17/10/16,FINANCE SERVICES,LINK4LIFE (CHARITY),17/10/16,886,ROOM HIRE,V001010396
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,14/10/16,1114.19,TRANSACTIONS-EXPENDITURE,V001033574
ROCHDALE BOROUGH COUNCIL,18/10/16,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,18/10/16,500,ROOM HIRE,V001035429
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,HRR SOLUTIONS,19/10/16,-760,ROOF WORK/REPLACEMENT,V001041361
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,NISAI LEARNING,04/10/16,1500,OTHER LA`S - SEN PROVISION,V001043134
ROCHDALE BOROUGH COUNCIL,24/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CROMWELL POLYTHENE LIMITED,24/10/16,15810.29,EQUIPMENT - GENERAL,V001043388
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,KIER BUSINESS SERVICES LTD,04/10/16,1500,IMPROVEMENTS-MODERNISATION,V001043415
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,THE GREAT OUTDOOR GYM COMPANY,12/10/16,1516,EQUIPMENT - GENERAL,V001043761
ROCHDALE BOROUGH COUNCIL,17/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,17/10/16,4363.2,PURCHASE OF OTHER EQUIPMENT,V001043880
ROCHDALE BOROUGH COUNCIL,17/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,17/10/16,4363.2,PURCHASE OF OTHER EQUIPMENT,V001043880
ROCHDALE BOROUGH COUNCIL,17/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,17/10/16,4363.2,PURCHASE OF OTHER EQUIPMENT,V001043880
ROCHDALE BOROUGH COUNCIL,07/10/16,PUBLIC HEALTH,PENNINE CARE NHS,07/10/16,90750,PH PENNINE CARE CONTRACT,V001043905
ROCHDALE BOROUGH COUNCIL,07/10/16,EARLY HELP AND SCHOOLS,GUARDIAN NEWS & MEDIA LTD,07/10/16,1400,ADVERTISING,V001044577
ROCHDALE BOROUGH COUNCIL,17/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,17/10/16,12407.4,PURCHASE OF OTHER EQUIPMENT,V001044736
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,LANCASHIRE COUNTY COUNCIL,05/10/16,3568.16,OTHER LOCAL AUTHORITIES,V001045007
ROCHDALE BOROUGH COUNCIL,12/10/16,EARLY HELP AND SCHOOLS,BURY MBC,12/10/16,43987.4,OTHER EST - SEN PROVISION,V001045324
ROCHDALE BOROUGH COUNCIL,12/10/16,EARLY HELP AND SCHOOLS,BURY MBC,12/10/16,27767.47,OTHER EST - SEN PROVISION,V001045325
ROCHDALE BOROUGH COUNCIL,05/10/16,PROPERTY AND HIGHWAYS,NPOWER LIMITED,05/10/16,63924.84,ELECTRICITY,V001045398
