Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20871780,"31,221.68"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,21047028,"38,216.34"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20983922,"54,612.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20843211,"55,689.30"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,20793296,"66,756.55"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,21015727,"70,525.66"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,AAH PHARMACEUTICALS LTD,21089674,"79,259.71"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Laboratory Reagents,Pathology Directorate Off,ABBOTT LABORATORIES LTD,20883823,"65,688.60"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,ALCURA UK LTD,21093051,"26,410.50"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,ALCURA UK LTD,20983599,"28,875.48"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Ambulance Car Service,Patient Transport,ALLIANCE-PIONEER GROUP,20867725,"33,723.75"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Computer Software/License,Medical Management,ALLOCATE SOFTWARE PLC,20916430,"32,400.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,BATH ASU,20843257,"27,360.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,BATH ASU,20871785,"27,384.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,BATH ASU,21047046,"27,384.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,BATH ASU,21089753,"27,384.00"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Med & Surg Equip Disp,Haemodialysis Unit,BAXTER HEALTHCARE LTD,21054533,"40,626.40"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Med & Surg Equip General,Haemodialysis Unit,BAXTER HEALTHCARE LTD,20804642,"75,404.16"
Department of Health,Plymouth Hospitals NHS TRUST,30/11/2016,Drugs,Pharmacy,BAYER HEALTHCARE,20793812,"31,464.00"
