Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,03/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,558273,"336,207.60"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555169,"484,861.75"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Drugs,Drugs,EAST CHESHIRE NHS TRUST,555680,"122,090.60"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Drugs,Drugs,EVOLUTION HOMECARE SERVICES LTD,556814,"40,002.00"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Medical Equipment,Christie Medical Physics,IMAGING EQUIPMENT LTD,555997,"58,260.00"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Site Development,Capital,INTERSERVE CONSTRUCTION LTD,555479,"88,956.92"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Proton Beam Development (PBT),Capital,MACE LTD,554134,"27,498.00"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Software Maintenance,Finance & Business Development,NG BAILEY IT SERVICES LIMITED,555683,"25,378.95"
Department of Health,The Christie NHS Foundation Trust,06/07/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,556586,"38,744.77"
Department of Health,The Christie NHS Foundation Trust,07/07/2017,Rates 17/18,Estates & Facilities,M/CR CITY COUNCIL (RATES) DD,558276,"71,296.00"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555782,"386,612.74"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555786,"44,286.00"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555785,"381,418.68"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555791,"28,896.11"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,PET Scans - May 17,Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,555691,"93,452.00"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Childcare Vouchers,Human Resources,FIDELITI LIMITED,555973,"35,109.12"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Childcare Vouchers,Human Resources,FIDELITI LIMITED,557083,"34,484.31"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Building Works,Capital,HELIX ROOFING CONTRACTORS LTD,551288,"114,302.38"
