Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,Occupied
6.04276E+13,17TH ROCHDALE 1ST WARDLE SCOUTS ,C/O MRS ANGELA TAIT             ,01.04.2005                                               ,WARDLE SCOUT GROUP              ,                                ,RAMSDEN ROAD                       ,WARDLE                             ,ROCHDALE                        ,LANCASHIRE                      ,OL12 9NX,3500,SCOUT HEADQUARTERS                                          ,     ,                                                         ,Y,0,80, 
3.09798E+13,20/20 INDUSTRIES LTD            ,                                ,01.04.2011                                               ,GF 12 OFFICE THE OLD POLICE     ,STATION BUSINESS CENTRE         ,HIND HILL STREET                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1AQ,1200,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.10367E+13,21ST CENTURY TATTOO LTD         ,                                ,04.07.2008                                               ,                                ,                                ,1-5 CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PQ,5600,TATOO STUDIO & PREMISES                                     ,     ,                                                         , ,0,0, 
1.54198E+13,27TH ROCHDALE LOWERPLACE SCOUTS ,                                ,01.04.2005                                               ,                                ,                                ,27TH RDALE (LOWERPLACE) SCOUT GROUP,WATKIN STREET                      ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HJ,2600,CLUBROOM & PREMISES                                         ,     ,                                                         ,Y,20,80, 
4.11923E+13,29TH ROCHDALE SCOUTS C/O J R    ,COLLINGE                        ,01.04.2005                                               ,                                ,                                ,120 NEW ROAD                       ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8NL,2250,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
3152799916535A     ,2SQUARED AGENCY LTD             ,                                ,20.05.2014                                               ,UNIT B4/ BAYS 1 AND 2           ,BROADLANDS                      ,HEYWOOD DISTRIBUTION PARK          ,PILSWORTH ROAD                     ,HEYWOOD                         ,                                ,OL10 2TS,78000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.48168E+13,37TH ROCHDALE SCOUT GROUP C/O   ,KEN GRACEY                      ,01.04.2005                                               ,                                ,                                ,37TH ROCHDALE SCOUTS               ,SILK STREET                        ,ROCHDALE                        ,LANCASHIRE                      ,OL11 3ER,2075,HALL AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
31612X0001103A     ,3RD/4TH HEYWOOD (RAVENCROFT)    ,SCOUT GROUP                     ,01.04.2005                                               ,                                ,                                ,3RD AND 4TH HEYWOOD SCOUT GROUP    ,REGENT STREET                      ,HEYWOOD                         ,LANCASHIRE                      ,OL10 3BX,2425,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, 
3.20357E+13,4 SEASONS GARDEN MAINTENANCE LTD,                                ,10.03.2014                                               ,                                ,                                ,FOUR SEASONS GARDEN                ,MAINTENANCE                        ,VALE STREET                     ,HEYWOOD                         ,OL10 1PQ,4100,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
1.2243E+13,4COURT HEALTHCARE LTD           ,                                ,02.02.2011                                               ,4 COURT HEALTH CARE LTD AT      ,HEYBROOK SERVICE STATION        ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCS                           ,                                ,OL16 2NJ,8000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.1274E+13,4ROSES GLOBAL LTD               ,                                ,27.01.2016                                               ,                                ,                                ,SUITE G5 LOCK 50 BUSINESS CENTRE   ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RD,1775,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.42656E+13,580 CENTRAL LTD                 ,                                ,01.04.2014                                               ,                                ,                                ,SUITE A UNIT 14                    ,HARP INDUSTRIAL ESTATE             ,QUEENSWAY                       ,ROCHDALE                        ,OL11 2QQ,4500,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.10735E+13,580 CENTRAL LTD                 ,                                ,05.01.2015                                               ,                                ,                                ,YARD 3                             ,THE KLONDIKE                       ,CHICHESTER STREET               ,ROCHDALE                        ,OL16 2AU,11000,Land Used for Storage and Premises                          ,     ,                                                         , ,0,0, 
