Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,P-Card Tran,Contract
,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/09/2014,CHILDYOU,Children's and Education Services,4,ANGELA SHAW EDUCATION CONSULTANTS LTD,Redacted,Not yet available,Not yet available,Not yet available,28/07/2014,22560432,1,1200,Nil,Activities School Improvement,Revenue,Professional Services,CAT08,12100,Business & Management Consultants,,Not yet available
Wakefield MDC,E08000036,30/09/2014,CHILDYOU,Children's and Education Services,4,KATHERINE MILNER MATHEMATICS CONSULTANCY,Redacted,Not yet available,Not yet available,Not yet available,01/07/2014,22538593,1,1500,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,29360,Educational Services,,Not yet available
Wakefield MDC,E08000036,30/09/2014,CHILDYOU,Children's and Education Services,4,MINSTHORPE ACADEMY TRUST,Redacted,Not yet available,Not yet available,Not yet available,21/07/2014,22549994,1,1000,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,67860,Schools - Independent & Preparatory,,Not yet available
Wakefield MDC,E08000036,30/09/2014,ADULTS,Adult Social Care,7,BUDDI LIMITED,Redacted,Not yet available,Not yet available,Not yet available,16/07/2014,22544970,1,540,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,11700,Burglar & Intruder Alarm Systems,,Not yet available
Wakefield MDC,E08000036,30/09/2014,ADULTS,Adult Social Care,7,CHUBB SYSTEMS LTD,Redacted,Not yet available,Not yet available,Not yet available,22/07/2014,22549286,1,510,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,69240,Security Services & Equipment,,Not yet available
Wakefield MDC,E08000036,30/09/2014,ADULTS,Adult Social Care,7,WAKEFIELD DISTRICT HOUSING INVOICE PAYMENTS,Redacted,Not yet available,Not yet available,Not yet available,25/09/2014,22600181,1,6252.19,Nil,Adaptations,Revenue,Adult Services,CAT04,44166,"Housing Associations, Societies, Trusts & Co-Opera",,Not yet available
Wakefield MDC,E08000036,30/09/2014,ADULTS,Adult Social Care,7,YORKSHIRE HOUSING LTD,Redacted,Not yet available,Not yet available,Not yet available,03/07/2014,22537142,1,2067,Nil,Adaptations,Revenue,Adult Services,CAT04,44166,"Housing Associations, Societies, Trusts & Co-Opera",,Not yet available
Wakefield MDC,E08000036,30/09/2014,BUSINESS,Net (Surplus) / Deficit of Trading Operations,A,EDDISONS,Redacted,Not yet available,Not yet available,Not yet available,11/08/2014,22566737,1,750,Nil,Advertising,Revenue,Property & Asset Management,CAT01,61896,Property & Estate Management,,Not yet available
Wakefield MDC,E08000036,30/09/2014,ADULTS,Adult Social Care,7,EXTERION MEDIA,Redacted,Not yet available,Not yet available,Not yet available,20/08/2014,22571256,1,880,Nil,Advertising,Revenue,Business Services,CAT02,1967,Advertising - Media,,Not yet available
Wakefield MDC,E08000036,30/09/2014,REGENCULT,Housing Services,6,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,17/07/2014,22547233,1,833.69,Nil,Advertising,Revenue,Business Services,CAT02,2100,Advertising Services,,Not yet available
Wakefield MDC,E08000036,30/09/2014,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,15/08/2014,22567456,1,503,Nil,Advertising,Revenue,Business Services,CAT02,2100,Advertising Services,,Not yet available
Wakefield MDC,E08000036,30/09/2014,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,30/09/2014,22604167,1,2258,Nil,Advertising,Revenue,Business Services,CAT02,2100,Advertising Services,,Not yet available
Wakefield MDC,E08000036,30/09/2014,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,25/09/2014,22602596,1,503,Nil,Advertising,Revenue,Business Services,CAT02,2100,Advertising Services,,Not yet available
Wakefield MDC,E08000036,30/09/2014,CHILDYOU,Children's and Education Services,4,TMP (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,09/07/2014,22519834,1,800,Nil,Advertising,Revenue,Business Services,CAT02,1961,Advertising - Agencies,,Not yet available
