Property Address,RATEPAYER,RV,LIABILITY_START
"(Unofficial Address), Unit 21 Windsor Works Bus Co, Victoria Road, Hebden Bridge        HX7 8JX",,2100,07/06/2017
"Moorside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Swinton Group Ltd,26500,01/06/2017
"Unit K3 Dean Clough, Halifax, HX3 5AX",Dean Clough Ltd,11000,08/02/2017
"Crossleys Mill 2ND Floor, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,36500,01/02/2017
"Office Suite D 132, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,3450,01/05/2017
"Office Suite E342, Dean Clough Mills, Halifax, HX3 5AX",Novo Nutrition Ltd,4850,01/06/2017
"Unit GY/6, Dean Clough Office Park, Halifax, HX3 5AX",,1925,01/05/2017
"Ground Floor, 355 Halifax Road, Todmorden, OL14 5SR",,5900,01/02/2017
"1 St Johns Lane, Halifax, HX1 2JD",Michael Denton Associates Ltd,7400,01/04/2015
"Office 3 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",Positive People Recruitment Ltd,6000,01/06/2017
"Office 1 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",Positive People Recruitment Ltd,3150,01/06/2017
"3 Birds Royd Lane, Brighouse, HD6 1LQ",,2550,01/04/2016
"Office 2 2ND Floor, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",,860,01/01/2017
"St Hildas Sunday School, Gibraltar Road, Halifax, HX1 4HE",Children's Corner Pre School Committee,8000,01/09/2016
"Unit 3, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",Calverley Golf Club Ltd,13500,01/06/2017
"Adj Brookhouse Grange, Brookhouse, Ogden, Halifax              HX2 8XN",,900,01/02/2016
"1ST, 2ND & 3RD Floor, 13 Crown Street, Halifax, HX1 1TT",Exceed Training Company Ltd,9400,01/04/2016
"Basement & Grd Floor, 13 Crown Street, Halifax, HX1 1TT",,13750,01/04/2016
"Office Suite D109, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,2175,01/06/2017
"Office Suite D144, Dean Clough Mills, Halifax, HX3 5AX",,1575,01/06/2017
