Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,NAVIGATE RESOURCING LIMITED,Redacted,Not yet available,Not yet available,Not yet available,23/02/2015,22715919,1,10642.5,Nil,Activities School Improvement,Revenue,Business Services,CAT02,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,NAVIGATE RESOURCING LIMITED,Redacted,Not yet available,Not yet available,Not yet available,23/02/2015,22715921,1,6750,Nil,Activities School Improvement,Revenue,Business Services,CAT02,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,NAVIGATE RESOURCING LIMITED,Redacted,Not yet available,Not yet available,Not yet available,23/02/2015,22715923,1,9000,Nil,Activities School Improvement,Revenue,Business Services,CAT02,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,NAVIGATE RESOURCING LIMITED,Redacted,Not yet available,Not yet available,Not yet available,23/02/2015,22715925,1,4200,Nil,Activities School Improvement,Revenue,Business Services,CAT02,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,NAVIGATE RESOURCING LIMITED,Redacted,Not yet available,Not yet available,Not yet available,23/02/2015,22715931,1,10000,Nil,Activities School Improvement,Revenue,Business Services,CAT02,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,10/03/2015,22731729,1,1600,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,10/03/2015,22731737,1,1600,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,19/01/2015,22689496,1,2520,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,MARTIN SHEVILL CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,06/03/2015,22729562,1,632,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,31/03/2015,CHILDYOU,Children's and Education Services,4,MARTIN SHEVILL CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,09/03/2015,22730019,1,866,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,31/03/2015,ADULTS,Adult Social Care,7,NETWORK COMMUNICATION SYSTEMS LTD,Redacted,Not yet available,Not yet available,Not yet available,20/01/2015,22683677,1,1066.02,Nil,Adaptations,Revenue,ICT,CAT11,Telecommunication Services,76510,Not yet available
