Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date,Relief Granted
Minit Uk Plc,64660012,"12 Commercial Street, Halifax, HX1 1TA","12 Commercial Street, Halifax, HX1 1TA",5900,3080.56,04/01/90,SBR
,65224113,"113 Haley Hill, Halifax, HX3 6EE",,2600,0,07/01/15,SBR
Calderdale College,65164031,"31 Gibbet Street, Halifax, HX1 5BA","Fao Karen Robson, Art Dept, Head Of Estates And Facilities, Calderdale College, Francis Street, Halifax, HX1 3UZ",11500,1101.7,01/06/14,MCR
,65164867,"103/105 Gibbet Street, Halifax, HX1 5BP",,4550,1386.42,08/21/17,SBR
,65164879,"114-116 Gibbet Street, Halifax, HX1 5BZ",,5900,0,08/22/16,SBR
,65424056,"56 Illingworth Road, Illingworth, Halifax, HX2 9EN",,2750,0,10/31/16,SBR
Fletchers Family Fryers Ltd,65456700,"James Street Fisheries, Holywell Green, Halifax, HX4 9AS",,1250,0,01/06/12,SBR
Andy Thornton Ltd,56132865,"Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE","Victoria Mill, Stainland Road, Greetland, Halifax, HX4 8AD",7700,3588.2,02/01/16,SBR
The Venue Barkisland Ltd,64344731,"Unit 56 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,2600,1211.6,10/19/16,SBR
Priory Hardwoods Ltd,64344727,"Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD","Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax, HX4 0AD",7900,0,07/01/13,SBR
Habitat Unique Ltd,64344711,"Unit 30 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",,2025,0,02/01/14,SBR
Due West Ltd,64052703,"Over4-10 Albion Street, Halifax, HX1 1DU","C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",6500,3113.5,07/01/16,ER
,65592001,"1/3 Law Lane, Southowram, Halifax, HX3 9QU",,9400,3599.27,04/14/14,DUR SBR
Bead & Shot Blasting Ltd,65600707,"Unit 1, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT","Unit 2, Lee Bridge Industrial Estate, Lee Bridge, Halifax, HX3 5AT",6600,3014,09/17/97,DUR SBR
,65600715,"Unit 19, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,5400,0,01/01/16,SBR
,65616701,"Heavenly Harvest, Leeds Road, Hipperholme, Halifax              HX3 8ND",,2400,0,03/01/17,SBR
,65616700,"13 Leeds Road, Hipperholme, Halifax, HX3 8ND",,4150,0,07/01/09,SBR
,65484028,"28 Keighley Road, Halifax, HX2 8AL",,3600,0,07/31/10,SBR
,56220750,"The Fitness Suite, Woodman Works, South Lane, Elland               HX5 0PA",,7400,0,06/01/11,SBR
,56220818,"Unit 14 Woodman Works, South Lane, Elland, HX5 0PA",,6600,0,01/05/15,SBR
Heathleigh Ltd,56220770,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA","Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",335,0,09/01/05,EX
,56220821,"Unit 26 Woodman Works, South Lane, Elland, HX5 0PE",,7000,0,12/01/13,SBR
Gb Forklift Training Services Ltd,56220805,"Unit 9, Woodman Works, South Lane, Elland               HX5 0PA",,5000,0,04/01/11,SBR
,64780701,"29 Church Street, Halifax, HX1 1QY",,10000,0,04/01/00,EX
Dean Clough Ltd,64784867,"Unit L3, L Block, Dean Clough Office Park, Halifax              HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",800,0,04/01/04,EX
Dean Clough Ltd,64784751,"Unit DY/1, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",5100,0,01/01/06,EX
Pennine Housing 2000 Ltd,64808031,"31 Dene Place, Halifax, HX1 5TL","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",3900,1657.63,03/01/10,ER
,65344515,"Unit 5C, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,940,429.56,10/01/16,DUR SBR
Saturn Services (Uk) Ltd,65344824,"Unit 8A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","217 Long Lane, Wheatley, Halifax, HX2 0UZ",940,0,07/01/13,SBR
,64052015,"15 Albion Street, Halifax, HX1 1DU",,3950,0,03/01/11,SBR
Calderdale Mbc Markets Manager,64052019,"19 Albion Street, Halifax, HX1 1DU","19 Albion Street, Halifax, HX1 1DU",4450,2073.7,04/01/90,SBR
J C Decaux Uk Ltd,64104701,"Board 1456, Opposite 31/33 Back Clough, Northowram, Halifax              HX3 7HH","Rates Administrator, 27 Sale Place, London, W2 1YR",1175,547.55,04/01/94,SBR
,64660049,"49 Commercial Street, Halifax, HX1 1BE",,5700,0,03/24/01,SBR
,64660072,"72 Commercial Street, Halifax, HX1 2JE",,3050,0,04/01/90,SBR
,64662002,"2/4 Conway Street, Halifax, HX1 4DT",,1850,0,08/02/15,SBR
,64676001,"1 Copley Hall Street, Copley, Halifax, HX3 0UD",,4500,0,08/12/08,SBR
,64684701,"1A Copley Street, Halifax, HX3 0LD",,1800,0,06/07/14,SBR
,64680703,"60 Copley Lane, Copley, Halifax, HX3 0RD",,3900,0,10/05/12,SBR
The Arts Charity At Dean Clough,64788749,"Office Suite D108, Dean Clough Office Park, Halifax, HX3 5AX","D040 D Mill, Dean Clough, Halifax, HX3 5AX",1725,0,01/01/17,DCR MCR
The Arts Charity At Dean Clough,64784855,"Office Suite D110, Clough Mills, Halifax, HX3 5AX","D040 D Mill, Dean Clough, Halifax, HX3 5AX",2750,0,04/01/17,DCR MCR
Dean Clough Ltd,64788745,"Office Suite D111, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",3800,1628.84,09/01/94,DUR SBR
The Arts Charity At Dean Clough,64788785,"Office Suite D123, Dean Clough Industrial Park, Halifax, HX3 5AX","D040 D Mill, Dean Clough, Halifax, HX3 5AX",2125,0,01/01/17,DCR MCR
Lerch Bates & Associates Ltd,64778800,"Office Suite D 134, Dean Clough, Halifax, HX3 5AX","Woking 8, Forsyth Road, Woking, Surrey, GU21 5SB",4000,1729.08,08/15/06,DUR SBR
Calderdale Smartmove Ltd,65276015,"15 Harrison Road, Halifax, HX1 2AF","15 Harrison Road, Halifax, HX1 2AF",10000,95.8,05/09/16,DCR MCR
The Samaritans Of Halifax & Calderdale,65276713,"29 Harrison Road, Halifax, HX1 2AF","29 Harrison Road, Halifax, HX1 2AF",9900,0,06/17/13,DCR MCR
,68244705,"Unit 4 Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",,2600,0,06/01/11,SBR
North Bank Forum For Voluntary Organizations Ltd,64584781,"Office 2 First Floor, 5B Clare Road, Halifax, HX1 2HX","Community College, 63-71 Anlaby Road, Hull, HU3 2LL",2650,242.05,03/26/13,DUR MCR
Halifax Society For The Blind,64584775,"Ground Floor & Basement, 34 Clare Road, Halifax, HX1 2HX","Ground Floor, 34 Clare Road, Halifax, HX1 2HX",10500,97.51,06/24/08,DCR DUR MCR
Halifax Society For The Blind,64584774,"1ST & 2ND Floors, 34 Clare Road, Halifax, HX1 2HX","Ground Floor, 34 Clare Road, Halifax, HX1 2HX",7200,0,08/01/09,DCR MCR
,65164258,"Ground Floor, 258 Gibbet Street, Halifax, HX1 4LT",,2850,0,11/15/11,SBR
,65164884,"284-286 Gibbet Street, Halifax, HX1 4LY",,7600,0,06/01/13,SBR
Stanley Racing Ltd,65164434,"434 Gibbet Street, Halifax, HX1 4JQ","Fao Cheryl Wallman, Accounts Payable Dept, Greenside House, 50 Station Road, Wood Green, London, N22 7TP",6000,2729,04/01/90,DUR SBR
,65164823,"561A Gibbet Street, Halifax, HX2 0AL",,4200,0,02/01/17,SBR
,65164757,"Unit 8, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,1750,0,02/01/14,SBR
Greenfield Trading Uk Ltd,64700703,"Ground Floor, 6/8 Cow Green, Halifax, HX1 1JF","11 Hazeldene, Queensbury, Bradford, BD13 2BB",8000,0,04/01/12,SBR
,64716006,"6 Cross Hills, Halifax, HX1 1XQ",,1500,0,11/01/10,SBR
Hipperholme Tyre & Exhaust Ltd,65232724,"Unit 5 Lrp Business Park, Halifax Road, Hipperholme, Halifax             HX3 8HD","54 Albert Road, Pellon, Halifax, HX2 0DF",2200,0,03/31/14,SBR
Calderdale Carers Project,65248706,"Suite 2 Rimani House, Hall Street, Halifax, HX1 5AY","Suite 2, Rimani House, Hall Street, Halifax, HX1 5BD",4550,43.59,06/16/14,DCR MCR
Larchfield Associates Ltd,65248711,"Rimani House, Hall Street, Halifax, HX1 5BD",,8100,0,04/01/09,SBR
B.T Plc,65264700,"Hanson Lane, Halifax, HX1 5PG","C/O Colliers Int Rating Uk Llp, 12th Flr, 11 Brindleyplace, 2 Brunswick Square, Brindleyplace, Birmingham, B1 2LP",11000,5126,04/01/95,SBR
,65324019,"19 High Street, Halifax, HX1 2ST",,4700,0,09/19/13,SBR
Mobile Broadband Network Ltd,65664703,"Telecomms Mast, Site Ref WYK13, Long Lane, Southowram           HX3 9NU","C/O Gva, Po Box 6079, Wolverhampton, WV1 9RA",7100,2799.17,12/09/13,SBR
Thornton Meat Company Ltd,65664702,"Beacon Lodge Quarry, Off Long Lane, Southowram, Halifax             HX3 9UD","Swalesmoor Farm, Swales Moor Road, Halifax, HX3 6UF",1175,501.18,04/01/16,DUR SBR
,65676020,"20 Lord Street, Halifax, HX1 5AE",,2750,0,11/23/15,SBR
West Riding Classic Cars Limited,64356707,"Unit 16, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",,7400,0,08/01/12,SBR
Calder Construction & Shopfitting Ltd,64356706,"Unit 15, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU","Unit 15, Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",11250,0,04/01/08,SBR
Luddenden Conservation Society,65716702,"Luddenden Lane, Luddendenfoot, Halifax, HX2 6NH","C/O Mr E R Collinge, Wesley Villa, New Road , Luddenden, Halifax, HX2 6QZ",2700,0,04/01/03,DCR MCR
Calderdale Mbc Markets Manager,64288771,"Cellar Store 2, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",149,0,09/17/05,EX
,64288006,"6 Borough Market, Halifax, HX1 1DY",,4300,0,03/03/17,SBR
Calderdale Mbc Markets Manager,64288782,"Balcony Store 10, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",750,0,09/17/05,EX
Calderdale Mbc Markets Manager,64288784,"Balcony Store 12, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",570,0,11/14/08,EX
,64376711,"Southedge Iron Works, Brighouse Road, Hipperholme, Halifax             HX3 8EG",,4850,0,04/01/90,SBR
,64376755,"Unit 3 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",,4150,0,08/01/11,SBR
Label Pak Ltd,64376713,"Unit 1, Brow Mills, Brighouse Road, Hipperholme          HX3 8EF",,4550,0,07/01/07,SBR
